Average news document stance
,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,home
gov score,0.19,0.19,0.06,0.0,0.12,0.19,0.19,0.0,0.0,0.0,0.06
opp score,0.06,0.12,0.25,0.25,0.06,0.0,0.0,0.0,0.0,0.0,0.25
neu score,0.12,0.06,0.06,0.0,0.12,0.31,0.19,0.0,0.0,0.0,0.12

Entropy user scores
,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,home
gov score,0.35,0.35,0.3,0,0.37,0.37,0.35,0.35,0.35,0.35,0.28
opp score,0.3,0.37,0.27,-0.0,0.32,0,0,0,0,0,0.32
neu score,0.37,0.3,0.3,0,0.37,0.29,0.35,0.35,0.35,0.35,0.36
