Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,34,"['Opinion', '|', '‘', 'Woke', 'Mind', 'Virus', '’', 'Eating', 'Away', 'Republicans', '’', 'Brains', '-', 'New', 'York', 'Times', 'President', 'Biden', 'primary', 'beneficiary', 'G.O.P.', '’', 'deepening', 'radicalism', '.']",25,"['The', 'Is', 'at', 'The', 'is', 'the', 'of', 'the', 's']",9,0.26,
Sentence 2,24,"['Advertisement', 'Supported', 'Jamelle', 'Bouie', 'Send', 'friend', 'story', 'subscriber', ',', '10', 'gift', 'articles', 'give', 'month', '.']",15,"['by', 'any', 'a', 'As', 'a', 'you', 'have', 'to', 'each']",9,0.38,
Sentence 3,7,"['Anyone', 'read', 'share', '.']",4,"['can', 'what', 'you']",3,0.43,
Sentence 4,42,"['Jamelle', 'Bouie', 'Opinion', 'Columnist', 'reasons', 'think', 'President', 'Biden', 'might', 'lose', 'bid', 're-election', 'next', 'year', ',', 'even', 'Donald', 'Trump', '—', 'third', 'straight', 'time', '—', 'Republican', 'nominee', '.']",26,"['By', 'There', 'are', 'a', 'few', 'to', 'that', 'his', 'for', 'if', 'is', 'once', 'more', 'for', 'the', 'the']",16,0.38,
Sentence 5,34,"['’', 'Electoral', 'College', ',', 'could', 'still', 'favor', 'Republican', 'Party', 'enough', 'give', 'Trump', '270', 'electoral', 'votes', ',', 'even', '’', 'win', 'popular', 'majority', '.']",22,"['There', 's', 'the', 'which', 'the', 'just', 'to', 'if', 'he', 'doesn', 't', 'a']",12,0.35,
Sentence 6,34,"['’', 'Biden', '’', 'overall', 'standing', '—', 'around', '43', 'percent', 'Americans', 'approve', 'job', 'performance', '—', '’', 'compare', 'favorably', 'past', 'incumbents', 'win', 're-election', '.']",22,"['There', 's', 's', 'of', 'of', 'his', 'which', 'doesn', 't', 'with', 'who', 'did']",12,0.35,
Sentence 7,17,"['’', 'economy', ',', 'may', 'hit', 'downturn', 'next', 'November', '.']",9,"['There', 's', 'the', 'which', 'a', 'between', 'now', 'and']",8,0.47,
Sentence 8,22,"['even', '’', ',', 'Biden', 'still', 'presided', 'highest', 'inflation', 'rate', 'since', '1980s', '.']",12,"['And', 'if', 'it', 'doesn', 't', 'will', 'have', 'over', 'the', 'the']",10,0.45,
Sentence 9,8,"['Last', ',', '’', 'Biden', '.']",5,"['there', 's', 'himself']",3,0.38,
Sentence 10,25,"['oldest', 'person', 'ever', 'elected', 'president', ',', 'next', 'year', '—', '81', '—', 'oldest', 'president', 'ever', 'stand', 're-election', '.']",17,"['The', 'he', 'will', 'be', 'at', 'the', 'to', 'for']",8,0.32,
Sentence 11,15,"['Biden', '’', 'age', 'real', 'risk', 'could', 'suddenly', 'become', 'liability', '.']",10,"['s', 'is', 'a', 'that', 'a']",5,0.33,
Sentence 12,22,"['Biden', 'potential', 'weaknesses', ',', 'however', ',', 'also', 'true', '’', 'lack', 'real', 'advantages', '.']",13,"['If', 'has', 'it', 'is', 'that', 'he', 'doesn', 't', 'for']",9,0.41,
Sentence 13,22,"['Along', 'low', 'unemployment', ',', '’', 'meaningful', 'economic', 'growth', ',', 'point', 'significant', 'legislative', 'accomplishments', '.']",14,"['with', 'there', 's', 'been', 'and', 'he', 'can', 'to']",8,0.36,
Sentence 14,16,"['Democratic', 'Party', 'behind', ';', 'serious', 'rivals', 'nomination', '.']",8,"['The', 'is', 'him', 'he', 'has', 'no', 'for', 'the']",8,0.5,
Sentence 15,20,"['Biden', '’', 'biggest', 'advantage', 'opposition', '—', 'Republican', 'Party', 'gotten', 'weird', '.']",11,"['But', 's', 'has', 'to', 'do', 'with', 'the', 'the', 'has']",9,0.45,
Sentence 16,27,"['’', 'Republican', 'policies', 'well', 'outside', 'mainstream', ',', 'party', 'tipped', 'something', 'strange', '.']",12,"['It', 's', 'not', 'just', 'that', 'are', 'the', 'but', 'that', 'the', 'itself', 'has', 'over', 'into', 'very']",15,0.56,
Sentence 17,24,"['thought', 'watching', 'clip', 'Ron', 'DeSantis', 'speak', 'lectern', 'audience', '’', 'see', '.']",11,"['I', 'had', 'this', 'while', 'a', 'of', 'from', 'a', 'to', 'an', 'we', 'can', 't']",13,0.54,
