Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,17,"['Morgan', 'Wallen', '’', '‘', 'One', 'Thing', 'Time', '’', 'Hits', 'Eighth', 'Week', '.']",12,"['s', 'at', 'a', 'at', 'No']",5,0.29,
Sentence 2,40,"['1', '–', 'Billboard', 'Morgan', 'Wallen', ""'s"", '&', 'quot', ';', 'One', 'Thing', 'Time', '&', 'quot', ';', 'holds', 'atop', 'Billboard', '200', ',', 'Agust', ',', 'Taylor', 'Swift', 'YoungBoy', 'Never', 'Broke', 'bow', 'top', '10', '.']",31,"['at', 'a', 'the', 'while', 'D', 'and', 'Again', 'in', 'the']",9,0.23,
Sentence 3,19,"['Plus', ':', 'Suga', ""'s"", 'Agust', ',', 'Taylor', 'Swift', 'YoungBoy', 'Never', 'Broke', 'debut', 'top', '10', '.']",15,"['D', 'and', 'Again', 'in']",4,0.21,
Sentence 4,22,"['Keith', 'Caulfield', 'Morgan', 'Wallen', '’', 'One', 'Thing', 'Time', 'clocks', 'eighth', 'consecutive', 'total', 'week', '.']",14,"['By', 's', 'at', 'a', 'an', 'and', 'at', 'No']",8,0.36,
Sentence 5,13,"['1', 'Billboard', '200', 'albums', 'chart', '(', 'dated', 'May', '6', ')', '.']",11,"['on', 'the']",2,0.15,
Sentence 6,27,"['set', 'earned', '149,000', 'equivalent', 'album', 'units', 'week', 'ending', 'April', '27', '(', '10', '%', ')', 'United', 'States', ',', 'according', 'Luminate', '.']",20,"['The', 'in', 'the', 'down', 'in', 'the', 'to']",7,0.26,
Sentence 7,6,"['album', 'opened', '.']",3,"['The', 'at', 'No']",3,0.5,
Sentence 8,15,"['1', 'chart', 'dated', 'March', '18', 'yet', 'cede', 'summit', '.']",9,"['on', 'the', 'and', 'has', 'to', 'the']",6,0.4,
Sentence 9,11,"['last', 'album', 'notch', 'eight', 'consecutive', 'weeks', '.']",7,"['The', 'to', 'at', 'No']",4,0.36,
Sentence 10,6,"['1', 'Encanto', 'soundtrack', '.']",4,"['was', 'the']",2,0.33,
Sentence 11,17,"['logged', 'eight', 'weeks', 'row', ',', 'total', 'nine', 'nonconsecutive', 'frames', '.']",10,"['It', 'in', 'a', 'of', 'its', 'at', 'No']",7,0.41,
Sentence 12,11,"['1', ',', 'Jan.', '29-March', '19', ',', '2022-dated', 'charts', '.']",9,"['between', 'the']",2,0.18,
Sentence 13,14,"['Meanwhile', ',', 'last', 'album', 'spend', 'first', 'eight', 'weeks', '.']",9,"['the', 'to', 'its', 'at', 'No']",5,0.36,
Sentence 14,31,"['1', ',', 'like', 'One', 'Thing', 'Time', ',', 'Wallen', '’', 'last', 'release', ',', 'Dangerous', ':', 'Double', 'Album', ',', 'spent', 'first', '10', 'weeks', '.']",22,"['at', 'a', 'was', 's', 'The', 'which', 'its', 'at', 'No']",9,0.29,
Sentence 15,19,"['1', '(', 'total', 'run', 'atop', 'list', ')', ',', 'Jan.', '23-March', '27', ',', '2021-dated', 'charts', '.']",15,"['its', 'the', 'from', 'the']",4,0.21,
Sentence 16,35,"['Also', 'top', '10', 'new', 'Billboard', '200', ',', 'Agust', '(', 'alias', 'BTS', '’', 'Suga', ')', ',', 'Taylor', 'Swift', 'YoungBoy', 'Never', 'Broke', 'arrive', 'new', 'releases', '.']",24,"['in', 'the', 'of', 'the', 'D', 'an', 'of', 'and', 'Again', 'all', 'with']",11,0.31,
