Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,31,"['Ice', 'Spice', 'Makes', 'Met', 'Gala', 'Debut', 'Sparkling', 'White', 'Gown', '|', 'Entertainment', 'Tonight', 'rapper', 'made', 'appearance', 'announcing', 'collaboration', ""'Vogue"", ""'"", 'eBay', 'social', 'media', '.']",23,"['in', 'The', 'her', 'after', 'a', 'between', 'and', 'on']",8,0.26,
Sentence 2,10,"['Seems', 'like', 'Ice', 'Spice', 'really', '``', 'chose', '!', ""''""]",9,['was'],1,0.1,
Sentence 3,30,"['Monday', ',', 'rapper', 'set', 'foot', 'first-ever', 'Met', 'Gala', 'red', 'carpet', 'New', 'York', 'City', ',', 'reportedly', 'following', 'personal', 'invitation', 'Vogue', 'editor-in-chief', 'Anna', 'Wintour', '.']",23,"['On', 'the', 'on', 'her', 'in', 'a', 'from']",7,0.23,
Sentence 4,17,"['23-year-old', ',', 'whose', 'real', 'name', 'Isis', 'Naija', 'Gaston', ',', 'donned', 'white', 'sequined', 'gown', '.']",14,"['The', 'is', 'a']",3,0.18,
Sentence 5,27,"['long-sleeved', 'dress', 'featured', 'body', 'contouring', 'cutouts', 'long', 'train', 'followed', 'behind', 'rapper', 'posed', 'pics', 'Galas', 'cream-colored', 'carpet', '.']",17,"['The', 'and', 'a', 'that', 'the', 'as', 'she', 'for', 'on', 'the']",10,0.37,
Sentence 6,27,"['Known', 'curly', 'orange', 'hair', ',', 'Ice', 'Spice', 'went', 'sleeker', 'look', 'Monday', ',', 'rocking', 'fiery', 'locks', 'long', ',', 'straight', 'style', '.']",20,"['for', 'her', 'for', 'a', 'her', 'in', 'a']",7,0.26,
Sentence 7,42,"['number', 'one', 'accessory', ""n't"", 'purse', ',', 'rapper', 'known', 'bring', 'red-carpet', 'events', ',', 'bedazzled', 'camera', ',', 'playfully', 'posed', 'making', 'way', 'Met', 'Gala', 'steps', '.']",23,"['Her', 'was', 'a', 'which', 'the', 'is', 'to', 'with', 'her', 'to', 'but', 'a', 'which', 'she', 'with', 'while', 'her', 'up', 'the']",19,0.45,
Sentence 8,20,"['also', 'wore', 'Effy', 'Archive', 'diamond', 'earrings', 'Effy', 'Classique', 'white', 'gold', 'diamond', 'ring', 'complete', 'get-up', '.']",15,"['She', 'and', 'an', 'to', 'her']",5,0.25,
Sentence 9,16,"['Ice', 'Spice', ""'s"", 'appearance', 'follows', 'recent', 'announcement', 'collaboration', 'Vogue', 'eBay', '.']",11,"['her', 'of', 'a', 'with', 'and']",5,0.31,
Sentence 10,27,"['``', 'Ha', 'Mood', ""''"", 'rapper', 'face', 'special', 'Vogue-produced', 'shoppable', 'collection', 'various', 'designer', 'pieces', ',', 'available', 'online', 'marketplace', '.']",18,"['The', 'In', 'is', 'the', 'of', 'a', 'of', 'on', 'the']",9,0.33,
