Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,155,"['Kiss', '’', 'Paul', 'Stanley', 'Blasts', 'Parents', 'Support', 'Kids', '’', 'Gender', 'Identities', '–', 'Rolling', 'Stone', 'Paul', 'Stanley', 'Kiss', 'made', 'statement', 'criticizing', 'parents', 'support', 'kids', ""'"", 'gender', 'identities', ',', 'calling', '“', 'sad', 'dangerous', 'fad.', '”', 'Althea', 'Legaspi', 'Kiss', 'member', 'Paul', 'Stanley', '—', 'reason', '—', 'made', 'statement', 'Twitter', 'stance', 'kids', '’', 'gender', 'identities', 'parents', '“', 'normalizing', 'even', 'encouraging', 'participation', '”', 'embracing', ',', 'calling', '“', 'sad', 'dangerous', 'fad.', '”', '“', 'BIG', 'difference', 'teaching', 'acceptance', 'normalizing', 'even', 'encouraging', 'participation', 'lifestyle', 'confuses', 'young', 'children', 'questioning', 'sexual', 'identification', 'though', 'sort', 'game', 'parents', 'cases', 'allow', ',', '”', 'wrote', 'unsolicited', '“', 'Thoughts', '’', 'Seeing', '”', 'statement', 'Sunday', '.']",99,"['Who', 'of', 'has', 'a', 'who', 'it', 'a', 'a', 'and', 'By', 'has', 'for', 'some', 'a', 'on', 'about', 'his', 'on', 'and', 'the', 'who', 'are', 'and', 'in', 'them', 'it', 'a', 'and', 'There', 'is', 'a', 'between', 'and', 'and', 'in', 'a', 'that', 'into', 'their', 'as', 'some', 'of', 'and', 'then', 'in', 'some', 'it', 'he', 'in', 'an', 'My', 'On', 'What', 'I', 'm', 'on']",56,0.36,
Sentence 2,83,"['pic.twitter.com/5Gvz6v5HUi', 'added', ',', '“', 'individuals', 'adults', 'may', 'decide', 'reassignment', 'needed', 'choice', 'turning', 'game', 'parents', 'normalizing', 'sort', 'natural', 'alternative', 'believing', 'little', 'boy', 'likes', 'play', 'dress', 'sister', '’', 'clothes', 'girl', 'brother', '’', ',', 'lead', 'steps', 'path', '’', 'far', 'innocence', '.']",38,"['He', 'There', 'ARE', 'who', 'as', 'is', 'their', 'but', 'this', 'into', 'a', 'or', 'it', 'as', 'some', 'of', 'or', 'that', 'because', 'a', 'to', 'up', 'in', 'his', 's', 'or', 'a', 'in', 'her', 's', 'we', 'should', 'them', 'further', 'down', 'a', 'that', 's', 'from', 'the', 'of', 'what', 'they', 'are', 'doing']",45,0.54,
Sentence 3,67,"['“', 'many', 'children', 'real', 'sense', 'sexuality', 'sexual', 'experiences', 'caught', '‘', 'fun', '’', 'using', 'pronouns', 'saying', 'identify', ',', 'adults', 'mistakenly', 'confuse', 'teaching', 'acceptance', 'normalizing', 'encouraging', 'situation', 'struggle', 'truly', 'affected', 'turned', 'sad', 'dangerous', 'fad', ',', '”', 'concluded', '.']",36,"['With', 'who', 'have', 'no', 'of', 'or', 'up', 'in', 'the', 'of', 'and', 'what', 'they', 'as', 'some', 'with', 'and', 'a', 'that', 'has', 'been', 'a', 'for', 'those', 'and', 'have', 'it', 'into', 'a', 'and', 'he']",31,0.46,
Sentence 4,30,"['’', 'unclear', 'specifically', 'prompted', 'Stanley', 'make', 'statement', ',', 'clear', 'Stanley', 'conflated', 'sexuality', 'gender', 'identity', ',', 'develop', 'independently', '.']",18,"['It', 's', 'what', 'to', 'the', 'but', 'what', 'is', 'is', 'has', 'and', 'which']",12,0.4,
Sentence 5,11,"['“', 'People', 'communicate', 'gender', 'others', 'gender', 'expression', '.']",8,"['their', 'to', 'through']",3,0.27,
Sentence 6,17,"['may', 'done', 'mannerisms', ',', 'clothing', 'hairstyles', ',', '”', 'per', 'Mayo', 'Clinic', '.']",12,"['This', 'be', 'through', 'and', 'the']",5,0.29,
Sentence 7,9,"['“', 'Gender', 'identity', 'develops', 'separately', 'sexual', 'orientation', '.']",8,['from'],1,0.11,
Sentence 8,53,"['People', '’', 'sexual', 'orientation', 'related', '’', 'attracted', 'physical', ',', 'emotional', 'romantic', 'basis.', '”', 'Trending', '‘', 'Idol', '’', 'Toxic', 'Way', 'Worse', '’', 'Heard', 'Idaho', 'Murders', 'Suspect', 'Stay', 'Silent', 'Instead', 'Entering', 'Plea', '?']",31,"['s', 'is', 'to', 'whom', 'they', 're', 'to', 'on', 'a', 'and', 'The', 'Is', 'More', 'and', 'Than', 'You', 've', 'Why', 'Did', 'the', 'of', 'a']",22,0.42,
Sentence 9,66,"['‘', 'Happy', 'Valley', '’', 'Returns', 'Send', 'Catherine', 'Cawood', 'Sunset', '‘', 'Idol', '’', ':', 'HBO', '’', 'Next', '‘', 'Euphoria', '’', 'Became', 'Twisted', '‘', 'Torture', 'Porn', '’', 'fact', ',', 'children', '18', '24', 'months', 'recognize', 'label', 'gender', 'groups', ',', 'identifying', 'others', 'girls', ',', 'women', ',', 'feminine', ';', 'boys', ',', 'men', 'masculine', '.']",49,"['to', 'Off', 'Into', 'the', 'The', 'How', 's', 'In', 'most', 'between', 'and', 'and', 'can', 'as', 'and', 'and', 'and']",17,0.26,
Sentence 10,21,"['“', 'also', 'label', 'gender', 'time', 'reach', 'age', '3', ',', '”', 'according', 'Mayo', 'Clinic', '.']",14,"['Most', 'their', 'own', 'by', 'the', 'they', 'to']",7,0.33,
Sentence 11,30,"['Stanley', '’', 'statement', 'comes', 'wake', 'slew', 'anti-trans', 'legislation', 'taking', 'root', 'nationwide', ',', 'including', 'Virginia', ',', 'South', 'Dakota', ',', 'Texas', ',', 'Tennessee', '.']",22,"['s', 'in', 'the', 'of', 'a', 'of', 'in', 'and']",8,0.27,
Sentence 12,61,"['Last', 'week', ',', 'Department', 'Justice', 'filed', 'lawsuit', 'challenging', 'Tennessee', '’', 'new', 'law', 'new', 'law', 'banning', 'gender-affirming', 'treatments', 'minors', ',', 'one', 'several', 'bills', 'targeting', 'state', '’', 'LGBTQ+', 'community', ',', 'arguing', 'SB1', 'violates', 'Constitution', '’', 'Equal', 'Protection', 'Clause', 'denying', '“', 'necessary', 'medical', 'care', 'youth', '”', 'based', 'transgender', 'status', '.']",47,"['the', 'of', 'a', 's', 'for', 'of', 'the', 's', 'that', 'the', 's', 'by', 'to', 'on']",14,0.23,
