Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,47,"['KISS', 'co-founder', 'blasts', ""'normalizing"", ""'"", 'sexual', 'struggles', 'children', ':', ""'Sad"", 'dangerous', 'fad', ""'"", '|', 'Fox', 'News', 'KISS', 'co-founder', 'singer', 'Paul', 'Stanley', 'released', 'post', 'Sunday', 'social', 'media', 'criticized', 'sex', 'reassignment', 'efforts', 'parents', 'onto', 'children', '“', 'dangerous', '.', ""''""]",37,"['in', 'and', 'and', 'a', 'on', 'to', 'his', 'that', 'by', 'as']",10,0.21,
Sentence 2,2,"['Factset', '.']",2,[],0,0.0,
Sentence 3,8,"['Powered', 'implemented', 'FactSet', 'Digital', 'Solutions', '.']",6,"['and', 'by']",2,0.25,
Sentence 4,3,"['Legal', 'Statement', '.']",3,[],0,0.0,
Sentence 5,10,"['Mutual', 'Fund', 'ETF', 'data', 'provided', 'Refinitiv', 'Lipper', '.']",8,"['and', 'by']",2,0.2,
Sentence 6,28,"['Utah', 'State', 'Sen.', 'Mike', 'Kennedy', ',', 'R.', ',', 'discusses', 'happened', 'home', 'sponsoring', 'bill', 'ban', 'gender-affirming', 'care', 'minors', 'state', '.']",19,"['what', 'to', 'his', 'after', 'a', 'to', 'for', 'in', 'his']",9,0.32,
Sentence 7,31,"['Paul', 'Stanley', ',', 'lead', 'singer', 'co-founder', 'band', 'KISS', ',', 'came', 'gender', 'reassignment', 'treatments', 'children', 'lengthy', 'post', 'social', 'media', 'Sunday', '.']",20,"['the', 'and', 'of', 'the', 'out', 'against', 'for', 'in', 'a', 'to', 'on']",11,0.35,
Sentence 8,34,"['seemingly', 'unprompted', 'post', ',', 'Stanley', 'criticized', 'parents', 'encouraging', 'children', 'question', 'sexual', 'identity', 'part', 'referred', '``', 'sad', 'dangerous', 'fad', '.', ""''""]",20,"['In', 'a', 'for', 'their', 'to', 'their', 'as', 'of', 'what', 'he', 'to', 'as', 'a', 'and']",14,0.41,
Sentence 9,46,"['``', 'BIG', 'difference', 'teaching', 'acceptance', 'normalizing', 'even', 'encouraging', 'participation', 'lifestyle', 'confuses', 'young', 'children', 'questioning', 'sexual', 'identification', 'though', 'sort', 'game', 'parents', 'cases', 'allow', ',', ""''"", 'Stanley', 'wrote', '.']",27,"['There', 'is', 'a', 'between', 'and', 'and', 'in', 'a', 'that', 'into', 'their', 'as', 'some', 'of', 'and', 'then', 'in', 'some', 'it']",19,0.41,
Sentence 10,48,"['(', 'L-R', ')', 'Musicians', 'Gene', 'Simmons', ',', 'Eric', 'Singer', ',', 'Tommy', 'Thayer', 'Paul', 'Stanley', 'rock', 'band', 'Kiss', 'arrive', '47th', 'Annual', 'Academy', 'Country', 'Music', 'Awards', 'held', 'MGM', 'Grand', 'Garden', 'Arena', 'April', '1', ',', '2012', 'Las', 'Vegas', ',', 'Nevada', '.']",38,"['and', 'of', 'the', 'at', 'the', 'Of', 'at', 'the', 'on', 'in']",10,0.21,
