Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,91,"['Netflix', 'Added', '57', 'New', 'Movies', 'Series', 'May', '1st', ',', '2023', '-', ""'s"", 'Netflix', 'Full', 'list', 'six', 'new', 'series', '51', 'new', 'movies', 'added', 'Netflix', 'May', '1st', 'Kasey', 'Moore', 'kasey__moore', 'Published', 'May', '1st', ',', '2023', ',', '11:01', 'EST', 'Suspicion', '–', 'Picture', ':', 'Lionsgate', 'Happy', 'first', 'month', ',', 'today', ',', 'Netflix', 'treating', 'US', 'subscribers', 'close', '60', 'new', 'releases', 'plenty', 'old', 'newer', 'movies', ',', 'plus', 'sprinkling', 'new', 'kids', '’', 'series', '.']",67,"['and', 'for', 'What', 'on', 'of', 'the', 'and', 'to', 'for', 'by', 'on', 'am', 'Above', 'of', 'the', 'and', 'is', 'to', 'to', 'with', 'of', 'and', 'a', 'of']",24,0.26,
Sentence 2,18,"['’', '’', 'new', '’', 'trending', 'May', '1st', ',', '2023', '.']",10,"['Here', 's', 'what', 's', 'and', 'what', 's', 'for']",8,0.44,
Sentence 3,33,"['Today', 'kicks', 'brand', 'new', 'month', 'new', 'releases', ',', 'want', 'rundown', 'everything', 'coming', 'throughout', 'month', ',', 'check', 'May', '2023', 'preview', '.']",20,"['off', 'a', 'of', 'so', 'if', 'you', 'the', 'on', 'up', 'the', 'out', 'our', 'here']",13,0.39,
Sentence 4,27,"['’', 'even', 'scratch', 'surface', '’', 'added', ',', 'three', 'titles', '’', 'begin', 'watching', '!']",13,"['While', 'we', 'll', 'not', 'the', 'of', 'what', 's', 'been', 'here', 'are', 'we', 'll', 'now']",14,0.52,
Sentence 5,33,"['find', 'Watch', 'section', ',', 'movies', '’', 'given', '“', 'Must', 'Watch', '”', 'label', 'today', '’', 'selection', '.']",16,"['As', 'you', 'can', 'in', 'our', 'What', 'to', 'these', 'are', 'all', 'the', 'we', 've', 'the', 'to', 'from', 's']",17,0.52,
Sentence 6,69,"['Rating', ':', 'TV-MA', 'Language', ':', 'Japanese', 'Genre', ':', 'Animation', ',', 'Action', ',', 'Adventure', 'Cast', ':', 'Natsuki', 'Hanae', ',', 'Zach', 'Aguilar', ',', 'Abby', 'Trott', 'Runtime', ':', '25', 'min', '’', 'big', 'anime', 'fan', 'want', 'dive', 'genre', ',', '’', 'recommend', 'Demon', 'Slayer', ',', 'undoubtedly', 'one', 'popular', 'genre', 'time', '.']",46,"['If', 'you', 're', 'not', 'a', 'but', 'to', 'into', 'the', 'we', 'd', 'doing', 'so', 'with', 'which', 'is', 'of', 'the', 'most', 'in', 'the', 'of', 'all']",23,0.33,
Sentence 7,76,"['’', 'expect', 'series', '’', 'checked', 'yet', ':', '“', 'demon', 'attack', 'leaves', 'family', 'slain', 'sister', 'cursed', ',', 'Tanjiro', 'embarks', 'upon', 'perilous', 'journey', 'find', 'cure', 'avenge', '’', 'lost.', '”', 'show', '’', 'fourth', 'season', 'currently', 'airing', 'eventually', 'head', 'Netflix', ',', 'long', 'wait', '.']",40,"['Here', 's', 'what', 'you', 'can', 'from', 'the', 'if', 'you', 'haven', 't', 'it', 'out', 'After', 'a', 'his', 'and', 'his', 'a', 'to', 'a', 'and', 'those', 'he', 's', 'The', 's', 'is', 'and', 'will', 'to', 'but', 'you', 'will', 'have', 'a']",36,0.47,
Sentence 8,47,"['expanded', 'look', '’', 'new', 'Netflix', 'today', ',', 'check', 'new', 'Netflix', 'hub', ',', 'trailers', ',', 'posters', ',', 'lots', 'information', 'title', ',', 'including', 'ratings', 'Metacritic', ',', 'Rotten', 'Tomatoes', ',', 'IMDb', '.']",29,"['For', 'an', 'at', 'what', 's', 'on', 'out', 'our', 'on', 'which', 'has', 'and', 'more', 'on', 'each', 'their', 'on', 'and']",18,0.38,
Sentence 9,8,"['watching', 'Netflix', 'today', '?']",4,"['What', 'are', 'you', 'on']",4,0.5,
Sentence 10,10,"['Let', 'us', 'know', 'comments', '.']",5,"['down', 'in', 'the', 'down', 'below']",5,0.5,
Sentence 11,9,"['Founder', 'editor-in-chief', ""'s"", 'Netflix', '.']",5,"['and', 'of', 'What', 'on']",4,0.44,
Sentence 12,33,"['Based', 'Norwich', 'United', 'Kingdom', ',', 'Kasey', 'tracking', 'comings', 'goings', 'Netflix', 'library', 'decade', 'started', ""'s"", 'Netflix', 'high', 'school', '.']",18,"['in', 'in', 'the', 'has', 'been', 'the', 'and', 'of', 'the', 'for', 'a', 'having', 'What', 'on', 'in']",15,0.45,
Sentence 13,198,"['View', 'Articles', 'Kasey', 'Moore', ""'s"", 'Coming', 'Netflix', 'Canada', 'June', '2023', 'Netflix', 'Added', '29', 'New', 'Movies', 'Series', 'Week', ':', 'May', '21st', ',', '2023', 'Best', 'New', 'TV', 'Shows', 'Added', 'Netflix', 'Week', ':', 'May', '19th', ',', '2023', ""'s"", 'New', 'Netflix', '&', 'Top', '10', 'Movies', '&', 'Series', ':', 'May', '19th', ',', '2023', 'new', 'Netflix', 'releases', 'week', 'Netflix', 'News', '‘', 'Skull', 'Island', '’', 'Netflix', 'Anime', 'Series', 'Sets', 'June', '2023', 'Release', 'Date', 'May', '23', ',', '2023', 'Netflix', 'News', '‘', 'Sister', 'Death', '’', 'Spanish', 'Netflix', 'Horror', 'Film', ':', 'Everything', 'Know', 'Far', 'May', '23', ',', '2023', 'Netflix', 'News', '‘', 'Union', '’', 'Netflix', 'Movie', ':', 'Everything', 'Know', 'Far', 'May', '23', ',', '2023', 'Leaving', 'Soon', 'Netflix', '‘', 'Wolf', '’', 'Call', '’', 'Netflix', 'Original', 'Leaving', 'Netflix', 'June', '2023', 'May', '23', ',', '2023', 'Coming', 'Soon', 'Netflix', '’', 'Coming', 'Netflix', 'June', '2023', 'May', '23', ',', '2023', 'Coming', 'Soon', 'Netflix', 'New', 'Netflix', 'Original', 'Movies', 'Coming', 'Netflix', '2023', 'May', '23', ',', '2023', 'Netflix', 'News', 'InboxSign', 'today', 'free', 'Netflix', 'updates', '!', 'Invalid', 'email', 'address', 'promise', 'spam', '.']",161,"['All', 'from', 'What', 'to', 'in', 'and', 'This', 'to', 'This', 'What', 'on', 'this', 'We', 'So', 'The', 'We', 'So', 'on', 'The', 's', 'in', 'to', 'What', 's', 'to', 'in', 'to', 'to', 'in', 'In', 'Your', 'up', 'for', 'We', 'not', 'to', 'you']",37,0.19,
Sentence 14,9,"['unsubscribe', 'time.Thanks', 'subscribing', '!']",4,"['You', 'can', 'at', 'any', 'for']",5,0.56,
Sentence 15,26,"['’', 'Netflix', 'endorsed', ',', 'moderated', ',', 'owned', 'affiliated', 'Netflix', 'partners', 'capacity', '.']",12,"['What', 's', 'on', 'is', 'not', 'by', 'or', 'with', 'or', 'any', 'of', 'its', 'in', 'any']",14,0.54,
Sentence 16,12,"['authors', 'site', 'also', 'affiliation', 'Netflix', '.']",6,"['The', 'of', 'this', 'have', 'no', 'with']",6,0.5,
Sentence 17,21,"['promotional', 'material', 'including', 'limited', 'trailers', ',', 'images', 'videos', 'copyright', 'respective', 'owners', '.']",12,"['All', 'but', 'not', 'to', 'and', 'are', 'all', 'to', 'their']",9,0.43,
Sentence 18,10,"['Netflix', 'registered', 'trademark', 'Netflix', ',', 'Inc', '.']",7,"['is', 'a', 'of']",3,0.3,
