Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,19,"['best', 'movies', ',', 'TV', 'coming', 'Netflix', ',', 'HBO', ',', 'Amazon', 'Prime', ',', 'Hulu', 'May', '2023', '.']",16,"['The', 'to', 'in']",3,0.16,
Sentence 2,25,"['Broker', ',', 'American', ',', 'Parasite', ',', 'Forgetting', 'Sarah', 'Marshall', 'great', 'movies', 'coming', 'streaming', 'month', '.']",15,"['All', 'and', 'are', 'just', 'a', 'few', 'of', 'the', 'to', 'this']",10,0.4,
Sentence 3,33,"['Every', 'month', ',', 'tons', 'new', 'movies', 'TV', 'shows', 'become', 'available', 'stream', 'free', 'U.S.', 'subscribers', 'services', 'like', 'Netflix', ',', 'HBO', 'Max', ',', 'Prime', 'Video', ',', 'Hulu', '.']",26,"['of', 'and', 'to', 'for', 'for', 'to', 'and']",7,0.21,
Sentence 4,25,"['many', 'different', 'streaming', 'services', ',', 'hard', 'keep', 'track', 'all—especially', 'belong', 'one', '.']",12,"['With', 'so', 'it', 'can', 'be', 'to', 'of', 'them', 'if', 'you', 'to', 'more', 'than']",13,0.52,
Sentence 5,11,"[',', 'present', 'ultimate', 'streaming', 'guide', '.']",6,"['Below', 'we', 'to', 'you', 'the']",5,0.45,
Sentence 6,14,"['’', 'let', 'decide', 'service', 'best', 'new', 'titles', '.']",8,"['We', 'll', 'you', 'which', 'has', 'the']",6,0.43,
Sentence 7,11,"['(', 'titles', 'arrive', 'May', '1', 'unless', 'otherwise', 'specified', '.', ')']",10,['All'],1,0.09,
Sentence 8,37,"['Good', 'WatchAmerican', 'GangsterBlack', 'Hawk', 'DownThe', 'Cable', 'GuyCaptain', 'PhillipsThe', 'Curious', 'Case', 'Benjamin', 'ButtonDawn', 'Dead', '(', '2004', ')', 'FlightMarshallParanormal', 'ActivityPitch', 'PerfectStarship', 'TroopersThis', 'EndTrafficThe', 'Young', 'Victoria', 'Problematic', 'WatchLéon', ':', 'Professional', 'Binge', 'WatchDocumentary', '!']",30,"['of', 'of', 'the', 'Is', 'the', 'The', 'Now']",7,0.19,
Sentence 9,144,"['Season', '4', '(', 'May', '9', ')', 'American', 'Season', '5', '(', 'May', '23', ')', 'Family', 'WatchChicken', 'RunThe', 'CroodsHopIgorKindergarten', 'CopPeter', 'Pan', '(', '2003', ')', 'Rugrats', 'Seasons', '1–2The', 'Smurfs', '(', '2021', ')', 'Season', '1The', 'Tale', 'DesperauxArctic', 'Dogs', '(', 'May', '4', ')', 'Justice', 'League', '(', '2001', ')', 'Seasons', '1–2', '(', 'May', '8', ')', 'Justice', 'League', 'Unlimited', '(', '2004', ')', 'Seasons', '1–2', '(', 'May', '8', ')', 'Batman', 'Seasons', '1–5', '(', '2004', ')', '(', 'May', '22', ')', 'Boss', 'Baby', '(', 'May', '22', ')', 'Nostalgia', 'WatchSteel', 'Magnolias', '(', '1989', ')', 'Groovy', 'WatchAustin', 'Powers', 'GoldmemberAustin', 'Powers', ':', 'International', 'Man', 'MysteryAustin', 'Powers', ':', 'Spy', 'Shagged', '’', 'BoredAbove', 'SuspicionAirportAirport', '1975Airport', '’', '77CliffhangerConan', 'Barbarian', '(', '2011', ')', 'Colored', 'GirlsGirl', ',', 'InterruptedThe', 'Glass', 'CastleHome', 'AgainLast', 'Action', 'HeroLegends', 'FallLemony', 'Snicket', '’', 'Series', 'Unfortunate', 'EventsRainbow', 'High', 'Season', '3St', '.']",125,"['All', 'of', 'The', 'The', 'in', 'of', 'The', 'Who', 'Me', 'If', 'You', 're', 'the', 'For', 'of', 'the', 's', 'A', 'of']",19,0.13,
Sentence 10,134,"['Vincent', '(', 'May', '11', ')', 'VampiresThe', 'Wedding', 'DateA', 'Man', 'Called', 'Otto', '(', 'May', '6', ')', 'Call', 'Kate', '(', 'May', '12', ')', 'UglyDolls', '(', 'May', '13', ')', 'La', 'Reina', 'del', 'Sur', 'Season', '3', '(', 'May', '17', ')', 'Dirty', 'Grandpa', '(', 'May', '26', ')', 'Heartland', 'Season', '15', '(', 'May', '31', ')', 'Netflix', 'ProgrammingLove', 'Village', 'Series', 'Premiere', '(', 'May', '2', ')', 'Tailor', 'Series', 'Premiere', '(', 'May', '2', ')', 'Great', 'British', 'Baking', 'Show', ':', 'Juniors', 'Season', '7', '(', 'May', '3', ')', 'Jewish', 'Matchmaking', 'Series', 'Premiere', '(', 'May', '3', ')', 'Larva', 'Family', '(', 'May', '4', ')', 'Queen', 'Charlotte', ':', 'Bridgerton', 'Story', 'Series', 'Premiere', '(', 'May', '4', ')', 'Sanctuary', 'Series', 'Premiere', '(', 'May', '4', ')', 'Spirit', 'Rangers', 'Season', '2', '(', 'May', '8', ')', 'Dance', 'Brothers', 'Series', 'Premiere', '(', 'May', '10', ')', 'Missing', ':', 'Dead', 'Alive', '?']",130,"['Me', 'The', 'A', 'or']",4,0.03,
Sentence 11,313,"['(', 'May', '10', ')', 'Queen', 'Cleopatra', '(', 'May', '10', ')', 'Royalteen', ':', 'Princess', 'Margrethe', '(', 'May', '11', ')', 'Ultraman', 'Season', '3', '(', 'May', '11', ')', 'Black', 'Knight', 'Series', 'Premiere', '(', 'May', '12', ')', 'Mother', '(', 'May', '12', ')', 'Mulligan', 'Series', 'Premiere', '(', 'May', '12', ')', 'Queer', 'Eye', 'Season', '7', '(', 'May', '12', ')', 'Anna', 'Nicole', 'Smith', ':', '’', 'Know', '(', 'May', '16', ')', 'Faithfully', '(', 'May', '17', ')', 'Fanfic', '(', 'May', '17', ')', 'McGregor', 'Forever', '(', 'May', '17', ')', 'Rhythm', '+', 'Flow', 'France', 'Season', '2', '(', 'May', '17', ')', 'Working', ':', 'Day', '(', 'May', '17', ')', 'Kitti', 'Katz', '(', 'May', '18', ')', 'XO', ',', 'Kitty', 'Series', 'Premiere', '(', 'May', '18', ')', 'Yakitori', ':', 'Soldiers', 'Misfortune', 'Series', 'Premiere', '(', 'May', '18', ')', 'Astérix', '&', 'Obélix', ':', 'Middle', 'Kingdom', '(', 'May', '19', ')', 'Kathal', '—', 'Jackfruit', 'Mystery', '(', 'May', '19', ')', 'Muted', 'Series', 'Premiere', '(', 'May', '19', ')', 'Selling', 'Sunset', 'Season', '6', '(', 'May', '19', ')', 'Young', ',', 'Famous', '&', 'African', 'Season', '2', '(', 'May', '19', ')', 'Creature', 'Cases', 'Chapter', '3', '(', 'May', '22', ')', 'MerPeople', '(', 'May', '23', ')', 'Victim/Suspect', '(', 'May', '23', ')', 'Wanda', 'Sykes', ':', '’', 'Entertainer', '(', 'May', '23', ')', 'Hard', 'Feelings', '(', 'May', '24', ')', 'Mother', '’', 'Day', '(', 'May', '24', ')', 'Ultimatum', ':', 'Queer', 'Love', 'Series', 'Premiere', '(', 'May', '24', ')', 'FUBAR', 'Series', 'Premiere', '(', 'May', '25', ')', 'Barbecue', 'Showdown', 'Season', '2', '(', 'May', '26', ')', 'Blood', '&', 'Gold', '(', 'May', '26', ')', 'Tin', '&', 'Tina', '(', 'May', '26', ')', 'Turn', 'Tide', 'Series', 'Premiere', '(', 'May', '26', ')', 'Think', 'Leave', 'Tim', 'Robinson', 'Season', '3', '(', 'May', '30', ')', 'Mixed', 'Erry', '(', 'May', '31', ')', 'best', 'movies', ',', 'TV', ',', 'books', ',', 'music', ',', ',', 'delivered', 'inbox', '.']",281,"['The', 'You', 'Don', 't', 'Me', 'Yours', 'What', 'We', 'Do', 'All', 'of', 'The', 'A', 'The', 'I', 'm', 'An', 's', 'The', 'of', 'the', 'I', 'You', 'Should', 'With', 'by', 'The', 'of', 'and', 'more', 'to', 'your']",32,0.1,
Sentence 12,5,"['Thanks', 'signing', '!']",3,"['for', 'up']",2,0.4,
Sentence 13,10,"['manage', 'newsletter', 'subscriptions', 'time', '.']",5,"['You', 'can', 'your', 'at', 'any']",5,0.5,
Sentence 14,72,"['SpecialsHannah', 'Gadsby', ':', 'Something', 'Special', '(', 'May', '9', ')', 'Must', 'WatchParasiteSome', 'Like', 'HotLord', 'Rings', ':', 'Fellowship', 'Ring', '(', 'May', '19', ')', 'Good', 'WatchAmerican', 'HoneyAs', 'Tears', 'Go', 'ByBlue', 'ValentineCalvaryCoffee', 'CigarettesHustle', '&', 'FlowMen', 'BlackPaper', 'MoonThe', 'Rookie', '(', '2002', ')', 'Step', 'BrothersThe', 'Conjuring', '(', 'May', '8', ')', 'Unbreakable', '(', 'May', '15', ')', 'Binge', 'WatchRick', 'Morty', 'Season', '6', '(', 'May', '11', ')', 'Family', 'WatchDaddy', 'Day', 'CareDr', '.']",63,"['It', 'of', 'the', 'The', 'of', 'the', 'and', 'in', 'and']",9,0.12,
