Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,50,"['New', 'Netflix', 'May', '2023', ':', 'Bridgerton', ',', 'XO', 'Kitty', ',', 'Queer', 'Eye', '-', 'Polygon', 'Queen', 'Charlotte', ':', 'Bridgerton', 'Story', ',', 'XO', 'Kitty', ',', 'new', 'season', 'Queer', 'Eye', 'everything', 'new', 'Netflix', 'May', ',', 'like', 'new', 'Jennifer', 'Lopez', 'movie', 'Mother', '.']",39,"['on', 'more', 'and', 'A', 'the', 'of', 'and', 'to', 'in', 'the', 'The']",11,0.22,
Sentence 2,35,"['use', 'cookies', 'tracking', 'technologies', 'improve', 'browsing', 'experience', 'site', ',', 'show', 'personalized', 'content', 'targeted', 'ads', ',', 'analyze', 'site', 'traffic', ',', 'understand', 'audiences', 'come', '.']",23,"['We', 'and', 'other', 'to', 'your', 'on', 'our', 'and', 'and', 'where', 'our', 'from']",12,0.34,
Sentence 3,11,"['learn', 'opt-out', ',', 'read', 'Cookie', 'Policy', '.']",7,"['To', 'more', 'or', 'our']",4,0.36,
Sentence 4,19,"['Please', 'also', 'read', 'Privacy', 'Notice', 'Terms', 'Use', ',', 'became', 'effective', 'December', '20', ',', '2019', '.']",15,"['our', 'and', 'of', 'which']",4,0.21,
Sentence 5,17,"['choosing', 'Accept', ',', 'consent', 'use', 'cookies', 'tracking', 'technologies', '.']",9,"['By', 'I', 'you', 'to', 'our', 'of', 'and', 'other']",8,0.47,
Sentence 6,7,"['Filed', ':', 'Netflix', 'spinoffs', 'galore', '!']",6,['under'],1,0.14,
Sentence 7,44,"['Even', 'Netflix', '’', 'recommendation', 'algorithm', 'serving', 'new', 'movies', ',', 'new', 'TV', 'shows', ',', 'original', 'programming', 'tailored', 'viewing', 'habits', ',', 'streaming', 'service', '’', 'firehose', 'content', 'makes', '’', 'coming', 'going', 'difficult', 'parse', '.']",31,"['with', 's', 'you', 'and', 'to', 'your', 'the', 's', 'of', 'what', 's', 'and', 'to']",13,0.3,
Sentence 8,52,"['month', ',', 'get', 'handful', 'spinoffs', 'form', 'existing', 'Netflix', 'properties', ':', 'Queen', 'Charlotte', ',', 'Bridgerton', 'prequel', ';', 'XO', ',', 'Kitty', ',', 'Boys', '’', 'Loved', 'spinoff', 'series', ';', 'Jewish', 'Matchmaking', ',', 'reality', 'show', 'people', 'behind', 'Indian', 'Matchmaking', '.']",36,"['This', 'we', 'a', 'of', 'the', 'the', 'To', 'All', 'The', 'I', 've', 'Before', 'and', 'a', 'from', 'the']",16,0.31,
Sentence 9,46,"['also', 'plethora', 'animated', 'movies', 'shows', 'back', 'catalogue', ',', 'like', 'Chicken', 'Run', ',', 'Boss', 'Baby', ',', 'Justice', 'League', 'Unlimited', ',', 'Ugly', 'Dolls', ',', 'well', 'Austin', 'Powers', 'Netflix', 'original', 'Jennifer', 'Lopez', 'movie', 'Mother', '.']",32,"['There', 'are', 'a', 'of', 'and', 'from', 'the', 'and', 'as', 'as', 'the', 'and', 'the', 'The']",14,0.3,
Sentence 10,39,"['Siren', ':', 'Survive', 'Island', '(', 'Netflix', 'Series', ')', 'Netflix', ':', '24', 'female', 'police', 'officers', ',', 'firefighters', ',', 'bodyguards', ',', 'soldiers', ',', 'athletes', 'stuntwomen', 'team', 'profession', 'compete', 'survival', 'remote', 'island', '.']",30,"['the', 'From', 'and', 'up', 'by', 'to', 'for', 'on', 'a']",9,0.23,
