Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,52,"['New', 'Netflix', 'May', '2023', ':', 'Movies', ',', 'TV', 'shows', '&', '’', 'next', '-', 'Dexerto', '’', 'start', 'new', 'month', ',', 'means', 'new', 'content', 'Netflix', '-', 'movies', ',', 'TV', 'shows', ',', '’', 'next', 'May', '2023', '.']",34,"['on', 'what', 's', 'It', 's', 'the', 'of', 'a', 'which', 'from', 'here', 'are', 'all', 'the', 'and', 'what', 's', 'in']",18,0.35,
Sentence 2,13,"['Trending', 'TV', ',', 'movie', 'anime', 'news', ',', 'plus', 'reviews', 'analysis', '.']",11,"['and', 'and']",2,0.15,
Sentence 3,48,"['’', 'start', 'new', 'month', ',', 'means', '31', 'days', 'new', 'content', 'Netflix', '–', 'lots', 'excited', ',', 'movies', ',', 'TV', 'shows', ',', '’', 'next', 'streamer', 'May', '2023', '.']",26,"['It', 's', 'the', 'of', 'a', 'which', 'of', 'from', 'with', 'to', 'be', 'about', 'here', 'are', 'all', 'the', 'and', 'what', 's', 'for', 'the', 'in']",22,0.46,
Sentence 4,46,"['Never', 'one', 'disappoint', ',', 'Netflix', 'brings', 'us', 'treasure', 'trove', 'new', 'content', 'old', 'picks', 'every', 'week', ',', 'April', 'proving', 'fantastic', 'month', 'fresh', 'shows', 'Beef', ',', 'Diplomat', ',', 'Transatlantic', ',', 'Nurse', '.']",30,"['to', 'a', 'of', 'and', 'each', 'and', 'with', 'to', 'be', 'a', 'for', 'such', 'as', 'The', 'and', 'The']",16,0.35,
Sentence 5,38,"['’', ',', 'fans', 'treated', 'emotional', 'final', 'chapter', 'Firefly', 'Lane', 'episodes', 'Riverdale', '’', 'seventh', 'final', 'season', ',', 'set', 'continue', 'coming', 'weeks', '.']",21,"['What', 's', 'more', 'were', 'to', 'the', 'of', 'and', 'more', 'of', 's', 'and', 'which', 'is', 'to', 'in', 'the']",17,0.45,
Sentence 6,24,"['streamer', 'also', 'delivered', 'new', 'big', 'screen', 'events', 'Chupa', 'stand-up', 'comedy', 'special', 'Name', 'Mo', '’', 'Nique', '.']",16,"['The', 'some', 'such', 'as', 'and', 'the', 'My', 'Is']",8,0.33,
Sentence 7,40,"['always', ',', '’', 'plenty', 'came', '–', ',', '’', 'rundown', 'movies', ',', 'TV', 'shows', ',', '’', 'next', 'Netflix', 'May', '2023', '.']",20,"['As', 'there', 's', 'more', 'where', 'that', 'from', 'so', 'here', 's', 'a', 'of', 'all', 'of', 'the', 'and', 'what', 's', 'for', 'in']",20,0.5,
Sentence 8,104,"['Queen', 'Charlotte', ':', 'Bridgerton', 'Story', '–', 'May', '4', 'Queen', 'Charlotte', ',', 'upcoming', 'prequel', 'wildly', 'popular', 'Bridgerton', 'series', ',', 'centers', 'titular', 'monarch', '’', '“', 'rise', 'prominence', 'power', ',', '”', 'telling', 'story', '“', 'young', 'Queen', '’', 'marriage', 'King', 'George', 'sparked', 'great', 'love', 'story', 'societal', 'shift', ',', 'creating', 'world', 'Ton', 'inherited', 'characters', 'Bridgerton.', '”', 'Queen', 'Cleopatra', '–', 'May', '10', 'Jada', 'Pinkett', 'Smith', 'behind', 'heavily', 'debated', 'new', 'season', 'docu-series', 'exploring', 'lives', 'prominent', 'iconic', 'African', 'Queens', '.']",72,"['A', 'the', 'for', 'the', 'on', 'the', 's', 'to', 'and', 'the', 'of', 'how', 'the', 's', 'to', 'both', 'a', 'and', 'a', 'the', 'of', 'the', 'by', 'the', 'in', 'is', 'the', 'of', 'the', 'the', 'of', 'and']",32,0.31,
Sentence 9,175,"['per', 'Netflix', ',', 'latest', 'installment', 'focus', 'Queen', 'Cleopatra', ',', '“', 'world', '’', 'famous', ',', 'powerful', ',', 'misunderstood', 'woman', '–', 'daring', 'queen', 'whose', 'beauty', 'romances', 'came', 'overshadow', 'real', 'asset', ':', 'intellect.', '”', 'Black', 'Knight', '–', 'May', '12', 'new', 'sci-fi', 'thriller', ',', 'Black', 'Knight', 'promises', '“', 'action-packed', ',', 'adrenaline-fueled', 'adventure', 'leave', 'breathless.', '”', 'series', 'takes', 'viewers', 'post-apocalyptic', 'universe', '“', 'Korean', 'peninsula', 'become', 'desert', 'wasteland', 'one', 'percent', 'population', 'clings', 'life.', '”', 'Mother', '–', 'May', '12', 'Jennifer', 'Lopez', 'takes', 'lead', 'role', 'producer', 'movie', 'deadly', 'female', 'assassin', 'comes', 'hiding', '“', 'protect', 'daughter', 'gave', 'years', ',', 'run', 'dangerous', 'men.', '”', 'FUBAR', '–', 'May', '25', 'Arnold', 'Schwarzenegger', 'swapping', 'big-screen', 'streaming', ',', 'taking', 'lead', 'role', 'Netflix', '’', 'new', 'show', 'FUBAR', '.']",113,"['As', 'the', 'will', 'on', 'the', 's', 'most', 'and', 'a', 'and', 'to', 'her', 'her', 'As', 'a', 'to', 'be', 'an', 'that', 'will', 'you', 'The', 'into', 'a', 'where', 'the', 'has', 'a', 'and', 'only', 'of', 'the', 'to', 'The', 'on', 'the', 'and', 'is', 'a', 'in', 'this', 'about', 'a', 'who', 'out', 'of', 'to', 'the', 'that', 'she', 'up', 'before', 'while', 'on', 'the', 'from', 'is', 'the', 'for', 'the', 'in', 's']",62,0.35,
Sentence 10,30,"['famed', 'bodybuilder', 'portrays', 'Luke', 'Brunner', ',', 'veteran', 'CIA', 'operative', 'verge', 'retirement', ',', 'called', 'back', 'field', 'one', 'last', 'job', '.']",19,"['The', 'a', 'on', 'the', 'of', 'only', 'to', 'be', 'into', 'the', 'for']",11,0.37,
Sentence 11,39,"['movies', 'TV', 'shows', 'hitting', 'Netflix', 'May', '2023', ':', 'May', '1', 'May', '2', 'May', '3', 'May', '4', 'May', '6', 'Subscribe', 'newsletter', 'latest', 'updates', 'Esports', ',', 'Gaming', '.']",26,"['Here', 'are', 'all', 'the', 'and', 'in', 'to', 'our', 'for', 'the', 'on', 'and', 'more']",13,0.33,
Sentence 12,50,"['May', '8', 'May', '9', 'May', '10', 'May', '11', 'May', '12', 'May', '13', 'May', '16', 'May', '17', 'May', '18', 'May', '19', 'May', '22', 'May', '23', 'May', '24', 'May', '25', 'May', '26', 'May', '30', 'May', '31', '’', 'everything', 'know', 'new', 'releases', 'Netflix', 'May', '2023', '.']",43,"['That', 's', 'we', 'about', 'the', 'on', 'in']",7,0.14,
Sentence 13,48,"['Check', 'Netflix', 'hubs', ':', 'Sandman', 'Season', '2', '|', 'Stranger', 'Things', 'Season', '5', '|', 'Witcher', 'Season', '3', '|', 'Squid', 'Game', 'Season', '2', '|', 'Wednesday', 'Season', '2', '|', 'Extraction', '2', '|', 'Murder', 'Mystery', '3', '|', 'Gears', 'War', 'movie', '|', 'Cobra', 'Kai', 'Season', '6']",41,"['out', 'our', 'other', 'below', 'The', 'The', 'of']",7,0.15,
