Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,28,"['NFL', 'Quarterback', 'Reportedly', 'Furious', 'Donald', 'Trump', 'Photo', 'NFL', 'quarterback', 'reportedly', 'left', 'agency', 'least', 'part', 'due', 'photo', 'Donald', 'Trump', '.']",19,"['Was', 'With', 'An', 'his', 'at', 'in', 'to', 'a', 'of']",9,0.32,
Sentence 2,21,"['Jalen', 'Hurts', 'repped', 'Nicole', 'Lynn', ',', 'helped', 'land', 'monster', 'contract', 'extension', 'Philadelphia', 'Eagles', '.']",14,"['is', 'by', 'who', 'him', 'a', 'with', 'the']",7,0.33,
Sentence 3,13,"['However', ',', ',', 'Lil', 'Wayne', ""'s"", 'agency', '.']",8,"['before', 'that', 'he', 'was', 'with']",5,0.38,
Sentence 4,26,"['According', 'Skip', 'Bayless', '-', '...', 'NFL', 'quarterback', 'reportedly', 'left', 'agency', 'least', 'part', 'due', 'photo', 'Donald', 'Trump', '.']",17,"['to', 'a', 'An', 'his', 'at', 'in', 'to', 'a', 'of']",9,0.35,
Sentence 5,21,"['Jalen', 'Hurts', 'repped', 'Nicole', 'Lynn', ',', 'helped', 'land', 'monster', 'contract', 'extension', 'Philadelphia', 'Eagles', '.']",14,"['is', 'by', 'who', 'him', 'a', 'with', 'the']",7,0.33,
Sentence 6,13,"['However', ',', ',', 'Lil', 'Wayne', ""'s"", 'agency', '.']",8,"['before', 'that', 'he', 'was', 'with']",5,0.38,
Sentence 7,30,"['According', 'Skip', 'Bayless', '-', 'close', 'friend', 'Lil', 'Wayne', '-', 'Hurts', 'left', 'agency', ',', 'part', ',', 'due', 'Lil', 'Wayne', 'photo', 'then-President', 'Trump', '.']",22,"['to', 'a', 'of', 'the', 'in', 'to', 'a', 'with']",8,0.27,
Sentence 8,13,"['Bayless', 'claims', 'photo', 'something', 'Hurts', ""'"", 'departure', '.']",8,"['the', 'had', 'to', 'do', 'with']",5,0.38,
Sentence 9,25,"['Bayless', 'close', 'friends', 'Lil', 'Wayne', ',', 'often', 'hanging', 'hip-hop', 'star', ',', 'show', 'real', 'life', '.']",15,"['is', 'with', 'out', 'with', 'the', 'both', 'on', 'his', 'and', 'in']",10,0.4,
Sentence 10,20,"['might', 'speculative', ',', 'Bayless', 'likely', 'good', 'sources', 'Lil', 'Wayne', ""'s"", 'side', 'things', '.']",13,"['While', 'this', 'be', 'has', 'some', 'on', 'of']",7,0.35,
Sentence 11,9,"['Perhaps', 'Hurts', 'address', 'point', '.']",5,"['will', 'it', 'at', 'some']",4,0.44,
Sentence 12,15,"['Like', 'us', 'Facebook', 'see', 'similar', 'stories', 'Please', 'give', 'overall', 'site', 'rating', ':']",12,"['on', 'to', 'an']",3,0.2,
