Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,50,"['Ed', 'Sheeran', 'Testimony', '‘', 'Thinking', 'Loud', '’', 'Copyright', 'Trial', 'Continues', '–', 'Billboard', 'Ed', 'Sheeran', 'said', '’', 'believe', 'somebody', 'would', '“', 'diminish', '&', 'quot', ';', 'one', 'songs', '&', 'quot', ';', 'saying', 'stole', '”', ""'Thinking"", 'Loud', ""'"", 'copyright', 'trial', '.']",38,"['in', 'Out', 'he', 'couldn', 't', 'of', 'his', 'by', 'I', 'it', 'at', 'Out']",12,0.24,
Sentence 2,27,"['Sheeran', 'says', 'could', ""n't"", 'believe', 'somebody', 'would', 'listen', 'one', 'songs', '``', 'diminish', 'saying', 'stole', '.', ""''""]",16,"['he', 'that', 'to', 'of', 'his', 'and', 'then', 'it', 'by', 'I', 'it']",11,0.41,
Sentence 3,62,"['Associated', 'Press', 'Ed', 'Sheeran', 'said', 'Monday', '(', 'May', '1', ')', '’', 'getting', 'encouragement', 'copyright', 'trial', 'performers', 'also', 'worry', '’', 'sued', 'battles', 'claims', 'stole', 'material', 'Marvin', 'Gaye', '’', '“', 'Let', '’', 'Get', '”', 'make', 'new', 'tune', 'decade', 'ago', '.']",38,"['By', 'he', 's', 'during', 'his', 'from', 'other', 'who', 'that', 'they', 'll', 'be', 'as', 'he', 'that', 'he', 'from', 's', 's', 'It', 'On', 'to', 'a', 'a']",24,0.39,
Sentence 4,55,"['British', 'singer', 'offered', 'spirited', 'defense', 'lot', 'singing', 'second', 'day', 'witness', 'stand', 'called', 'lawyer', 'answer', 'questions', 'trial', 'accused', 'infringing', 'copyrights', '1973', 'soul', 'classic', 'Gaye', 'created', 'fellow', 'songwriter', 'Ed', 'Townsend', '.']",29,"['The', 'a', 'and', 'a', 'of', 'during', 'a', 'on', 'the', 'after', 'he', 'was', 'by', 'his', 'to', 'at', 'a', 'at', 'which', 'he', 'is', 'of', 'the', 'of', 'the', 'with']",26,0.47,
Sentence 5,27,"['Sheeran', 'said', '’', 'heard', 'singers', 'since', 'trial', 'began', 'last', 'week', 'share', 'worries', 'litigation', 'resulting', 'songwriting', '.']",16,"['he', 's', 'from', 'other', 'the', 'because', 'they', 'his', 'about', 'from', 'their']",11,0.41,
Sentence 6,36,"['’', 'identify', 'said', '’', 'cheering', '—', 'grateful', '’', 'standing', 'songwriters', 'view', 'threat', 'work', '.']",14,"['He', 'didn', 't', 'any', 'of', 'them', 'but', 'they', 're', 'him', 'on', 'that', 'he', 's', 'up', 'against', 'what', 'all', 'as', 'a', 'to', 'their']",22,0.61,
Sentence 7,15,"['“', 'write', 'songs', ',', 'somebody', 'comes', ',', '”', 'Sheeran', 'said', '.']",11,"['When', 'you', 'after', 'you']",4,0.27,
Sentence 8,23,"['trial', ',', 'second', 'week', ',', 'stems', 'lawsuit', 'filed', 'Townsend', '’', 'heirs', 'several', 'years', 'ago', '.']",15,"['The', 'now', 'in', 'its', 'from', 'a', 'by', 's']",8,0.35,
Sentence 9,5,"['seek', 'unspecified', 'damages', '.']",4,['They'],1,0.2,
Sentence 10,58,"['opening', 'statement', 'last', 'week', ',', 'Townsend', 'attorney', 'Ben', 'Crump', 'said', 'Zurich', 'concert', 'clip', 'Sheeran', 'heard', 'segueing', 'onstage', '“', 'Let', '’', 'Get', '”', 'alleged', 'offending', 'song', ',', '“', 'Thinking', 'Loud', ',', '”', 'amounted', '“', 'smoking', 'gun', '”', 'proof', 'Sheeran', 'violating', 'copyrights', '.']",41,"['During', 'an', 'a', 'in', 'which', 'can', 'be', 'between', 's', 'It', 'On', 'and', 'the', 'Out', 'to', 'that', 'was']",17,0.29,
