Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,40,"['Woody', 'Harrelson', 'discusses', ""'SNL"", ""'"", 'backlash', ':', ""'"", '’', 'look', '--', '-', ""'"", '|', 'Fox', 'News', 'Woody', 'Harrelson', 'addressed', 'backlash', 'controversial', 'jokes', 'hosting', '``', 'Saturday', 'Night', 'Live', ""''"", 'March', '.']",30,"['I', 'don', 't', 'at', 'that', 's', 'over', 'his', 'while', 'in']",10,0.25,
Sentence 2,15,"['actor', 'appeared', 'poke', 'fun', 'COVID-19', 'vaccine', 'mandates', 'marijuana', 'usage', '.']",10,"['The', 'to', 'at', 'and', 'his']",5,0.33,
Sentence 3,2,"['Factset', '.']",2,[],0,0.0,
Sentence 4,8,"['Powered', 'implemented', 'FactSet', 'Digital', 'Solutions', '.']",6,"['and', 'by']",2,0.25,
Sentence 5,3,"['Legal', 'Statement', '.']",3,[],0,0.0,
Sentence 6,10,"['Mutual', 'Fund', 'ETF', 'data', 'provided', 'Refinitiv', 'Lipper', '.']",8,"['and', 'by']",2,0.2,
Sentence 7,27,"['Actor', 'Woody', 'Harrrelson', 'appeared', 'make', 'surprise', 'joke', 'coronavirus', 'vaccines', 'delivered', 'opening', 'monologue', 'hosting', 'NBC', ""'s"", '``', 'Saturday', 'Night', 'Live', '.', ""''""]",21,"['to', 'a', 'about', 'while', 'he', 'his']",6,0.22,
Sentence 8,8,"['Woody', 'Harrelson', 'changing', 'ways', '.']",5,"['is', 'not', 'his']",3,0.38,
Sentence 9,29,"['recent', 'interview', 'Esquire', ',', 'Harrelson', 'got', 'candid', '``', 'Saturday', 'Night', 'Live', ""''"", 'monologue', 'circulated', 'internet', 'sparked', 'backlash', 'viewers', '.']",19,"['In', 'a', 'with', 'about', 'his', 'that', 'the', 'and', 'from', 'some']",10,0.34,
Sentence 10,23,"['Harrelson', 'hosted', 'NBC', 'comedy', 'sketch', 'series', 'February', 'stirred', 'controversy', 'appeared', 'poke', 'fun', 'COVID-19', 'vaccine', 'mandates', '.']",16,"['the', 'in', 'and', 'after', 'he', 'to', 'at']",7,0.3,
Sentence 11,16,"['``', 'Well', ',', 'people', 'told', ',', 'shall', 'say', ',', ""'trending"", '.', ""'""]",12,"['me', 'it', 'was', 'we']",4,0.25,
Sentence 12,31,"[',', '’', 'look', '--', '-', ',', ""''"", 'told', 'Esquire', 'outlet', 'asked', 'Harrelson', 'saw', 'controversy', 'monologue', 'caused', '.']",17,"['No', 'I', 'don', 't', 'at', 'that', 's', 'he', 'after', 'the', 'if', 'the', 'his', 'had']",14,0.45,
Sentence 13,38,"['‘', 'CHAMPIONS', '’', 'STAR', 'WOODY', 'HARRELSON', ':', '‘', 'SNL', '’', 'MONOLOGUE', 'CONTROVERSY', 'CAPS', 'STORIED', 'PERSONAL', 'JOURNEY', 'Woody', 'Harrelson', 'sparked', 'controversy', 'March', 'appearing', 'poke', 'fun', 'COVID-19', 'vaccine', 'mandates', '``', 'Saturday', 'Night', 'Live', '.', ""''""]",33,"['in', 'while', 'to', 'at', 'on']",5,0.13,
Sentence 14,46,"['(', 'LOIC', 'VENANCE/AFP', 'via', 'Getty', 'Images', ')', ""''"", 'feel', 'like', ',', '‘', 'said', 'SNL.', '’', '’', 'need', 'go', '[', 'pause', ']', '…other', 'say', '—', 'well', ',', ',', '’', '.']",29,"['I', 'I', 'it', 'on', 'I', 'don', 't', 'to', 'further', 'with', 'it', 'than', 'to', 'no', 'I', 'won', 't']",17,0.37,
Sentence 15,3,"['Never', 'mind', '.']",3,[],0,0.0,
Sentence 16,15,"['’', 'enough…', '’', 'change', 'life', 'one', 'bit', '.']",8,"['That', 's', 'But', 'it', 'don', 't', 'my']",7,0.47,
Sentence 17,18,"['one', 'bit', ',', 'mainstream', 'media', 'wants', 'go', ',', 'right', '?']",10,"['Not', 'if', 'the', 'to', 'have', 'a', 'at', 'you']",8,0.44,
Sentence 18,10,"['life', 'still', 'wonderful', ',', ""''"", 'Harrelson', 'concluded', '.']",8,"['My', 'is']",2,0.2,
Sentence 19,56,"['WOODY', 'HARRELSON', '’', '‘', 'SATURDAY', 'NIGHT', 'LIVE', '’', 'MONOLOGUE', 'COVID', 'SPARKS', 'DEBATE', ',', 'ELON', 'MUSK', 'SAYS', 'SPOT', 'March', 'episode', '``', 'Saturday', 'Night', 'Live', ',', ""''"", 'Harrelson', 'joked', 'frequent', 'use', 'marijuana', ',', 'conflicting', 'political', 'views', '``', 'redneck', 'hippie', ""''"", 'division', 'America', '.']",41,"['S', 'ABOUT', 'HE', 'WAS', 'ON', 'During', 'the', 'of', 'about', 'his', 'of', 'as', 'a', 'and', 'in']",15,0.27,
Sentence 20,28,"['closed', 'monologue', 'recounting', 'movie', 'pitch', 'allegedly', 'read', '2019', 'called', '``', 'craziest', ""''"", '’', 'ever', 'heard', '.']",16,"['He', 'out', 'his', 'by', 'a', 'he', 'in', 'that', 'he', 'the', 'he', 's']",12,0.43,
Sentence 21,42,"['``', 'movie', 'goes', 'like', ':', 'biggest', 'drug', 'cartels', 'world', 'get', 'together', 'buy', 'media', 'politicians', 'force', 'people', 'world', 'stay', 'locked', 'homes', '.']",21,"['So', 'the', 'this', 'The', 'in', 'the', 'and', 'up', 'all', 'the', 'and', 'all', 'the', 'and', 'all', 'the', 'in', 'the', 'to', 'in', 'their']",21,0.5,
Sentence 22,26,"['people', 'come', 'take', 'cartel', '’', 'drugs', 'keep', 'taking', ',', ""''"", 'Harrelson', 'said', '.']",13,"['And', 'can', 'only', 'out', 'if', 'they', 'the', 's', 'and', 'them', 'over', 'and', 'over']",13,0.5,
Sentence 23,15,"['Woody', 'Harrelson', 'said', 'wo', ""n't"", '``', 'change', ""''"", 'life', 'based', 'backlash', '.']",12,"['he', 'his', 'on']",3,0.2,
Sentence 24,12,"['(', 'Paras', 'Griffin/Getty', 'Images', ')', ""''"", 'threw', 'script', 'away', '.']",10,"['I', 'the']",2,0.17,
Sentence 25,12,"['mean', ',', 'going', 'believe', 'crazy', 'idea', '?']",7,"['I', 'who', 'was', 'to', 'that']",5,0.42,
Sentence 26,6,"['forced', 'drugs', '?']",3,"['Being', 'to', 'do']",3,0.5,
