Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,29,"['Rebel', 'Democrats', 'Risk', 'Empowering', 'GOP', 'Extremists', 'Debt', 'Limit', 'House', 'Democrats', 'calling', 'Biden', 'negotiate', 'Republicans', 'demanding', 'surrender', 'rather', 'compromise', 'promoting', 'genuine', 'bipartisanship', '.']",22,"['on', 'for', 'to', 'with', 'than', 'are', 'not']",7,0.24,
Sentence 2,18,"['empowering', 'House', 'Freedom', 'Caucus', 'extremists', 'holding', 'gun', 'McCarthy', '’', 'head', '.']",11,"['They', 'are', 'who', 'are', 'a', 'to', 's']",7,0.39,
Sentence 3,13,"['Things', 'buy', 'links', 'may', 'earn', 'Vox', 'Media', 'commission', '.']",9,"['you', 'through', 'our', 'a']",4,0.31,
Sentence 4,44,"['House', 'Speaker', 'Kevin', 'McCarthy', 'finally', 'managed', 'put', 'together', 'chicken', 'wire', 'chewing', 'gum', 'package', 'conditions', 'brief', 'debt-limit', 'increase', '’', 'irresponsibly', 'right-wing', 'enough', 'get', 'votes', 'House', 'Freedom', 'Caucus', 'members', '.']",28,"['has', 'to', 'with', 'and', 'a', 'of', 'for', 'a', 'that', 's', 'to', 'the', 'of', 'most', 'of', 'the']",16,0.36,
Sentence 5,54,"[',', 'time', 'running', 'avoid', 'debt', 'default', ',', 'troops', 'demanding', 'President', 'Biden', 'negotiate', 'poisoned', 'ground', ',', 'revenue', 'measures', 'table', 'permanently', 'obnoxious', 'demands', 'called', 'nonnegotiable', 'Freedom', 'Caucus', 'members', '.']",27,"['Now', 'with', 'out', 'to', 'a', 'he', 'and', 'his', 'are', 'that', 'with', 'them', 'on', 'this', 'in', 'which', 'are', 'off', 'the', 'and', 'some', 'of', 'the', 'most', 'are', 'being', 'by']",27,0.5,
Sentence 6,61,"['desperate', 'gambit', 'force', 'major', 'concessions', 'White', 'House', 'Senate', 'Democrats', ',', 'McCarthy', 'receiving', 'bipartisan', 'cover', 'handful', 'House', 'Democrats', 'may', 'signed', 'onto', 'spending', 'policy', 'demands', 'echoing', 'immediate', 'central', 'demand', 'Biden', 'abandon', '“', 'negotiation', 'debt-limit', 'terrorists', '”', 'posture', '.']",36,"['In', 'this', 'to', 'from', 'the', 'and', 'is', 'some', 'from', 'a', 'of', 'who', 'not', 'have', 'his', 'and', 'but', 'are', 'the', 'more', 'and', 'that', 'his', 'no', 'with']",25,0.41,
Sentence 7,45,"['Axios', 'reports', 'rebel', 'activities', ',', 'deploying', 'familiar', 'Democrats-in-disarray', 'narrative', ':', 'divide', 'opened', 'House', 'Senate', 'Democrats', 'whether', 'President', 'Biden', 'negotiate', 'debt', 'ceiling', 'compromise', 'House', 'Speaker', 'Kevin', 'McCarthy', '(', 'R-Calif.', ')', ',', 'Axios', 'learned', '.']",33,"['on', 'the', 'the', 'A', 'has', 'between', 'and', 'over', 'should', 'a', 'with', 'has']",12,0.27,
Sentence 8,35,"['…', 'Nearly', 'dozen', 'House', 'Democrats', 'told', 'Axios', ',', 'Politico', 'Washington', 'Post', ',', 'written', 'publicly', ',', 'believe', 'Biden', 'McCarthy', 'discussions', 'debt', 'ceiling', '.']",22,"['a', 'have', 'and', 'the', 'or', 'that', 'they', 'and', 'should', 'be', 'in', 'on', 'the']",13,0.37,
Sentence 9,109,"['recently', ',', 'Trump-district', 'Reps.', 'Jared', 'Golden', '(', 'D-Maine', ')', ',', 'Mary', 'Peltola', '(', 'D-Alaska', ')', 'Marie', 'Pérez', '(', 'D-Wash.', ')', 'wrote', 'letter', ':', '“', 'time', 'end', 'partisan', 'standoff', 'brinkmanship', 'rattles', 'markets', ',', 'damages', 'economy', ',', 'hurts', 'American', 'people.', '”', 'vaguely', ',', 'bipartisan', 'Problem-Solvers', 'Caucus', '(', '32', 'House', 'Democrats', '31', 'House', 'Republicans', ')', 'released', '“', 'framework', '”', 'negotiations', 'debt', 'limit', 'resembles', 'kick-the-can-down-the-road', '“', 'solution', '”', 'avoided', 'debt', 'default', 'back', '2011', ',', 'Biden', 'charge', 'talks', 'GOP', 'hostage', 'takers', '.']",77,"['Most', 'and', 'in', 'a', 'It', 'is', 'to', 'the', 'and', 'before', 'it', 'our', 'and', 'the', 'More', 'the', 'and', 'have', 'a', 'for', 'on', 'the', 'that', 'the', 'that', 'a', 'in', 'when', 'was', 'in', 'of', 'with']",32,0.29,
Sentence 10,27,"['2011', 'scenario', '(', 'based', 'commission', 'recommended', 'arbitrary', 'spending', 'caps', ')', 'precisely', 'Biden', 'Democrats', 'vowed', 'emulate', '.']",16,"['The', 'on', 'a', 'that', 'is', 'what', 'and', 'most', 'have', 'not', 'to']",11,0.41,
