Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,41,"['10', 'Best', 'Things', 'Saw', 'Salone', 'del', 'Mobile', '-', 'New', 'York', 'Times', 'tinsel-embellished', 'chairs', 'light', 'resembles', 'caterpillar', 'cake', ',', 'standouts', 'annual', 'design', 'fair', 'Milan', '.']",24,"['The', 'We', 'at', 'The', 'From', 'to', 'a', 'that', 'both', 'a', 'and', 'a', 'a', 'few', 'from', 'the', 'in']",17,0.41,
Sentence 2,26,"['tinsel-embellished', 'chairs', 'light', 'resembles', 'caterpillar', 'cake', ',', 'standouts', 'annual', 'design', 'fair', 'Milan', '.']",13,"['From', 'to', 'a', 'that', 'both', 'a', 'and', 'a', 'a', 'few', 'from', 'the', 'in']",13,0.5,
Sentence 3,48,"['Italian', 'design', 'firm', 'Dimore', 'Studio', 'created', 'set', 'themed', 'spaces', 'within', 'gallery', 'could', 'viewed', 'holes', 'wall.Credit', '...', 'Andrea', 'Ferrari', 'Supported', 'Send', 'friend', 'story', 'subscriber', ',', '10', 'gift', 'articles', 'give', 'month', '.']",30,"['The', 'a', 'of', 'a', 'that', 'be', 'through', 'in', 'the', 'by', 'any', 'a', 'As', 'a', 'you', 'have', 'to', 'each']",18,0.38,
Sentence 4,7,"['Anyone', 'read', 'share', '.']",4,"['can', 'what', 'you']",3,0.43,
Sentence 5,26,"['Ella', 'Riley-Adams', 'year', ',', 'Milan', '’', 'Salone', 'del', 'Mobile', 'design', 'fair', ',', 'concluded', 'Sunday', ',', 'returned', 'prepandemic', 'schedule', '.']",19,"['By', 'This', 's', 'which', 'on', 'to', 'its']",7,0.27,
Sentence 6,32,"['welcome', 'change', 'attendees', ',', 'able', 'take', 'vast', 'array', 'furniture', 'décor', 'also', 'beauty', 'spring', 'Italy', '.']",15,"['It', 'was', 'a', 'for', 'who', 'were', 'to', 'in', 'not', 'only', 'a', 'of', 'and', 'but', 'the', 'of', 'in']",17,0.53,
Sentence 7,17,"['(', 'Last', 'year', '’', 'fair', 'postponed', 'happened', 'particularly', 'sweltering', 'June', '.', ')']",12,"['s', 'was', 'and', 'during', 'a']",5,0.29,
Sentence 8,18,"['Glimpsed', 'crowded', 'sidewalks', ',', 'city', '’', 'courtyards', 'looked', 'verdant', 'welcoming', 'ever', '.']",12,"['from', 'the', 's', 'more', 'and', 'than']",6,0.33,
Sentence 9,57,"['week', '’', 'events', 'exhibitions', 'similar', 'appeal', ',', 'offering', 'access', 'spaces', '’', 'always', 'easy', 'see', '—', '’', 'annual', 'Salone', 'party', ',', 'example', ',', 'gave', 'guests', 'chance', 'wander', 'Villa', 'Necchi', 'Campiglio', 'night', '—', 'well', 'moments', 'unexpected', 'enchantment', '.']",36,"['And', 'the', 's', 'and', 'had', 'a', 'to', 'that', 'aren', 't', 'to', 'T', 's', 'for', 'the', 'to', 'the', 'at', 'as', 'as', 'of']",21,0.37,
Sentence 10,11,"[',', 'things', 'left', 'lasting', 'impression', '.']",6,"['Here', 'a', 'few', 'that', 'a']",5,0.45,
Sentence 11,43,"['neo-Classical', 'courtyard', '16th-century', 'Palazzo', 'Isimbardi', ',', 'center', 'stood', 'crop', 'sculptures', 'depicting', 'oversize', 'mushrooms', ',', 'Spanish', 'fashion', 'house', 'Loewe', 'displayed', 'collection', 'chairs', 'small', 'navy', ',', 'red', 'gray', 'pedestals', '.']",28,"['In', 'the', 'of', 'the', 'at', 'the', 'of', 'which', 'a', 'of', 'the', 'a', 'of', 'on', 'and']",15,0.35,
Sentence 12,39,"['Among', '30', 'stick', 'chairs', '—', 'mostly', 'antique', ',', 'jaunty', 'splayed', 'legs', 'spindle', 'backs', '—', 'embellished', 'brand', '’', 'creative', 'director', ',', 'Jonathan', 'Anderson', ',', 'collaboration', 'several', 'artisans', '.']",27,"['them', 'were', 'with', 'and', 'that', 'had', 'been', 'by', 'the', 's', 'in', 'with']",12,0.31,
Sentence 13,21,"['One', 'covered', 'lilac', 'moss', 'green', 'felt', ',', 'another', 'loops', 'raffia', 'shades', 'Funfetti', '.']",13,"['was', 'in', 'and', 'with', 'of', 'in', 'the', 'of']",8,0.38,
Sentence 14,49,"['also', 'eight', 'wicker-like', 'chairs', 'created', 'Belgian', 'furniture', 'maker', 'Vincent', 'Sheppard', 'using', 'technique', ',', 'invented', 'World', 'War', ',', 'paper', 'wound', 'around', 'metal', 'wire', 'machine', 'woven', ',', 'producing', 'material', 'hardier', 'closest', 'aesthetic', 'counterpart', ',', 'rattan', '.']",34,"['There', 'were', 'by', 'the', 'a', 'during', 'I', 'in', 'which', 'is', 'and', 'then', 'a', 'than', 'its']",15,0.31,
Sentence 15,28,"['one', ',', 'mushroom', 'theme', 'arose', ':', 'seat', 'painted', 'look', 'like', 'Fly', 'agaric', ',', 'red', 'irregular', 'white', 'dots', '.']",18,"['On', 'of', 'these', 'the', 'again', 'The', 'was', 'to', 'a', 'with']",10,0.36,
Sentence 16,24,"['Arles', ',', 'France-based', 'design', 'research', 'lab', 'Atelier', 'Luma', 'brings', 'together', 'biologists', ',', 'artists', ',', 'farmers', 'engineers', 'explore', 'sustainable', 'materials', '.']",20,"['The', 'and', 'and', 'to']",4,0.17,
