Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,77,"['Writers', 'strike', ':', 'WGA', 'members', 'go', 'strike', ',', 'bringing', 'production', 'many', 'shows', 'halt', '|', 'CNN', 'Business', '11,000', 'members', 'Writers', 'Guild', 'America', '(', 'WGA', ')', 'set', 'go', 'strike', 'Tuesday', 'morning', 'first', 'time', 'since', '2007', ',', 'move', 'could', 'bring', 'immediate', 'halt', 'production', 'many', 'television', 'shows', 'possibly', 'delay', 'start', 'new', 'seasons', 'others', 'later', 'year', '.']",52,"['on', 'on', 'to', 'a', 'More', 'than', 'of', 'the', 'of', 'are', 'to', 'on', 'for', 'the', 'a', 'that', 'an', 'to', 'the', 'of', 'and', 'the', 'of', 'of', 'this']",25,0.32,
Sentence 2,65,"['Markets', 'Fear', '&', 'Greed', 'Index', 'Latest', 'Market', 'News', '11,000', 'members', 'Writers', 'Guild', 'America', '(', 'WGA', ')', 'set', 'go', 'strike', 'Tuesday', 'morning', 'first', 'time', 'since', '2007', ',', 'move', 'could', 'bring', 'immediate', 'halt', 'production', 'many', 'television', 'shows', 'possibly', 'delay', 'start', 'new', 'seasons', 'others', 'later', 'year', '.']",44,"['More', 'than', 'of', 'the', 'of', 'are', 'to', 'on', 'for', 'the', 'a', 'that', 'an', 'to', 'the', 'of', 'and', 'the', 'of', 'of', 'this']",21,0.32,
Sentence 3,40,"['“', 'Though', 'negotiated', 'intent', 'making', 'fair', 'deal', '…', 'studios', '’', 'responses', 'proposals', 'wholly', 'insufficient', ',', 'given', 'existential', 'crisis', 'writers', 'facing', ',', '”', 'said', 'statement', 'union', 'leadership', '.']",27,"['we', 'on', 'a', 'the', 'to', 'our', 'have', 'been', 'the', 'are', 'a', 'from', 'the']",13,0.33,
Sentence 4,22,"['“', 'closed', 'door', 'labor', 'force', 'opened', 'door', 'writing', 'entirely', 'freelance', 'profession', '.']",12,"['They', 'have', 'the', 'on', 'their', 'and', 'the', 'to', 'as', 'an']",10,0.45,
Sentence 5,40,"['deal', 'could', 'ever', 'contemplated', 'membership.', '”', 'union', 'members', 'would', 'strike', '3', 'EDT', 'Tuesday', ',', 'WGA', 'tweeted', 'would', 'set', 'picket', 'lines', 'Tuesday', 'afternoon', '.']",23,"['No', 'such', 'be', 'by', 'this', 'While', 'be', 'on', 'as', 'of', 'am', 'the', 'that', 'it', 'not', 'up', 'until']",17,0.42,
Sentence 6,46,"['Alliance', 'Motion', 'Pictures', 'Television', 'Producers', '(', 'AMPTP', ')', ',', 'negotiating', 'behalf', 'studio', 'management', ',', 'responded', 'saying', 'willing', 'improve', 'offer', 'willing', 'meet', 'union', '’', 'demands', '.']",25,"['The', 'of', 'and', 'which', 'is', 'on', 'of', 'by', 'it', 'was', 'to', 'on', 'its', 'but', 'was', 'not', 'to', 'some', 'of', 'the', 's']",21,0.46,
Sentence 7,58,"['“', 'primary', 'sticking', 'points', '‘', 'mandatory', 'staffing', ',', '’', '‘', 'duration', 'employment', '’', '—', 'Guild', 'proposals', 'would', 'require', 'company', 'staff', 'show', 'certain', 'number', 'writers', 'specified', 'period', 'time', ',', 'whether', 'needed', ',', '”', 'said', 'statement', 'management', '’', 'negotiating', 'committee', '.']",39,"['The', 'are', 'and', 'of', 'that', 'a', 'to', 'a', 'with', 'a', 'of', 'for', 'a', 'of', 'or', 'not', 'the', 'from', 's']",19,0.33,
Sentence 8,73,"['“', 'Member', 'companies', 'remain', 'united', 'desire', 'reach', 'deal', 'mutually', 'beneficial', 'writers', 'health', 'longevity', 'industry', ',', 'avoid', 'hardship', 'thousands', 'employees', 'depend', 'upon', 'industry', 'livelihoods.', '”', 'writers', ""'"", 'strike', 'might', 'affect', 'favorite', 'TV', 'shows', 'distance', 'two', 'sides', 'suggested', 'could', 'start', 'long', 'strike', '.']",41,"['in', 'their', 'to', 'a', 'that', 'is', 'to', 'and', 'the', 'and', 'of', 'the', 'and', 'to', 'to', 'the', 'of', 'who', 'the', 'for', 'their', 'How', 'a', 'your', 'The', 'between', 'the', 'this', 'be', 'the', 'of', 'a']",32,0.44,
Sentence 9,16,"['last', 'strike', 'started', 'November', '2007', 'stretched', '100', 'days', 'February', '2008', '.']",11,"['The', 'that', 'in', 'into', 'of']",5,0.31,
Sentence 10,25,"['talks', 'scheduled', 'Tuesday', 'talks', 'broke', 'three', 'hours', 'strike', 'deadline', 'Monday', 'night', ',', 'according', 'AMPTP', '.']",15,"['There', 'were', 'no', 'after', 'the', 'off', 'more', 'than', 'before', 'the']",10,0.4,
