Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,36,"['Madrid', '2023', ':', 'Barbora', 'Krejcikova', 'vs', 'Petra', 'Martic', 'preview', ',', 'head-to-head', ',', 'prediction', ',', 'odds', ',', 'pick', '|', 'Mutua', 'Madrid', 'Open', 'Fixture', ':', '(', '11', ')', 'Barbora', 'Krejcikova', 'vs', '(', '27', ')', 'Petra', 'Martic', '.']",35,['and'],1,0.03,
Sentence 2,14,"['Fixture', ':', '(', '11', ')', 'Barbora', 'Krejcikova', 'vs', '(', '27', ')', 'Petra', 'Martic', '.']",14,[],0,0.0,
Sentence 3,7,"['Date', ':', 'May', '1', ',', '2023', '.']",7,[],0,0.0,
Sentence 4,7,"['Tournament', ':', 'Mutua', 'Madrid', 'Open', '2023', '.']",7,[],0,0.0,
Sentence 5,10,"['Round', ':', 'Fourth', 'Round', '(', 'Round', '16', ')', '.']",9,['of'],1,0.1,
Sentence 6,9,"['Venue', ':', 'Caja', 'Magica', ',', 'Madrid', ',', 'Spain', '.']",9,[],0,0.0,
Sentence 7,5,"['Category', ':', 'WTA', '1000', '.']",5,[],0,0.0,
Sentence 8,5,"['Surface', ':', 'Outdoor', 'clay', '.']",5,[],0,0.0,
Sentence 9,5,"['Prize', 'money', ':', '€7,652,174', '.']",5,[],0,0.0,
Sentence 10,14,"['Live', 'telecast', ':', 'USA', '-', 'Tennis', 'Channel', '|', 'UK', '-', 'Amazon', 'Prime', 'Video', '.']",14,[],0,0.0,
Sentence 11,12,"['2021', 'French', 'Open', 'champion', 'Barbora', 'Krejcikova', 'take', 'World', '.']",9,"['will', 'on', 'No']",3,0.25,
Sentence 12,15,"['33', 'Petra', 'Martic', 'fourth', 'round', '2023', 'Madrid', 'Open', 'Monday', '.']",10,"['in', 'the', 'of', 'the', 'on']",5,0.33,
Sentence 13,18,"['Krejcikova', 'scored', 'three-set', 'win', 'Danka', 'Kovinic', 'set', 'third-round', 'encounter', 'Wang', 'Xiyu', '.']",12,"['a', 'over', 'to', 'up', 'a', 'against']",6,0.33,
Sentence 14,16,"['Czech', 'broke', 'opponent', ""'s"", 'serve', 'twice', 'jumped', '5-2', 'lead', '.']",10,"['The', 'her', 'as', 'she', 'to', 'a']",6,0.38,
Sentence 15,15,"['However', ',', 'stumbled', 'trying', 'close', 'set', 'point', '.']",8,"['she', 'while', 'to', 'out', 'the', 'at', 'this']",7,0.47,
Sentence 16,26,"['Wang', 'kept', 'contention', 'claiming', 'next', 'couple', 'games', ',', 'Krejcikova', 'managed', 'close', 'set', 'second', 'try', '.']",15,"['herself', 'in', 'by', 'the', 'of', 'but', 'to', 'out', 'the', 'on', 'her']",11,0.42,
Sentence 17,21,"['former', 'French', 'Open', 'champion', 'upped', 'ante', 'second', 'set', 'quickly', 'raced', '5-0', 'lead', '.']",13,"['The', 'the', 'in', 'the', 'as', 'she', 'to', 'a']",8,0.38,
Sentence 18,28,"['serving', 'match', ',', 'Krejcikova', 'lost', 'serve', ',', 'immediately', 'broke', 'Wang', ""'s"", 'serve', 'next', 'game', 'win', 'contest', '6-4', ',', '6-1', '.']",20,"['Now', 'for', 'the', 'but', 'in', 'the', 'to', 'the']",8,0.29,
Sentence 19,14,"['reached', 'fourth', 'round', 'Madrid', 'first', 'time', '.']",7,"['She', 'has', 'now', 'the', 'in', 'for', 'the']",7,0.5,
Sentence 20,19,"['Meanwhile', ',', 'Martic', 'knocked', 'Laura', 'Siegemund', 'reach', 'third', 'round', ',', 'Anna', 'Kalinskaya', 'awaited', '.']",14,"['out', 'to', 'the', 'where', 'her']",5,0.26,
Sentence 21,21,"['single', 'break', 'serve', 'towards', 'end', 'first', 'set', 'sealed', 'deal', 'Croat', ""'s"", 'favor', '.']",13,"['A', 'of', 'the', 'of', 'the', 'the', 'in', 'the']",8,0.38,
Sentence 22,24,"['Kalinskaya', 'rebounded', 'grabbing', 'second', 'set', ',', 'breaking', 'opponent', ""'s"", 'serve', 'final', 'game', 'set', 'take', '.']",15,"['by', 'the', 'her', 'in', 'the', 'of', 'the', 'to', 'it']",9,0.38,
Sentence 23,14,"['Martic', 'secured', 'early', 'break', 'third', 'set', 'go', '3-1', '.']",9,"['an', 'in', 'the', 'to', 'up']",5,0.36,
Sentence 24,25,"['held', 'lead', 'broke', 'Russian', ""'s"", 'serve', 'one', 'last', 'time', 'win', 'match', '6-3', ',', '4-6', ',', '6-3', '.']",17,"['She', 'on', 'to', 'the', 'and', 'the', 'to', 'the']",8,0.32,
Sentence 25,18,"['first', 'meeting', ',', 'head-to-head', 'stands', '0-0', '.']",7,"['This', 'will', 'be', 'the', 'between', 'them', 'so', 'the', 'at', 'for', 'now']",11,0.61,
