Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,61,"['GOP', ',', 'McCarthy', 'face', 'even', 'heavier', 'debt', 'ceiling', 'lift', '|', 'Hill', 'Speaker', 'Kevin', 'McCarthy', '(', 'R-Calif.', ')', 'pulled', 'stops', 'last', 'week', 'move', 'debt', 'ceiling', 'bill', 'House', ',', 'twisting', 'arms', ',', 'modifying', 'language', 'cutting', 'last-minute', 'deals', 'leery', 'Republicans', 'send', 'package', 'Senate', 'narrowest', 'margins', '.']",43,"['now', 'The', 'out', 'all', 'the', 'to', 'a', 'through', 'the', 'and', 'with', 'to', 'the', 'to', 'the', 'by', 'the', 'of']",18,0.3,
Sentence 2,8,"['might', 'easy', 'part', '.']",4,"['That', 'have', 'been', 'the']",4,0.5,
Sentence 3,53,"['next', 'step', '—', 'finding…', 'Speaker', 'Kevin', 'McCarthy', '(', 'R-Calif.', ')', 'pulled', 'stops', 'last', 'week', 'move', 'debt', 'ceiling', 'bill', 'House', ',', 'twisting', 'arms', ',', 'modifying', 'language', 'cutting', 'last-minute', 'deals', 'leery', 'Republicans', 'send', 'package', 'Senate', 'narrowest', 'margins', '.']",36,"['The', 'out', 'all', 'the', 'to', 'a', 'through', 'the', 'and', 'with', 'to', 'the', 'to', 'the', 'by', 'the', 'of']",17,0.32,
Sentence 4,8,"['might', 'easy', 'part', '.']",4,"['That', 'have', 'been', 'the']",4,0.5,
Sentence 5,40,"['next', 'step', '—', 'finding', 'bill', 'win', 'support', 'House', 'Republicans', 'President', 'Biden', ',', 'June', '1', 'date', 'set', 'Treasury', 'Secretary', 'Janet', 'Yellen', 'Monday', '—', 'much', 'heavier', 'lift', '.']",26,"['The', 'a', 'that', 'can', 'from', 'and', 'and', 'by', 'the', 'by', 'on', 'will', 'be', 'a']",14,0.35,
Sentence 6,50,"['’', 'challenge', 'test', 'McCarthy', '’', 'ability', 'work', 'across', 'aisle', 'sake', 'preventing', 'government', 'default', ',', 'keeping', 'confidence', 'conservatives', 'conference', 'expect', 'hold', 'hard', 'line', 'federal', 'spending', 'deficit', 'reduction', '.']",27,"['It', 's', 'a', 'that', 'will', 's', 'to', 'the', 'for', 'the', 'of', 'a', 'while', 'the', 'of', 'in', 'his', 'who', 'him', 'to', 'a', 'on', 'and']",23,0.46,
Sentence 7,35,"['“', '’', 'sure', '’', 'going', 'tougher', ',', '”', 'said', 'Rep.', 'Marjorie', 'Taylor', 'Greene', '(', 'R-Ga.', ')', ',', 'McCarthy', 'critic-turned-ally', 'backed', 'Republicans', '’', 'debt', 'limit', 'package', '.']",26,"['I', 'm', 'it', 's', 'to', 'be', 'a', 'who', 'the']",9,0.26,
Sentence 8,48,"['Treasury', 'announced', 'Monday', 'government', 'exhaust', 'ability', 'pay', 'obligations', '“', 'early', 'June', '1', '”', '—', 'even', 'sooner', 'many', 'lawmakers', 'economists', 'expected', '—', 'lending', 'heightened', 'sense', 'urgency', 'parties', 'set', 'aside', 'differences', '.']",30,"['that', 'the', 'will', 'the', 'to', 'all', 'of', 'its', 'as', 'as', 'than', 'and', 'a', 'of', 'for', 'both', 'to', 'their']",18,0.38,
Sentence 9,50,"['House', 'Republicans', ',', 'passage', 'debt', 'ceiling', 'package', 'opening', 'bid', 'effort', ',', 'marked', 'hard-fought', 'victory', 'McCarthy', 'leadership', 'team', ',', 'spent', 'better', 'part', 'week', 'scrambling', 'convince', 'GOP', 'holdouts', 'back', 'bill', '.']",29,"['For', 'the', 'of', 'their', 'was', 'the', 'in', 'that', 'and', 'it', 'a', 'for', 'and', 'his', 'who', 'the', 'of', 'a', 'to', 'to', 'the']",21,0.42,
Sentence 10,25,"['moved', 'House', 'Wednesday', 'marginal', 'vote', '217-215', ',', 'four', 'Republican', 'defections', '—', 'could', 'spare', '.']",14,"['It', 'through', 'the', 'on', 'by', 'a', 'of', 'with', 'the', 'most', 'they']",11,0.44,
Sentence 11,30,"['vote', 'lends', 'Republicans', 'new', 'leverage', 'debt', 'ceiling', 'fight', 'removing', 'Democrats', '’', 'argument', 'GOP', 'leaders', '“', 'plan', '”', 'tackle', 'deficit', 'spending', '.']",21,"['The', 'in', 'the', 'by', 'the', 'that', 'have', 'no', 'to']",9,0.3,
Sentence 12,10,"['exactly', 'much', 'leverage', 'remains', 'open', 'question', '.']",7,"['But', 'how', 'an']",3,0.3,
Sentence 13,19,"['Biden', ',', 'demanding', '“', 'clean', '”', 'hike', ',', '’', 'budged', 'position', '.']",12,"['who', 'is', 'a', 'hasn', 't', 'from', 'that']",7,0.37,
