Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,40,"['Staying', 'Clear-Eyed', 'Republican', 'Radicalism', 'Debt', 'Ceiling', '-', 'Bulwark', 'nearing', 'crash', 'debt', 'ceiling', ',', 'tangible', 'threat', 'full', 'faith', 'credit', 'United', 'States', 'lifetimes', '.']",22,"['About', 'on', 'the', 'The', 'We', 'are', 'a', 'into', 'the', 'the', 'most', 'to', 'the', 'and', 'of', 'the', 'in', 'our']",18,0.45,
Sentence 2,28,"['unless', '’', 'paying', 'close', 'attention', ',', 'might', 'know', 'default', 'genuine', 'threat', ',', 'crisis', 'really', 'happening', '.']",16,"['But', 'you', 're', 'you', 'not', 'why', 'is', 'a', 'nor', 'why', 'this', 'is']",12,0.43,
Sentence 3,29,"['The…', 'nearing', 'crash', 'debt', 'ceiling', ',', 'tangible', 'threat', 'full', 'faith', 'credit', 'United', 'States', 'lifetimes', '.']",15,"['We', 'are', 'a', 'into', 'the', 'the', 'most', 'to', 'the', 'and', 'of', 'the', 'in', 'our']",14,0.48,
Sentence 4,28,"['unless', '’', 'paying', 'close', 'attention', ',', 'might', 'know', 'default', 'genuine', 'threat', ',', 'crisis', 'really', 'happening', '.']",16,"['But', 'you', 're', 'you', 'not', 'why', 'is', 'a', 'nor', 'why', 'this', 'is']",12,0.43,
Sentence 5,27,"['problem', 'much', 'press', 'coverage', 'reflects', 'neither', 'direness', 'situation', 'reality', 'whose', 'actions', 'actually', 'threatening', 'default', '.']",15,"['The', 'is', 'that', 'of', 'the', 'the', 'of', 'the', 'nor', 'the', 'of', 'are']",12,0.44,
Sentence 6,32,"['stories', 'published', 'mainstream', 'media', 'last', 'days', 'House', 'Speaker', 'Kevin', 'McCarthy', '’', 'ability', 'get', 'plan', 'House', '.']",16,"['Most', 'of', 'the', 'in', 'the', 'in', 'the', 'few', 'have', 'been', 'about', 's', 'to', 'his', 'through', 'the']",16,0.5,
Sentence 7,27,"['stories', 'largely', 'President', 'Joe', 'Biden', 'met', 'McCarthy', 'negotiate', ',', 'hold', 'meeting', '.']",12,"['The', 'before', 'that', 'were', 'about', 'why', 'has', 'not', 'with', 'to', 'or', 'when', 'he', 'will', 'the']",15,0.56,
Sentence 8,26,"['treat', 'normal', 'political', 'negotiation', ',', 'one', 'sides', 'equally', 'fault', ',', 'distort', 'reality', '.']",13,"['But', 'to', 'this', 'as', 'a', 'or', 'as', 'where', 'both', 'are', 'at', 'is', 'to']",13,0.5,
Sentence 9,32,"['Take', ',', 'example', ',', 'story', 'covered', 'last', 'Thursday', 'Politico', '’', 'Playbook', ',', 'daily', 'newsletter', 'read', 'widely', 'every', 'morning', 'political', 'journalistic', 'establishments', '.']",22,"['for', 'how', 'the', 'was', 'by', 's', 'a', 'by', 'the', 'and']",10,0.31,
Sentence 10,38,"['Playbook', '’', 'reporting', 'House', 'Republicans', '’', 'passage', 'debt', 'ceiling', 'plan', 'basically', 'paean', 'McCarthy', '’', 'adroitness', 'eking', 'one-vote', 'victory', 'speculation', 'future', 'speakership', '.']",22,"['s', 'on', 'of', 'their', 'was', 'a', 'to', 's', 'in', 'out', 'a', 'and', 'about', 'the', 'of', 'his']",16,0.42,
