Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,36,"['Carroll', '’', 'Testimony', 'Highlights', 'Trauma', 'Speaking', 'Rape', ',', 'Experts', 'Say', '-', 'New', 'York', 'Times', 'unusual', 'people', 'sexually', 'assaulted', 'come', 'forward', 'right', 'away', '.']",23,"['s', 'of', 'Out', 'After', 'The', 'It', 'is', 'not', 'for', 'who', 'are', 'to', 'not']",13,0.36,
Sentence 2,18,"['Advertisement', 'unusual', 'people', 'sexually', 'assaulted', 'come', 'forward', 'right', 'away', '.']",10,"['It', 'is', 'not', 'for', 'who', 'are', 'to', 'not']",8,0.44,
Sentence 3,19,"['Send', 'friend', 'story', 'subscriber', ',', '10', 'gift', 'articles', 'give', 'month', '.']",11,"['any', 'a', 'As', 'a', 'you', 'have', 'to', 'each']",8,0.42,
Sentence 4,7,"['Anyone', 'read', 'share', '.']",4,"['can', 'what', 'you']",3,0.43,
Sentence 5,21,"['Amanda', 'Holpuch', 'Christine', 'Hauser', 'Sexual', 'assault', 'survivors', 'traumatized', 'testifying', 'years', 'later', ',', 'experts', 'say', '.']",15,"['By', 'and', 'can', 'be', 'again', 'when']",6,0.29,
Sentence 6,51,"['Wednesday', ',', 'E.', 'Jean', 'Carroll', ',', 'told', 'Manhattan', 'jury', 'former', 'President', 'Donald', 'J.', 'Trump', 'raped', 'department', 'store', ',', 'said', 'trying', 'get', '“', 'life', 'back', '”', 'grew', 'emotional', 'spoke', 'nearly', '30', 'years', 'events', 'described', '.']",34,"['On', 'who', 'a', 'that', 'her', 'in', 'a', 'she', 'was', 'to', 'her', 'and', 'as', 'she', 'after', 'the', 'she']",17,0.33,
Sentence 7,17,"['unusual', 'people', 'sexually', 'assaulted', 'come', 'forward', 'right', 'away', '.']",9,"['It', 'is', 'not', 'for', 'who', 'are', 'to', 'not']",8,0.47,
Sentence 8,42,"['“', 'victim', 'prepared', 'sole', 'carrier', 'information', ',', 'also', 'carry', 'burden', 'questions', ',', '”', 'said', 'Veronique', 'Valliere', ',', 'psychologist', 'counsels', 'sexual', 'assault', 'perpetrators', 'victims', '.']",24,"['The', 'has', 'to', 'be', 'to', 'be', 'the', 'of', 'the', 'and', 'they', 'the', 'of', 'all', 'the', 'a', 'who', 'and']",18,0.43,
Sentence 9,21,"['“', 'defense', 'really', 'attack', 'decision-making', 'victim', ',', '”', 'said', '.']",10,"['All', 'the', 'has', 'to', 'do', 'is', 'to', 'the', 'of', 'the', 'she']",11,0.52,
Sentence 10,42,"['“', 'try', 'diminish', 'credibility', 'victim', 'introduce', 'doubt.', '”', 'Often', ',', 'victim', 'sexual', 'assault', 'must', 'struggle', 'public', 'perception', 'accusing', 'someone', 'famous', 'powerful', '.']",22,"['All', 'they', 'have', 'to', 'do', 'is', 'to', 'to', 'the', 'of', 'the', 'to', 'a', 'of', 'a', 'against', 'if', 'they', 'are', 'or']",20,0.48,
Sentence 11,32,"['“', 'offender', 'happens', 'resources', ',', 'like', 'money', 'status', ',', 'immediately', 'people', 'go', 'thinking', 'alternative', 'motive', 'fabrication', ',', '”', 'Dr.', 'Valliere', 'said', '.']",22,"['If', 'the', 'to', 'have', 'or', 'to', 'there', 'is', 'an', 'for']",10,0.31,
Sentence 12,26,"['survivors', ',', 'seeing', 'high-profile', 'case', 'type', 'questioning', 'Ms.', 'Carroll', 'face', 'could', 'lead', 'report', 'sexual', 'assault', '.']",16,"['For', 'some', 'a', 'and', 'the', 'of', 'will', 'them', 'to', 'not']",10,0.38,
Sentence 13,26,"['310', 'every', '1,000', 'sexual', 'assaults', 'reported', 'police', ',', 'according', 'RAINN', ',', 'Rape', ',', 'Abuse', '&', 'Incest', 'National', 'Network', '.']",19,"['Only', 'out', 'of', 'are', 'to', 'to', 'the']",7,0.27,
Sentence 14,19,"['also', 'challenge', ',', 'intimidating', 'victims', ',', 'believable', 'testifying', '.']",9,"['There', 'is', 'the', 'which', 'can', 'be', 'to', 'of', 'being', 'while']",10,0.53,
Sentence 15,8,"['person', 'supposed', 'behave', '?']",4,"['How', 'is', 'a', 'to']",4,0.5,
Sentence 16,5,"['remember', '?']",2,"['What', 'should', 'they']",3,0.6,
