Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,34,"['Megan', 'Thee', 'Stallion', 'Shares', 'Swimsuit', '&', 'Natural', 'Curls', 'Selfies', '–', 'Billboard', 'Hot', 'Girl', 'Summer', 'around', 'corner', ',', 'Megan', 'Thee', 'Stallion', 'kicking', 'season', 'sizzling', 'selfies', '.']",25,"['is', 'just', 'the', 'and', 'is', 'the', 'off', 'with', 'some']",9,0.26,
Sentence 2,19,"['rapper', 'brought', 'heat', 'Instagram', 'Tuesday', '(', 'May', '2', ')', 'series', 'selfies', '.']",12,"['The', 'the', 'to', 'on', 'with', 'a', 'of']",7,0.37,
Sentence 3,29,"['Rania', 'Aniftos', 'feels', 'like', 'Hot', 'Girl', 'Summer', 'around', 'corner', ',', 'Megan', 'Thee', 'Stallion', 'kicking', 'season', 'sizzling', 'selfies', '.']",18,"['By', 'It', 'is', 'just', 'the', 'and', 'is', 'the', 'off', 'with', 'some']",11,0.38,
Sentence 4,61,"['“', 'Savage', '”', 'rapper', 'took', 'Instagram', 'Tuesday', '(', 'May', '2', ')', 'share', 'slew', 'photos', '’', 'seen', 'posing', 'sleek', 'crochet', 'two-piece', 'set', ',', 'colorful', 'maxi', 'dress', ',', 'bedazzled', 'cut-out', 'gown', ',', 'tropical', 'swimsuit', 'much', ',', 'rocking', 'gorgeous', 'naturally', 'curly', 'hairdo', '.']",40,"['The', 'to', 'on', 'to', 'a', 'of', 'in', 'which', 'she', 's', 'in', 'a', 'a', 'a', 'a', 'and', 'so', 'more', 'all', 'while', 'a']",21,0.34,
Sentence 5,30,"['OG', 'Hot', 'Girl', 'captioned', 'post', 'simple', 'camera', 'emoji', ',', 'time', 'publication', ',', 'post', 'already', 'one', 'million', 'likes', '.']",18,"['The', 'the', 'with', 'a', 'and', 'at', 'the', 'of', 'the', 'has', 'more', 'than']",12,0.4,
Sentence 6,33,"['post', 'shared', 'Megan', 'Thee', 'Stallion', '(', '@', 'theestallion', ')', 'Back', 'March', ',', 'Meg', 'teased', 'new', 'album', 'Vanity', 'Fair', 'Oscar', 'party', '—', 'much', 'fans', '’', 'excitement', '.']",26,"['A', 'by', 'in', 'a', 'at', 'the', 'to']",7,0.21,
Sentence 7,43,"['asked', 'Entertainment', 'Tonight', 'possibility', 'new', 'music', 'way', ',', 'rapper', 'replied', ',', '“', 'Oh', ',', 'new', 'album', ',', 'f–k', '’', 'hoes', ',', 'bye', '!', '”', 'walking', 'away', 'laugh', '.']",28,"['When', 'by', 'about', 'the', 'of', 'on', 'the', 'the', 'I', 'am', 'y', 'all', 'before', 'with', 'a']",15,0.35,
Sentence 8,68,"['Related', 'Rosalia', 'Slams', ""'Disgusting"", ""'"", 'Artist', 'Shared', 'Photoshopped', 'NSFW', 'Photos', '05/02/2023', 'Explore', 'Explore', 'Megan', 'Thee', 'Stallion', 'See', 'latest', 'videos', ',', 'charts', 'news', 'See', 'latest', 'videos', ',', 'charts', 'news', 'See', 'latest', 'videos', ',', 'charts', 'news', 'See', 'latest', 'videos', ',', 'charts', 'news', 'new', 'full-length', 'project', 'would', 'serve', 'follow-up', '2022', 'sophomore', 'effort', 'Traumazine', ',', 'debuted', '.']",53,"['Who', 'of', 'Her', 'and', 'and', 'and', 'and', 'A', 'as', 'a', 'to', 'her', 'which', 'at', 'No']",15,0.22,
Sentence 9,83,"['4', 'Billboard', '200', 'contained', 'hit', 'singles', '“', 'Sweetest', 'Pie', '”', 'Dua', 'Lipa', ',', '“', 'Plan', 'B', ',', '”', '“', 'Pressurelicious', '”', 'featuring', 'Future', ',', '“', '”', 'Key', 'Glock-assisted', '“', 'Ungrateful.', '”', 'One', 'person', '’', 'collaborate', 'Meg', 'upcoming', 'music', 'Shania', 'Twain', ',', 'revealed', '2023', 'CMT', 'Music', 'Awards', 'two', 'got', 'acquainted', 'rapper', 'presented', 'Equal', 'Play', 'Honor', 'show', '.']",56,"['on', 'the', 'and', 'with', 'Her', 'and', 'the', 'who', 'd', 'be', 'down', 'to', 'with', 'on', 'is', 'who', 'at', 'the', 'that', 'the', 'when', 'the', 'her', 'with', 'the', 'at', 'the']",27,0.33,
Sentence 10,19,"['“', 'love', 'her…', 'sweetheart', '!', '”', 'Twain', 'said', '“', 'Thot', 'S—', '”', 'rapper', '.']",14,"['I', 'what', 'a', 'of', 'the']",5,0.26,
Sentence 11,34,"['“', 'think', '[', 'collaboration', ']', 'would', 'really', 'work…', 'love', 'whole', 'mind.', '”', 'Get', 'weekly', 'rundowns', 'straight', 'inbox', 'daily', 'briefing', 'matters', 'music', 'industry']",22,"['I', 'that', 'a', 'I', 'her', 'to', 'your', 'A', 'on', 'what', 'in', 'the']",12,0.35,
