Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,45,"['Heartbreaking', 'Meaning', 'Behind', 'Gordon', 'Lightfoot', ""'s"", '“', 'Could', 'Read', 'Mind', '”', ""''"", 'Could', 'Read', 'Mind', ""''"", 'Gordon', 'Lightfoot', ""'s"", 'fifth', 'album', ',', ""'Sit"", 'Young', 'Stranger', ',', ""'"", 'letter', 'someone', 'loved', '.']",31,"['The', 'If', 'You', 'My', 'If', 'You', 'My', 'off', 'Down', 'was', 'a', 'to', 'he', 'once']",14,0.31,
Sentence 2,90,"[':', 'Tina', 'Benitez-Eves', 'May', '2', ',', '2023', ',', '11:30', 'could', 'read', 'mind', ',', 'love', '/', 'tale', 'thoughts', 'could', 'tell', '/', 'like', 'old-time', 'movie', 'sings', 'Gordon', 'Lightfoot', '(', '1938-2023', ')', '1970', 'ballad', '“', 'Could', 'Read', 'Mind.', '”', 'song', ',', 'late', 'Canadian', 'singer', 'songwriter', '’', 'fifth', 'album', ',', 'Sit', 'Young', 'Stranger', ',', 'letter', 'someone', 'Lightfoot', 'loved', 'ultimately', 'losing', 'time', '.']",58,"['You', 'are', 'here', 'by', 'am', 'If', 'you', 'my', 'What', 'a', 'my', 'Just', 'an', 'through', 'his', 'If', 'You', 'My', 'The', 'off', 'the', 'and', 's', 'Down', 'was', 'a', 'to', 'once', 'and', 'was', 'at', 'the']",32,0.36,
Sentence 3,33,"['Marriage', 'Ended', 'One', 'Lightfoot', '’', 'personal', 'songs', ',', '“', 'Could', 'Read', 'Mind', '”', 'written', 'deteriorating', 'marriage', 'first', 'wife', 'Brita', 'Ingegerd', 'Olaisson', '.']",22,"['A', 'of', 's', 'most', 'If', 'You', 'My', 'was', 'about', 'his', 'to']",11,0.33,
Sentence 4,22,"['couple', 'married', '1963', 'two', 'children', 'together', ',', 'Ingrid', 'Fred', ',', 'divorce', '1973', '.']",13,"['The', 'were', 'in', 'and', 'had', 'and', 'before', 'their', 'in']",9,0.41,
Sentence 5,34,"['[', 'RELATED', ':', 'Gordon', 'Lightfoot', 'Dies', '84', ']', 'lyrics', 'came', 'Lightfoot', 'one', 'summer', '1969', 'sitting', 'empty', 'house', 'Toronto', 'sale', '.']",20,"['at', 'The', 'to', 'in', 'while', 'he', 'was', 'in', 'his', 'in', 'that', 'was', 'up', 'for']",14,0.41,
Sentence 6,52,"['“', 'course', 'going', 'emotional', 'trauma', 'leading', 'separation', ',', 'course', 'manifested', 'particular', 'song', 'particular', 'afternoon', ',', '”', 'said', 'Lightfoot', 'song', '2010', ',', 'remembering', 'moment', 'wrote', '40', 'years', 'earlier', '.']",28,"['I', 'was', 'of', 'through', 'some', 'up', 'to', 'a', 'so', 'that', 'of', 'itself', 'in', 'that', 'on', 'that', 'of', 'the', 'in', 'the', 'he', 'it', 'more', 'than']",24,0.46,
Sentence 7,23,"['“', '’', 'never', 'forget', 'afternoon.', '”', 'Loss', 'Regret', 'meaning', 'song', 'evident', 'verse', '.']",13,"['I', 'll', 'the', 'and', 'The', 'of', 'the', 'is', 'in', 'each']",10,0.43,
Sentence 8,18,"['Lightfoot', 'moves', 'ruminating', 'reflections', 'relationship', 'feelings', 'loneliness', 'grief', '.']",9,"['from', 'to', 'his', 'own', 'on', 'the', 'to', 'of', 'and']",9,0.5,
Sentence 9,107,"['could', 'read', 'mind', ',', 'loveWhat', 'tale', 'thoughts', 'could', 'tellJust', 'like', 'old', 'time', 'movie', '‘', 'Bout', 'ghost', 'wishing', 'wellIn', 'castle', 'dark', 'fortress', 'strongWith', 'chains', 'upon', 'feetYou', 'know', 'ghost', 'meAnd', 'never', 'set', 'freeAs', 'long', 'ghost', ',', '’', 'see', 'chorus', ',', 'Lightfoot', 'trying', 'read', 'partner', '’', 'mind', ',', 'perception', 'time', ',', 'honestly', ',', '’', 'shy', 'away', 'calling', 'failure', 'owning', 'mistakes', '.']",58,"['If', 'you', 'my', 'a', 'my', 'an', 'a', 'from', 'a', 'a', 'or', 'a', 'my', 'that', 'is', 'I', 'will', 'be', 'as', 'I', 'am', 'a', 'you', 'can', 't', 'By', 'the', 'is', 'to', 'his', 's', 'and', 'her', 'of', 'him', 'at', 'the', 'In', 'all', 'he', 'doesn', 't', 'from', 'himself', 'a', 'and', 'up', 'to', 'his']",49,0.46,
Sentence 10,109,"['could', 'read', 'mind', ',', 'loveWhat', 'tale', 'thoughts', 'could', 'tellJust', 'like', 'paperback', 'novelThe', 'kind', 'drugstore', 'sellsWhen', 'reach', 'part', 'heartaches', 'comeThe', 'hero', 'would', 'meBut', 'heroes', 'often', 'failAnd', '’', 'read', 'book', 'againBecause', 'ending', '’', 'hard', 'take', '’', 'walk', 'away', 'like', 'movie', 'starWho', 'gets', 'burned', 'three-way', 'scriptEnter', 'number', 'two', ',', 'movie', 'queen', 'play', 'sceneOf', 'bringing', 'good', 'things', 'meBut', ',', 'love', ',', 'let', '’', 'real', 'song', 'progresses', 'realization', 'marriage', 'ended', '.']",66,"['If', 'I', 'your', 'a', 'your', 'a', 'the', 'you', 'the', 'where', 'the', 'be', 'you', 'won', 't', 'that', 'the', 's', 'just', 'too', 'to', 'I', 'd', 'a', 'in', 'a', 'a', 'to', 'the', 'all', 'the', 'out', 'in', 'for', 'now', 's', 'be', 'The', 'through', 'the', 'that', 'the', 'has']",43,0.39,
