Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,44,"['Singer', 'Gordon', 'Lightfoot', ',', 'Canadian', ""'rare"", 'talent', ',', ""'"", 'dies', '84', '|', 'Fox', 'News', 'Canadian', 'music', 'icon', 'Gordon', 'Lightfoot', ',', 'famous', 'singer', 'songwriter', ',', 'passed', 'away', 'Toronto', 'hospital', 'Monday', ',', 'representatives', 'announced', 'early', 'Tuesday', 'morning', '.']",36,"['a', 'at', 'a', 'and', 'in', 'a', 'on', 'his']",8,0.18,
Sentence 2,2,"['Factset', '.']",2,[],0,0.0,
Sentence 3,8,"['Powered', 'implemented', 'FactSet', 'Digital', 'Solutions', '.']",6,"['and', 'by']",2,0.25,
Sentence 4,3,"['Legal', 'Statement', '.']",3,[],0,0.0,
Sentence 5,10,"['Mutual', 'Fund', 'ETF', 'data', 'provided', 'Refinitiv', 'Lipper', '.']",8,"['and', 'by']",2,0.2,
Sentence 6,11,"['Fox', 'News', 'Flash', 'top', 'entertainment', 'celebrity', 'headlines', '.']",8,"['and', 'are', 'here']",3,0.27,
Sentence 7,28,"['Folk', 'singer-songwriter', 'Gordon', 'Lightfoot', ',', 'Canadian', 'icon', 'Bob', 'Dylan', 'referred', '``', 'rare', 'talent', ',', ""''"", 'passed', 'away', 'Toronto', 'Monday', '.']",20,"['a', 'who', 'once', 'to', 'as', 'a', 'in', 'on']",8,0.29,
Sentence 8,6,"['Lightfoot', '84', 'years', 'old', '.']",5,['was'],1,0.17,
Sentence 9,25,"['Representative', 'Victoria', 'Lord', 'confirmed', 'Lightfoot', 'died', 'Toronto', 'hospital', 'early', 'Tuesday', 'morning', ',', 'elaborate', 'cause', 'death', '.']",16,"['that', 'at', 'a', 'but', 'did', 'not', 'on', 'his', 'of']",9,0.36,
Sentence 10,16,"['Canadian', 'Prime', 'Minister', 'Justin', 'Trudeau', 'quick', 'offer', 'tribute', 'musician', 'Twitter', '.']",11,"['was', 'to', 'to', 'the', 'on']",5,0.31,
Sentence 11,14,"['``', 'lost', 'one', 'greatest', 'singer-songwriters', ',', ""''"", 'Trudeau', 'wrote', '.']",10,"['We', 'have', 'of', 'our']",4,0.29,
Sentence 12,26,"['``', 'Gordon', 'Lightfoot', 'captured', 'country', '’', 'spirit', 'music', '–', ',', 'helped', 'shape', 'Canada', '’', 'soundscape', '.']",16,"['our', 's', 'in', 'his', 'and', 'in', 'doing', 'so', 'he', 's']",10,0.38,
Sentence 13,18,"['May', 'music', 'continue', 'inspire', 'future', 'generations', ',', 'may', 'legacy', 'live', 'forever', '.', ""''""]",13,"['his', 'to', 'and', 'his', 'on']",5,0.28,
Sentence 14,24,"['Lightfoot', 'secured', 'five', 'Grammy', 'nominations', 'career', ',', 'well', 'winning', 'Canadian', 'equivalent', ',', 'Juno', 'award', ',', '17', 'times', '.']",18,"['during', 'his', 'as', 'as', 'the', 'the']",6,0.25,
Sentence 15,35,"['CELEBRITIES', 'SPEAK', 'FAITH', ':', 'RELIGION', 'AFFECTS', 'HOLLYWOOD', 'CAREERS', 'CHRIS', 'PRATT', ',', 'MARK', 'WAHLBERG', 'Gordon', 'Lightfoot', ',', 'Canadian', 'singer-songwriter', ',', 'passed', 'away', 'age', '84', 'Monday', '.']",25,"['ON', 'HOW', 'OF', 'AND', 'MORE', 'a', 'at', 'the', 'of', 'on']",10,0.29,
Sentence 16,21,"['Canadian', 'Prime', 'Minister', 'Justin', 'Trudeau', 'offered', 'condolences', 'death', 'entertainment', 'music', 'icon', 'Gordon', 'Lightfoot', 'Tuesday', '.']",15,"['his', 'over', 'the', 'of', 'and', 'on']",6,0.29,
Sentence 17,57,"['(', 'Reuters/Patrick', 'Doyle', ')', 'LFO', 'FOUNDING', 'MEMBER', 'BRIAN', '‘', 'BRIZZ', '’', 'GILLIS', 'DEAD', '47', ',', 'THIRD', 'BAND', 'MEMBER', 'DIE', 'also', 'responsible', 'composing', '200', 'songs', ',', 'many', 'covered', 'famous', 'musicians', 'world', ',', 'Bob', 'Dylan', ',', 'Elvis', 'Presley', 'Barbra', 'Streisand', '.']",39,"['AT', 'TO', 'He', 'was', 'for', 'more', 'than', 'of', 'which', 'were', 'by', 'the', 'most', 'in', 'the', 'such', 'as', 'and']",18,0.32,
Sentence 18,29,"['famous', 'songs', 'include', '``', 'Wreck', 'Edmund', 'Fitzgerald', ',', ""''"", 'told', 'true', 'story', 'freighter', 'sinking', 'Lake', 'Superior', '.']",17,"['Some', 'of', 'his', 'most', 'The', 'of', 'the', 'which', 'the', 'of', 'a', 'on']",12,0.41,
Sentence 19,20,"['Another', 'hit', ',', '``', 'Could', 'Read', 'Mind', ',', ""''"", 'told', 'story', 'failing', 'marriage', '.']",14,"['If', 'You', 'My', 'the', 'of', 'a']",6,0.3,
Sentence 20,14,"['CLICK', 'GET', 'FOX', 'NEWS', 'APP', 'developing', 'story', '.']",8,"['HERE', 'TO', 'THE', 'This', 'is', 'a']",6,0.43,
Sentence 21,6,"['Check', 'back', 'soon', 'updates', '.']",5,['for'],1,0.17,
Sentence 22,18,"['Anders', 'Hagstrom', 'reporter', 'Fox', 'News', 'Digital', 'covering', 'national', 'politics', 'major', 'breaking', 'news', 'events', '.']",14,"['is', 'a', 'with', 'and']",4,0.22,
Sentence 23,14,"['Send', 'tips', 'Anders.Hagstrom', '@', 'Fox.com', ',', 'Twitter', ':', '@', 'Hagstrom_Anders', '.']",11,"['to', 'or', 'on']",3,0.21,
Sentence 24,15,"['Get', 'best', 'Fox', 'News', ""'"", 'entertainment', 'coverage', ',', 'right', 'inbox', '.']",11,"['the', 'of', 'in', 'your']",4,0.27,
Sentence 25,9,"['Subscribed', ""'ve"", 'successfully', 'subscribed', 'newsletter', '!']",6,"['You', 'to', 'this']",3,0.33,
Sentence 26,2,"['Factset', '.']",2,[],0,0.0,
Sentence 27,8,"['Powered', 'implemented', 'FactSet', 'Digital', 'Solutions', '.']",6,"['and', 'by']",2,0.25,
Sentence 28,3,"['Legal', 'Statement', '.']",3,[],0,0.0,
Sentence 29,10,"['Mutual', 'Fund', 'ETF', 'data', 'provided', 'Refinitiv', 'Lipper', '.']",8,"['and', 'by']",2,0.2,
