Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,23,"['Ice', 'Spice', ""'s"", 'Funniest', 'Tweets', 'Fame', '-', 'XXL', 'Check', 'plenty', 'Ice', 'Spice', ""'s"", 'funniest', 'tweets', 'fame', '.']",17,"['Before', 'the', 'out', 'of', 'before', 'the']",6,0.26,
Sentence 2,30,"['celebrities', 'would', 'get', 'bit', 'anxious', 'old', 'tweets', 'resurface', ',', 'Ice', 'Spice', '’', 'past', 'Twitter', 'posts', '’', 'put', 'hot', 'water', '.']",20,"['Most', 'a', 'once', 'their', 'but', 's', 'haven', 't', 'her', 'in']",10,0.33,
Sentence 3,43,"['fact', ',', 'tweets', 'made', 'fair', 'share', 'rounds', 'social', 'media', 'lately', ',', 'internet', 'detectives', 'come', 'conclusion', 'celebrated', 'canceled', 'hilarious', 'aged', 'posts', '.']",21,"['In', 'as', 'her', 'have', 'their', 'of', 'on', 'have', 'to', 'the', 'that', 'she', 'should', 'only', 'be', 'and', 'not', 'because', 'of', 'how', 'her', 'are']",22,0.51,
Sentence 4,11,"['Granted', ',', 'Ice', '’', 'ascension', 'still', 'rather', 'new', '.']",9,"['s', 'is']",2,0.18,
Sentence 5,31,"['Credited', '2022', 'release', '``', 'Munch', '(', 'Feelin', '’', 'U', ')', ""''"", 'rise', 'Bronx', '’', 'drill', 'wave', ',', 'blew', 'last', 'year', '.']",21,"['to', 'the', 'of', 'and', 'the', 'of', 'The', 's', 'she', 'up']",10,0.32,
Sentence 6,32,"['many', 'throwback', 'posts', 'actually', 'late', '2010s', 'early', '2020s', ',', 'still', 'young', ',', 'school', 'manifesting', 'future', 'artist', '.']",17,"['So', 'of', 'her', 'are', 'from', 'the', 'and', 'where', 'she', 'was', 'in', 'and', 'her', 'as', 'an']",15,0.47,
Sentence 7,13,"[""'s"", 'testament', 'quickly', 'things', 'change', '.']",6,"['But', 'that', 'just', 'a', 'to', 'how', 'can']",7,0.54,
Sentence 8,17,"['hilarious', 'thoughts', 'came', 'simply', 'engaging', 'peers', 'platform', '.']",8,"['Some', 'of', 'her', 'most', 'from', 'with', 'her', 'on', 'the']",9,0.53,
Sentence 9,19,"['Take', 'example', 'back', '2018', ',', 'Twitter', 'user', 'posted', ""n't"", 'like', 'therapy', '.']",12,"['for', 'in', 'where', 'a', 'that', 'they', 'did']",7,0.37,
Sentence 10,29,"['Ice', 'used', 'moment', 'reveal', 'walked', 'away', 'treatment', ',', 'writing', ',', '``', 'stop', 'going', 'cus', 'lying', '2', 'da', 'lady', '.', ""''""]",20,"['that', 'to', 'that', 'she', 'from', 'Had', 'to', 'I', 'was']",9,0.31,
Sentence 11,15,"['instance', 'people', 'got', 'kick', 'Ice', ""'s"", 'candid', 'reaction', '.']",9,"['An', 'in', 'which', 'a', 'out', 'of']",6,0.4,
Sentence 12,44,"[""'s"", 'small', 'glimpse', 'Twitter', 'archive', 'worked', 'Ice', 'Spice', ""'s"", 'favor', 'mainstream', 'artist', 'charted', 'Billboard', ',', 'collaborated', 'hip-hop', 'legends', 'got', 'personal', 'invite', 'annual', 'Met', 'Gala', '.']",25,"['That', 'just', 'a', 'into', 'a', 'that', 'has', 'now', 'in', 'as', 'a', 'who', 'has', 'on', 'with', 'and', 'a', 'to', 'the']",19,0.43,
Sentence 13,28,"[""'s"", 'clear', 'old', 'posts', ',', '’', 'time', 'look', 'back', 'unshielded', 'personality', 'like', 'pre-fame', '.']",14,"['Now', 'that', 'she', 'in', 'the', 'for', 'her', 'it', 's', 'to', 'at', 'what', 'her', 'was']",14,0.5,
Sentence 14,19,"['solid', 'handful', 'tweets', 'included', 'article', 'gone', 'viral', ',', 'others', 'XXL', 'dug', '.']",12,"['A', 'of', 'in', 'this', 'have', 'and', 'up']",7,0.37,
Sentence 15,12,"['Check', 'Ice', ""Spice's"", 'funniest', 'tweets', 'back', 'day', '.']",8,"['out', 'from', 'in', 'the']",4,0.33,
