Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,46,"['Tucker', 'Carlson', '’', 'Text', 'Alarmed', 'Fox', ':', '‘', '’', 'White', 'Men', 'Fight', '’', '-', 'New', 'York', 'Times', 'discovery', 'text', 'message', 'contributed', 'chain', 'events', 'ultimately', 'led', 'Tucker', 'Carlson', '’', 'firing', '.']",30,"['s', 'That', 'It', 's', 'Not', 'How', 'The', 'The', 'of', 'the', 'to', 'a', 'of', 'that', 'to', 's']",16,0.35,
Sentence 2,25,"['Advertisement', 'Supported', 'discovery', 'text', 'message', 'contributed', 'chain', 'events', 'ultimately', 'led', 'Tucker', 'Carlson', '’', 'firing', '.']",15,"['by', 'The', 'of', 'the', 'to', 'a', 'of', 'that', 'to', 's']",10,0.4,
Sentence 3,19,"['Send', 'friend', 'story', 'subscriber', ',', '10', 'gift', 'articles', 'give', 'month', '.']",11,"['any', 'a', 'As', 'a', 'you', 'have', 'to', 'each']",8,0.42,
Sentence 4,7,"['Anyone', 'read', 'share', '.']",4,"['can', 'what', 'you']",3,0.43,
Sentence 5,53,"['Jeremy', 'W.', 'Peters', ',', 'Michael', 'S.', 'Schmidt', 'Jim', 'Rutenberg', 'text', 'message', 'sent', 'Tucker', 'Carlson', 'set', 'panic', 'highest', 'levels', 'Fox', 'eve', 'billion-dollar', 'defamation', 'trial', 'showed', 'popular', 'host', 'sharing', 'private', ',', 'inflammatory', 'views', 'violence', 'race', '.']",34,"['By', 'and', 'A', 'by', 'that', 'off', 'a', 'at', 'the', 'of', 'on', 'the', 'of', 'its', 'its', 'most', 'his', 'about', 'and']",19,0.36,
Sentence 6,21,"['discovery', 'message', 'contributed', 'chain', 'events', 'ultimately', 'led', 'Mr.', 'Carlson', '’', 'firing', '.']",12,"['The', 'of', 'the', 'to', 'a', 'of', 'that', 'to', 's']",9,0.43,
Sentence 7,69,"['message', ',', 'sent', 'one', 'producers', 'hours', 'violent', 'Trump', 'supporters', 'stormed', 'Capitol', 'Jan.', '6', ',', '2021', ',', 'Mr.', 'Carlson', 'described', 'recently', 'watched', 'video', 'group', 'men', '—', 'Trump', 'supporters', ',', 'said', '—', 'violently', 'attacking', '“', 'Antifa', 'kid.', '”', '“', 'three', 'one', ',', 'least', ',', '”', 'wrote', '.']",45,"['In', 'the', 'to', 'of', 'his', 'in', 'the', 'after', 'the', 'on', 'how', 'he', 'had', 'a', 'of', 'a', 'of', 'he', 'an', 'It', 'was', 'against', 'at', 'he']",24,0.35,
Sentence 8,18,"['expressed', 'sense', 'dismay', 'attackers', ',', 'like', ',', 'white', '.']",9,"['And', 'then', 'he', 'a', 'of', 'that', 'the', 'him', 'were']",9,0.5,
Sentence 9,14,"['“', 'Jumping', 'guy', 'like', 'dishonorable', 'obviously', ',', '”', 'wrote', '.']",10,"['a', 'that', 'is', 'he']",4,0.29,
Sentence 10,14,"['“', '’', 'white', 'men', 'fight', ',', '”', 'said', '.']",9,"['It', 's', 'not', 'how', 'he']",5,0.36,
Sentence 11,24,"['said', 'found', 'moment', 'wanting', 'group', 'kill', 'person', 'described', 'Antifa', 'kid', '.']",11,"['But', 'he', 'he', 'himself', 'for', 'a', 'the', 'to', 'the', 'he', 'had', 'as', 'the']",13,0.54,
Sentence 12,19,"['couple', 'weeks', 'ago', ',', 'watching', 'video', 'people', 'fighting', 'street', 'Washington', '.']",11,"['A', 'of', 'I', 'was', 'of', 'on', 'the', 'in']",8,0.42,
Sentence 13,19,"['group', 'Trump', 'guys', 'surrounded', 'Antifa', 'kid', 'started', 'pounding', 'living', 'shit', '.']",11,"['A', 'of', 'an', 'and', 'the', 'out', 'of', 'him']",8,0.42,
Sentence 14,9,"['three', 'one', ',', 'least', '.']",5,"['It', 'was', 'against', 'at']",4,0.44,
Sentence 15,9,"['Jumping', 'guy', 'like', 'dishonorable', 'obviously', '.']",6,"['a', 'that', 'is']",3,0.33,
Sentence 16,9,"['’', 'white', 'men', 'fight', '.']",5,"['It', 's', 'not', 'how']",4,0.44,
Sentence 17,24,"['Yet', 'suddenly', 'found', 'rooting', 'mob', 'man', ',', 'hoping', '’', 'hit', 'harder', ',', 'kill', '.']",14,"['I', 'myself', 'for', 'the', 'against', 'the', 'they', 'd', 'him', 'him']",10,0.42,
Sentence 18,9,"['really', 'wanted', 'hurt', 'kid', '.']",5,"['I', 'them', 'to', 'the']",4,0.44,
Sentence 19,5,"['could', 'taste', '.']",3,"['I', 'it']",2,0.4,
Sentence 20,20,"['somewhere', 'deep', 'brain', ',', 'alarm', 'went', ':', '’', 'good', '.']",10,"['Then', 'in', 'my', 'an', 'off', 'this', 'isn', 't', 'for', 'me']",10,0.5,
Sentence 21,13,"['’', 'becoming', 'something', '’', 'want', '.']",6,"['I', 'm', 'I', 'don', 't', 'to', 'be']",7,0.54,
Sentence 22,8,"['Antifa', 'creep', 'human', '.']",4,"['The', 'is', 'a', 'being']",4,0.5,
Sentence 23,36,"['Much', 'despise', 'says', ',', 'much', '’', 'sure', '’', 'hate', 'personally', 'knew', ',', '’', 'gloat', 'suffering', '.']",16,"['as', 'I', 'what', 'he', 'and', 'does', 'as', 'I', 'm', 'I', 'd', 'him', 'if', 'I', 'him', 'I', 'shouldn', 't', 'over', 'his']",20,0.56,
Sentence 24,7,"['bothered', '.']",2,"['I', 'should', 'be', 'by', 'it']",5,0.71,
Sentence 25,20,"['remember', 'somewhere', 'somebody', 'probably', 'loves', 'kid', ',', 'would', 'crushed', 'killed', '.']",11,"['I', 'should', 'that', 'this', 'and', 'be', 'if', 'he', 'was']",9,0.45,
Sentence 26,26,"['’', 'care', 'things', ',', 'reduce', 'people', 'politics', ',', 'better', '?']",10,"['If', 'I', 'don', 't', 'about', 'those', 'if', 'I', 'to', 'their', 'how', 'am', 'I', 'than', 'he', 'is']",16,0.62,
Sentence 27,18,"['years', ',', 'Mr.', 'Carlson', 'espoused', 'views', 'show', 'amplified', 'ideology', 'white', 'nationalism', '.']",12,"['For', 'on', 'his', 'that', 'the', 'of']",6,0.33,
Sentence 28,13,"['text', 'message', 'revealed', 'views', 'racial', 'superiority', '.']",7,"['But', 'the', 'more', 'about', 'his', 'on']",6,0.46,
Sentence 29,28,"['text', 'alarmed', 'Fox', 'board', ',', 'saw', 'message', 'day', 'Fox', 'set', 'defend', 'Dominion', 'Voting', 'Systems', 'jury', '.']",16,"['The', 'the', 'which', 'the', 'a', 'before', 'was', 'to', 'itself', 'against', 'before', 'a']",12,0.43,
Sentence 30,35,"['board', 'grew', 'concerned', 'message', 'could', 'become', 'public', 'trial', 'Mr.', 'Carlson', 'stand', ',', 'creating', 'sensational', 'damaging', 'moment', 'would', 'raise', 'broader', 'questions', 'company', '.']",22,"['The', 'that', 'the', 'at', 'when', 'was', 'on', 'the', 'a', 'and', 'that', 'about', 'the']",13,0.37,
Sentence 31,30,"['day', 'discovery', ',', 'board', 'told', 'Fox', 'executives', 'bringing', 'outside', 'law', 'firm', 'conduct', 'investigation', 'Mr.', 'Carlson', '’', 'conduct', '.']",18,"['The', 'after', 'the', 'the', 'it', 'was', 'in', 'an', 'to', 'an', 'into', 's']",12,0.4,
Sentence 32,47,"['text', 'message', 'added', 'growing', 'number', 'internal', 'issues', 'involving', 'Mr.', 'Carlson', 'led', 'company', '’', 'leadership', 'conclude', 'problem', 'asset', 'go', ',', 'according', 'several', 'people', 'knowledge', 'decision', '.']",25,"['The', 'to', 'a', 'of', 'that', 'the', 's', 'to', 'he', 'was', 'more', 'of', 'a', 'than', 'an', 'and', 'had', 'to', 'to', 'with', 'of', 'the']",22,0.47,
Sentence 33,21,"['messages', 'referred', 'women', '—', 'including', 'senior', 'Fox', 'executive', '—', 'crude', 'misogynistic', 'terms', '.']",13,"['In', 'other', 'he', 'had', 'to', 'a', 'in', 'and']",8,0.38,
