Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,78,"['Ariana', 'Madix', 'Confronts', 'Tom', 'Sandoval', 'Vanderpump', 'Rules', 'Finale', 'Teaser', 'scenes', 'filmed', 'Vanderpump', 'Rules', 'Tom', 'Sandoval', ""'s"", 'affair', 'Raquel', 'Leviss', 'exposed', ',', 'ex', 'Kristen', 'Doute', 'delights', 'downfall', 'Leviss', 'downplays', 'relationship', 'scenes', 'filmed', 'Vanderpump', 'Rules', 'Sandoval', ""'s"", 'affair', 'Raquel', 'Leviss', 'exposed', ',', 'ex', 'Kristen', 'Doute', 'delights', 'downfall', 'Leviss', 'downplays', 'relationship', 'Stephanie', 'Wenger', 'TV', 'Writer/Reporter', 'PEOPLE', '.']",54,"['in', 'In', 'for', 'after', 'with', 'was', 'his', 'in', 'his', 'and', 'their', 'In', 'for', 'after', 'with', 'was', 'his', 'in', 'his', 'and', 'their', 'is', 'a', 'at']",24,0.31,
Sentence 2,18,"['joined', 'brand', '2021', 'digital', 'news', 'writer', ',', 'spanning', 'across', 'site', ""'s"", 'verticals', '.']",13,"['She', 'the', 'in', 'as', 'the']",5,0.28,
Sentence 3,6,"['previously', 'contributed', 'E', '!']",4,"['She', 'to']",2,0.33,
Sentence 4,12,"['Online', ',', 'HollywoodLife', ',', 'Discover', 'Los', 'Angeles', ',', 'Oscar.com', 'Hollywood.com', '.']",11,['and'],1,0.08,
Sentence 5,8,"['appeared', 'air', 'AfterBuzz', 'TV', '.']",5,"['She', 'on', 'at']",3,0.38,
Sentence 6,16,"['began', 'journalism', 'career', 'intern', 'Good', 'Morning', 'America', 'Access', 'Hollywood', '.']",10,"['She', 'her', 'as', 'an', 'at', 'and']",6,0.38,
Sentence 7,25,"['graduated', 'Boston', 'University', 'Bachelor', ""'s"", 'communications', 'received', 'Master', ""'s"", 'journalism', 'University', 'Southern', 'California', '.']",14,"['She', 'from', 'with', 'a', 'in', 'and', 'a', 'in', 'from', 'the', 'of']",11,0.44,
Sentence 8,13,"['Tom', 'Sandoval', 'facing', 'fallout', 'affair', 'Raquel', 'Leviss', '.']",8,"['is', 'the', 'from', 'his', 'with']",5,0.38,
Sentence 9,47,"['teaser', 'season', '10', 'finale', 'Vanderpump', 'Rules', '—', 'filmed', 'shortly', 'secret', 'relationship', 'exposed', 'ended', 'Sandoval', ""'s"", 'nine-year', 'relationship', 'Ariana', 'Madix', '—', 'Schwartz', '&', 'Sandy', ""'s"", 'co-owner', ',', '40', ',', 'heated', 'confrontation', 'Madix', '.']",32,"['In', 'the', 'for', 'of', 'which', 'was', 'after', 'the', 'was', 'and', 'with', 'the', 'has', 'a', 'with']",15,0.32,
Sentence 10,21,"['``', 'Raquel', 'became', 'like', 'really', 'good', 'friends', ',', ""''"", 'tells', 'Madix', 'beginning', 'conversation', '.']",14,"['Me', 'and', 'he', 'at', 'the', 'of', 'the']",7,0.33,
Sentence 11,26,"['hardly', 'satisfied', 'explanation', ',', 'screaming', ',', '``', ""n't"", 'give', 'f', '--', '-', 'f', '--', '-ing', 'Raquel', '.']",17,"['She', 'is', 'with', 'his', 'I', 'do', 'up', 'a', 'about']",9,0.35,
Sentence 12,10,"['friendship', 'f', '--', '-ing', 'bulls', '--', '-.', '``']",8,"['Your', 'is']",2,0.2,
Sentence 13,14,"['Sandoval', 'shoots', 'back', 'defense', ':', '``', 'know', 'everything', '.', ""''""]",10,"['in', 'his', 'own', 'You']",4,0.29,
Sentence 14,18,"['Later', 'clip', ',', 'Madix', 'tells', 'ex', ',', '``', 'regret', 'ever', 'loving', '.', ""''""]",13,"['in', 'the', 'her', 'I', 'you']",5,0.28,
Sentence 15,24,"['Amid', 'turmoil', ',', 'Lisa', 'Vanderpump', 'shows', 'support', 'Madix', ',', 'saying', ',', '``', ""n't"", 'deserve', '.', ""''""]",16,"['the', 'her', 'of', 'You', 'do', 'any', 'of', 'this']",8,0.33,
Sentence 16,22,"['Leviss', ',', '28', ',', 'also', 'attempts', 'downplay', 'relationship', 'Sandoval', 'phone', 'ex-fiancé', 'James', 'Kennedy', '.']",14,"['to', 'her', 'with', 'while', 'on', 'the', 'with', 'her']",8,0.36,
Sentence 17,13,"['``', 'Sandoval', 'item', ',', 'Raquel', '?', ""''""]",7,"['So', 'are', 'you', 'and', 'an', 'now']",6,0.46,
Sentence 18,29,"['asks', 'responds', ',', '``', ""''"", 'Sandoval', 'tells', 'Scheana', 'Shay', '``', 'planned', 'break', 'Ariana', 'regardless', ""''"", 'headline-making', 'affair', '.']",18,"['he', 'and', 'she', 'No', 'that', 'he', 'to', 'up', 'with', 'before', 'his']",11,0.38,
