Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,6,"['Debt', 'Limit', 'Constitutional', '?']",4,"['Is', 'the']",2,0.33,
Sentence 2,6,"['Biden', 'Aides', 'Debating', '.']",4,"['Are', 'It']",2,0.33,
Sentence 3,34,"['-', 'New', 'York', 'Times', 'government', 'heads', 'toward', 'possible', 'default', 'debt', 'soon', 'next', 'month', ',', 'officials', 'entertaining', 'legal', 'theory', 'previous', 'administrations', 'ruled', '.']",22,"['The', 'As', 'the', 'a', 'on', 'its', 'as', 'as', 'are', 'a', 'that', 'out']",12,0.35,
Sentence 4,32,"['Advertisement', 'Supported', 'government', 'heads', 'toward', 'possible', 'default', 'debt', 'soon', 'next', 'month', ',', 'officials', 'entertaining', 'legal', 'theory', 'previous', 'administrations', 'ruled', '.']",20,"['by', 'As', 'the', 'a', 'on', 'its', 'as', 'as', 'are', 'a', 'that', 'out']",12,0.38,
Sentence 5,19,"['Send', 'friend', 'story', 'subscriber', ',', '10', 'gift', 'articles', 'give', 'month', '.']",11,"['any', 'a', 'As', 'a', 'you', 'have', 'to', 'each']",8,0.42,
Sentence 6,7,"['Anyone', 'read', 'share', '.']",4,"['can', 'what', 'you']",3,0.43,
Sentence 7,51,"['Jim', 'Tankersley', 'Reporting', 'Washington', 'standoff', 'House', 'Republicans', 'President', 'Biden', 'raising', 'nation', '’', 'borrowing', 'limit', 'administration', 'officials', 'debating', 'government', 'runs', 'cash', 'pay', 'bills', ',', 'including', 'one', 'option', 'previous', 'administrations', 'deemed', 'unthinkable', '.']",31,"['By', 'from', 'A', 'between', 'and', 'over', 'the', 's', 'has', 'what', 'to', 'do', 'if', 'the', 'out', 'of', 'to', 'its', 'that', 'had']",20,0.39,
Sentence 8,12,"['option', 'effectively', 'constitutional', 'challenge', 'debt', 'limit', '.']",7,"['That', 'is', 'a', 'to', 'the']",5,0.42,
Sentence 9,44,"['theory', ',', 'government', 'would', 'required', '14th', 'Amendment', 'continue', 'issuing', 'new', 'debt', 'pay', 'bondholders', ',', 'Social', 'Security', 'recipients', ',', 'government', 'employees', 'others', ',', 'even', 'Congress', 'fails', 'lift', 'limit', 'so-called', 'X-date', '.']",30,"['Under', 'the', 'the', 'be', 'by', 'the', 'to', 'to', 'and', 'if', 'to', 'the', 'before', 'the']",14,0.32,
Sentence 10,78,"['theory', 'rests', '14th', 'Amendment', 'clause', 'stating', '“', 'validity', 'public', 'debt', 'United', 'States', ',', 'authorized', 'law', ',', 'including', 'debts', 'incurred', 'payment', 'pensions', 'bounties', 'services', 'suppressing', 'insurrection', 'rebellion', ',', 'shall', 'questioned.', '”', 'legal', 'scholars', 'contend', 'language', 'overrides', 'statutory', 'borrowing', 'limit', ',', 'currently', 'caps', 'federal', 'debt', '$', '31.4', 'trillion', 'requires', 'congressional', 'approval', 'raise', 'lift', '.']",52,"['That', 'on', 'the', 'that', 'the', 'of', 'the', 'of', 'the', 'by', 'for', 'of', 'and', 'for', 'in', 'or', 'not', 'be', 'Some', 'that', 'the', 'which', 'at', 'and', 'to', 'or']",26,0.33,
Sentence 11,41,"['Top', 'economic', 'legal', 'officials', 'White', 'House', ',', 'Treasury', 'Department', 'Justice', 'Department', 'made', 'theory', 'subject', 'intense', 'unresolved', 'debate', 'recent', 'months', ',', 'according', 'several', 'people', 'familiar', 'discussions', '.']",26,"['and', 'at', 'the', 'the', 'and', 'the', 'have', 'that', 'a', 'of', 'and', 'in', 'to', 'with', 'the']",15,0.37,
Sentence 12,29,"['unclear', 'whether', 'President', 'Biden', 'would', 'support', 'move', ',', 'would', 'serious', 'ramifications', 'economy', 'almost', 'undoubtedly', 'elicit', 'legal', 'challenges', 'Republicans', '.']",19,"['It', 'is', 'such', 'a', 'which', 'have', 'for', 'the', 'and', 'from']",10,0.34,
Sentence 13,32,"['Continuing', 'issue', 'debt', 'situation', 'would', 'avoid', 'immediate', 'disruption', 'consumer', 'demand', 'maintaining', 'government', 'payments', ',', 'borrowing', 'costs', 'likely', 'soar', ',', 'least', 'temporarily', '.']",22,"['to', 'in', 'that', 'an', 'in', 'by', 'but', 'are', 'to', 'at']",10,0.31,
Sentence 14,18,"['Still', ',', 'debate', 'taking', 'new', 'urgency', 'United', 'States', 'inches', 'closer', 'default', '.']",12,"['the', 'is', 'on', 'as', 'the', 'to']",6,0.33,
Sentence 15,29,"['Treasury', 'Secretary', 'Janet', 'L.', 'Yellen', 'warned', 'Monday', 'government', 'could', 'run', 'cash', 'soon', 'June', '1', 'borrowing', 'cap', 'lifted', '.']",18,"['on', 'that', 'the', 'out', 'of', 'as', 'as', 'if', 'the', 'is', 'not']",11,0.38,
Sentence 16,34,"['Mr.', 'Biden', 'set', 'meet', 'Speaker', 'Kevin', 'McCarthy', 'California', 'White', 'House', 'May', '9', 'discuss', 'fiscal', 'policy', ',', 'along', 'top', 'congressional', 'leaders', 'parties', '.']",22,"['is', 'to', 'with', 'of', 'at', 'the', 'on', 'to', 'with', 'other', 'from', 'both']",12,0.35,
Sentence 17,18,"['president', '’', 'invitation', 'spurred', 'accelerated', 'warning', 'arrival', 'X-date', '.']",9,"['The', 's', 'was', 'by', 'the', 'of', 'the', 'of', 'the']",9,0.5,
Sentence 18,18,"['remains', 'unclear', 'type', 'compromise', 'may', 'reached', 'time', 'avoid', 'default', '.']",10,"['But', 'it', 'what', 'of', 'be', 'in', 'to', 'a']",8,0.44,
Sentence 19,41,"['House', 'Republicans', 'refused', 'raise', 'suspend', 'debt', 'ceiling', 'unless', 'Mr.', 'Biden', 'accepts', 'spending', 'cuts', ',', 'fossil', 'fuel', 'supports', 'repeal', 'Democratic', 'climate', 'policies', ',', 'contained', 'bill', 'narrowly', 'cleared', 'chamber', 'last', 'week', '.']",30,"['have', 'to', 'or', 'the', 'and', 'a', 'of', 'in', 'a', 'that', 'the']",11,0.27,
Sentence 20,31,"['Mr.', 'Biden', 'said', 'Congress', 'must', 'raise', 'limit', 'without', 'conditions', ',', 'though', 'also', 'said', 'open', 'separate', 'discussions', 'nation', '’', 'fiscal', 'path', '.']",21,"['has', 'the', 'he', 'has', 'he', 'is', 'to', 'about', 'the', 's']",10,0.32,
Sentence 21,10,"['White', 'House', 'spokesman', 'declined', 'comment', 'Tuesday', '.']",7,"['A', 'to', 'on']",3,0.3,
Sentence 22,24,"['group', 'legal', 'scholars', 'liberal', 'activists', 'pushed', 'constitutional', 'challenge', 'borrowing', 'limit', 'decade', '.']",12,"['A', 'of', 'and', 'some', 'have', 'the', 'to', 'the', 'for', 'more', 'than', 'a']",12,0.5,
Sentence 23,8,"['previous', 'administration', 'taken', '.']",4,"['No', 'has', 'it', 'up']",4,0.5,
