Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,12,"['Could', 'Biden', 'use', '14th', 'Amendment', 'raise', 'debt', 'ceiling', '?']",9,"['the', 'to', 'the']",3,0.25,
Sentence 2,45,"['|', 'Reuters', 'President', 'Joe', 'Biden', 'Sunday', 'said', 'believes', 'legal', 'right', 'invoke', '14th', 'Amendment', 'U.S.', 'Constitution', 'raise', 'federal', 'government', ""'s"", '$', '31.4', 'trillion', 'debt', 'ceiling', 'time', '.']",26,"['on', 'he', 'he', 'has', 'the', 'to', 'the', 'of', 'the', 'to', 'the', 'but', 'does', 'not', 'have', 'the', 'to', 'do', 'so']",19,0.42,
Sentence 3,46,"['[', '1/3', ']', 'U.S.', 'President', 'Joe', 'Biden', 'delivers', 'remarks', '``', 'preventing', 'first-ever', 'government', 'default', ""''"", 'brief', 'event', 'prior', 'departure', 'Japan', ',', 'Roosevelt', 'Room', 'White', 'House', 'Washington', ',', 'U.S.', ',', 'May', '17', ',', '2023', '.']",34,"['on', 'a', 'during', 'a', 'to', 'his', 'for', 'in', 'the', 'at', 'the', 'in']",12,0.26,
Sentence 4,53,"['REUTERS/Kevin', 'Lamarque', 'WASHINGTON', ',', 'May', '2', '(', 'Reuters', ')', '-', 'President', 'Joe', 'Biden', 'Sunday', 'said', 'believes', 'legal', 'right', 'invoke', '14th', 'Amendment', 'U.S.', 'Constitution', 'raise', 'federal', 'government', ""'s"", '$', '31.4', 'trillion', 'debt', 'ceiling', 'time', '.']",34,"['on', 'he', 'he', 'has', 'the', 'to', 'the', 'of', 'the', 'to', 'the', 'but', 'does', 'not', 'have', 'the', 'to', 'do', 'so']",19,0.36,
Sentence 5,28,"['fellow', 'Democrats', 'urging', 'try', 'use', 'untested', 'legal', 'theory', 'bypass', 'Republican-controlled', 'House', 'Representatives', 'raise', 'borrowing', 'limit', '.']",16,"['Some', 'have', 'been', 'him', 'to', 'to', 'that', 'to', 'the', 'of', 'and', 'the']",12,0.43,
Sentence 6,33,"['Section', 'Four', '14th', 'Amendment', ',', 'adopted', '1861-1865', 'Civil', 'War', ',', 'states', '``', 'validity', 'public', 'debt', 'United', 'States', '...', 'shall', 'questioned', '.', ""''""]",22,"['of', 'after', 'the', 'that', 'the', 'of', 'the', 'of', 'the', 'not', 'be']",11,0.33,
Sentence 7,23,"['Historians', 'say', 'aimed', 'ensure', 'federal', 'government', 'would', 'repudiate', 'debts', ',', 'former', 'Confederate', 'states', 'done', '.']",15,"['that', 'to', 'the', 'not', 'its', 'as', 'some', 'had']",8,0.35,
Sentence 8,25,"['clause', 'largely', 'unaddressed', 'courts', ',', 'legal', 'experts', 'disagree', 'requires', 'Congress', 'presidency', '.']",12,"['But', 'the', 'has', 'been', 'by', 'the', 'and', 'about', 'what', 'it', 'from', 'and', 'the']",13,0.52,
Sentence 9,35,"[',', 'like', 'Cornell', 'University', 'law', 'professor', 'Michael', 'Dorf', ',', 'say', '``', 'least', 'unconstitutional', ""''"", 'option', 'would', 'Biden', 'act', 'protect', 'integrity', 'national', 'debt', '.']",23,"['Some', 'the', 'be', 'for', 'to', 'on', 'his', 'own', 'to', 'the', 'of', 'the']",12,0.34,
Sentence 10,11,"['``', 'would', 'mean', 'borrowing', 'money', ',', ""''"", 'said', '.']",9,"['That', 'he']",2,0.18,
Sentence 11,10,"['action', 'Biden', 'would', 'surely', 'prompt', 'lawsuit', '.']",7,"['Any', 'by', 'a']",3,0.3,
Sentence 12,10,"[""'s"", 'clear', 'could', 'bring', 'case', '.']",6,"['It', 'not', 'who', 'a']",4,0.4,
Sentence 13,26,"['could', 'difficult', 'plaintiff', 'prove', 'harmed', 'action', '—', 'legal', 'concept', 'known', '``', 'standing', '.', ""''""]",14,"['It', 'be', 'for', 'any', 'to', 'they', 'had', 'been', 'by', 'the', 'a', 'as']",12,0.46,
Sentence 14,33,"['U.S.', 'Supreme', 'Court', 'ruled', '1997', 'individual', 'lawmakers', 'standing', 'file', 'lawsuits', ',', 'Congress', 'could', 'potentially', 'vote', 'say', 'collectively', 'harmed', '.']",19,"['The', 'in', 'that', 'do', 'not', 'have', 'to', 'such', 'but', 'to', 'that', 'it', 'had', 'been']",14,0.42,
Sentence 15,36,"['high', 'court', 'could', 'also', 'opt', 'hear', 'challenge', 'interest', 'quickly', 'resolving', 'issue', ',', 'done', 'Biden', ""'s"", 'move', 'cancel', '$', '430', 'billion', 'student', 'debt', '.']",23,"['The', 'to', 'a', 'in', 'the', 'of', 'the', 'as', 'they', 'have', 'with', 'to', 'in']",13,0.36,
Sentence 16,9,"['case', 'would', 'uncharted', 'legal', 'territory', '.']",6,"['Any', 'be', 'in']",3,0.33,
Sentence 17,33,"['Supreme', 'Court', 'ruled', 'public-debt', 'clause', ',', '1935', 'challenge', 'Democratic', 'President', 'Franklin', 'Roosevelt', ""'s"", 'decision', 'take', 'United', 'States', 'gold', 'standard', '.']",20,"['The', 'has', 'on', 'the', 'only', 'once', 'in', 'a', 'to', 'to', 'the', 'off', 'the']",13,0.39,
Sentence 18,19,"['court', 'ruled', 'plaintiff', ',', 'bondholder', ',', 'standing', 'file', 'case', '.']",10,"['The', 'that', 'the', 'a', 'did', 'not', 'have', 'to', 'the']",9,0.47,
Sentence 19,29,"['Biden', 'Congress', ',', 'meanwhile', ',', 'would', 'tremendous', 'pressure', 'resolve', 'issue', 'quickly', '-', 'meaning', 'case', 'might', 'irrelevant', 'reaches', 'court', '.']",19,"['and', 'be', 'under', 'to', 'the', 'any', 'be', 'before', 'it', 'the']",10,0.34,
