Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,52,"['List', 'TV', 'Shows', 'Shut', ',', 'Suspended', 'Due', 'WGA', 'Strike', 'Includes', '‘', 'Duster', '’', '–', 'Deadline', 'Writers', 'Guild', 'America', 'strike', 'underway', 'hundreds', 'TV', 'film', 'writers', 'taking', 'picket', 'lines', ',', 'meaning', 'writing', 'work', 'many', 'TV', 'shows', 'come', 'halt', '.']",37,"['Of', 'Down', 'To', 'The', 'of', 'is', 'with', 'of', 'and', 'to', 'the', 'on', 'has', 'to', 'a']",15,0.29,
Sentence 2,24,"['Denise', 'Petski', ',', 'Dominic', 'Patten', 'Check', 'back', 'updates', '...', 'shows', 'latest', 'impacted', 'WGA', 'strike', '?']",15,"['By', 'for', 'What', 'are', 'the', 'to', 'be', 'by', 'the']",9,0.38,
Sentence 3,26,"['J.J.', 'Abrams', 'LaToya', 'Morgan', 'Max', 'drama', 'series', 'Duster', 'FX', 'series', 'Old', 'Man', 'starring', 'Jeff', 'Bridges', 'suspended', 'production', 'Monday', ',', 'May', '22', '.']",22,"['and', 'and', 'The', 'both']",4,0.15,
Sentence 4,23,"['Duster', ',', 'shooting', 'Albuquerque', ',', 'NM', ',', 'stopped', 'production', 'IATSE', 'teamsters', 'refused', 'cross', 'picket', 'lines', '.']",16,"['which', 'was', 'in', 'after', 'and', 'to', 'the']",7,0.3,
Sentence 5,25,"['Old', 'Man', 'shut', 'today', '’', 'shoot', 'completing', 'Episode', '204', ',', 'resume', 'WGA', 'work', 'stoppage', '.']",15,"['The', 'down', 'after', 's', 'and', 'will', 'after', 'the', 'is', 'over']",10,0.4,
Sentence 6,53,"['Daredevil', ':', 'Born', 'Billions', 'added', 'list', 'earlier', 'month', ',', 'FBI', ':', 'Wanted', ',', 'P-Valley', ',', 'Power', 'Book', 'II', ':', 'Ghost', 'Pretty', 'Little', 'Liars', ':', 'Summer', 'School', 'temporarily', 'shuttered', 'production', 'Thursday', 'East', 'Coast', 'scribes', 'supporters', 'took', 'picket', 'lines', '.']",38,"['After', 'Again', 'and', 'were', 'to', 'the', 'again', 'this', 'Most', 'and', 'as', 'and', 'their', 'to', 'the']",15,0.28,
Sentence 7,18,"['Friday', ',', 'Prime', 'Video', '’', 'upcoming', 'series', 'Call', 'became', 'latest', 'suspend', 'production', '.']",13,"['And', 's', 'On', 'the', 'to']",5,0.28,
Sentence 8,31,"['Additionally', ',', 'Seth', 'MacFarlane', 'showrunners', 'American', 'Dad', 'Family', 'Guy', 'job', 'Writers', 'Guild', 'America', 'new', 'deal', 'studios', '.']",17,"['and', 'the', 'for', 'and', 'are', 'off', 'the', 'until', 'the', 'of', 'has', 'a', 'with', 'the']",14,0.45,
Sentence 9,44,"['MacFarlane', ',', 'American', 'Dad', '’', 'Brian', 'Boyle', 'Matt', 'Weitzman', 'Family', 'Guy', '’', 'Rich', 'Appel', 'Alec', 'Sulkin', 'informed', '20th', 'Television', 'none', 'working', 'respective', 'series', 'long', 'WGA', 'remains', 'strike', '.']",28,"['s', 'and', 'and', 's', 'and', 'that', 'of', 'them', 'will', 'be', 'on', 'the', 'as', 'as', 'the', 'on']",16,0.36,
Sentence 10,21,"['Writers', 'Guild', 'America', 'strike', 'underway', 'hundreds', 'TV', 'film', 'writers', 'taking', 'picket', 'lines', '.']",13,"['The', 'of', 'is', 'with', 'of', 'and', 'to', 'the']",8,0.38,
Sentence 11,35,"['course', ',', 'means', 'writing', 'work', 'come', 'halt', 'many', 'TV', 'shows', 'Evil', ',', 'Stranger', 'Things', ',', 'Cobra', 'Kai', ',', 'Yellowjackets', ',', 'Abbott', 'Elementary', ',', 'among', 'others', '.']",26,"['Of', 'that', 'has', 'to', 'a', 'on', 'such', 'as', 'and']",9,0.26,
Sentence 12,26,"['Deadline', 'keeping', 'top', 'latest', 'delays', 'production', 'shutdowns', 'result', 'strike', ',', 'keep', 'refreshing', 'page', '.']",14,"['is', 'on', 'of', 'the', 'on', 'and', 'as', 'a', 'of', 'the', 'so', 'the']",12,0.46,
Sentence 13,34,"['DUSTER', 'Max', 'period', 'drama', 'Duster', 'J.J.', 'Abrams', 'LaToya', 'Morgan', 'shut', 'production', 'Monday', ',', 'May', '22', 'Albuquerque', ',', 'NM', 'IATSE', 'teamsters', 'refused', 'cross', 'picket', 'lines', '.']",25,"['The', 'from', 'and', 'down', 'in', 'after', 'and', 'to', 'the']",9,0.26,
Sentence 14,37,"['OLD', 'MAN', 'Filming', 'Season', '2', 'FX', 'drama', 'series', 'Old', 'Man', ',', 'starring', 'Jeff', 'Bridges', ',', 'suspended', 'Monday', '(', 'May', '22', ')', 'resume', 'work', 'stoppage', 'ended', '.']",26,"['THE', 'on', 'of', 'the', 'The', 'was', 'and', 'will', 'when', 'the', 'has']",11,0.3,
Sentence 15,7,"['Filming', 'completed', 'Episode', '204', '.']",5,"['was', 'through']",2,0.29,
Sentence 16,52,"['DAYTIME', 'EMMY', 'AWARDS', 'National', 'Academy', 'Television', 'Arts', '&', 'Sciences', 'announced', 'Tuesday', '(', 'May', '16', ')', '50th', 'Daytime', 'Emmy', 'Awards', ',', 'scheduled', 'June', '16', 'CBS', ',', 'Creative', 'Arts', '&', 'Lifestyle', 'ceremony', ',', 'scheduled', 'June', '17', ',', 'postponed', 'pending', 'strike', 'resolution', '.']",40,"['The', 'of', 'that', 'the', 'for', 'on', 'and', 'the', 'for', 'have', 'been', 'a']",12,0.23,
