Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,40,"['Writers', 'Strike', '2023', ':', 'Shows', 'Affected', 'Delays', ',', 'Cancellations', '|', 'TVLine', 'WGA', 'strike', 'underway', ',', 'raising', 'questions', 'future', 'TV', 'shows', 'currently', 'airing/streaming', 'well', 'coming', 'pike', '.']",26,"['What', 'Will', 'Be', 'By', 'The', 'is', 'about', 'the', 'of', 'as', 'as', 'those', 'down', 'the']",14,0.35,
Sentence 2,51,"['Matt', 'Webb', 'Mitovich', '/', 'May', '2', '2023', ',', '11:06', 'PDT', 'Writers', 'Guild', 'America', 'strike', 'got', 'underway', 'May', '2', ',', 'raising', 'lots', 'questions', 'future', 'TV', 'shows', 'currently', 'airing/streaming', ',', 'well', 'due', 'coming', 'pike', '.']",33,"['By', 'AM', 'The', 'of', 'on', 'of', 'about', 'the', 'of', 'that', 'are', 'as', 'as', 'those', 'to', 'be', 'down', 'the']",18,0.35,
Sentence 3,25,"['Let', '’', 'see', 'help', 'sort', '’', ',', 'depending', 'types', 'shows', 'watch', '.']",12,"['s', 'if', 'we', 'can', 'you', 'through', 'what', 's', 'what', 'on', 'the', 'of', 'you']",13,0.52,
Sentence 4,33,"['first', ',', 'primer', ':', 'According', 'WGA', 'guidelines', ',', 'work', 'stoppage', 'underway', ',', 'members', 'barred', 'writing', ',', 'pitch', 'negotiate', 'work', '.']",20,"['But', 'a', 'to', 'once', 'a', 'is', 'are', 'from', 'nor', 'can', 'they', 'or', 'for']",13,0.39,
Sentence 5,21,"['’', ',', 'anything', 'already', 'written', 'strike', 'commenced', 'edited', 'production', '.']",10,"['What', 's', 'more', 'that', 'was', 'before', 'the', 'can', 'not', 'be', 'during']",11,0.52,
Sentence 6,44,"['TV', 'vet', 'Mike', 'Royce', 'detailed', 'Twitter', ',', '“', 'show', 'continues', 'production', 'script', 'written', 'strike', ',', 'may', 'ALTERATIONS', 'script', 'made', 'ANYONE', 'WGA', 'strike', '.']",23,"['As', 'on', 'If', 'a', 'on', 'a', 'that', 'was', 'before', 'the', 'there', 'not', 'be', 'ANY', 'to', 'that', 'by', 'while', 'the', 'is', 'on']",21,0.48,
Sentence 7,29,"['word', ',', 'comma.', '”', 'dictates', 'finite', 'supply', 'scripted', 'material', 'networks', 'live', 'weeks/months', 'come', '.']",14,"['Not', 'a', 'not', 'a', 'That', 'a', 'of', 'for', 'the', 'to', 'off', 'of', 'in', 'the', 'to']",15,0.52,
Sentence 8,87,"['2007-08', 'WGA', 'strike', ',', 'lasted', '100', 'days', 'came', 'midseason', ',', 'resulted', 'truncated', 'seasons', 'shows', '30', 'Rock', ',', 'Big', 'Bang', 'Theory', ',', 'Brothers', '&', 'Sisters', ',', 'three', 'CSIs', ',', 'Desperate', 'Housewives', ',', 'Grey', '’', 'Anatomy', ',', 'Heroes', ',', 'Met', 'Mother', ',', 'Lost', ',', 'NCIS', ',', 'Office', ',', 'Scrubs', 'Two', 'Half', 'Men', '—', 'name', 'programs', 'wound', 'producing', 'half', 'less', 'seasons', '.']",59,"['The', 'which', 'and', 'at', 'in', 'for', 'such', 'as', 'The', 's', 'How', 'I', 'Your', 'The', 'and', 'and', 'a', 'to', 'just', 'a', 'few', 'of', 'the', 'that', 'up', 'or', 'of', 'their']",28,0.32,
Sentence 9,13,"['also', 'reportedly', 'cost', 'L.A.', 'economy', 'reported', '$', '2', 'billion', '.']",10,"['It', 'the', 'a']",3,0.23,
Sentence 10,39,"['current', 'WGA', 'membership', 'steeled', 'strike', 'long', ',', 'longer', ',', 'given', 'disparity', 'seeking', 'new', 'contract', ',', 'AMPTP', 'thus', 'far', 'offering', '.']",20,"['And', 'the', 'is', 'to', 'just', 'as', 'if', 'not', 'the', 'between', 'what', 'they', 'are', 'in', 'a', 'and', 'what', 'the', 'is']",19,0.49,
Sentence 11,8,"['shows', 'feel', 'strike', 'first', '?']",5,"['Which', 'will', 'the']",3,0.38,
Sentence 12,8,"['sorts', 'programs', 'affected', '?']",4,"['What', 'of', 'are', 'not']",4,0.5,
Sentence 13,23,"['Read', 'overview', 'broadcast', ',', 'cable', ',', 'streaming', ',', 'daytime', ',', 'late-night', 'shows', 'impacted', '.']",14,"['on', 'for', 'an', 'of', 'how', 'and', 'other', 'will', 'be']",9,0.39,
