Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,29,"['Late', 'Night', 'Shows', 'Go', 'Dark', 'First', 'Fallout', 'Writers', '’', 'Strike', '-', 'New', 'York', 'Times', 'long', 'stay', 'air', 'open', 'question', '.']",20,"['in', 'From', 'The', 'How', 'they', 'off', 'the', 'is', 'an']",9,0.31,
Sentence 2,14,"['last', 'strike', ',', 'gradually', 'returned', 'couple', 'months', '.']",8,"['During', 'the', 'they', 'after', 'a', 'of']",6,0.43,
Sentence 3,15,"['Advertisement', 'Supported', 'long', 'stay', 'air', 'open', 'question', '.']",8,"['by', 'How', 'they', 'off', 'the', 'is', 'an']",7,0.47,
Sentence 4,14,"['last', 'strike', ',', 'gradually', 'returned', 'couple', 'months', '.']",8,"['During', 'the', 'they', 'after', 'a', 'of']",6,0.43,
Sentence 5,19,"['Send', 'friend', 'story', 'subscriber', ',', '10', 'gift', 'articles', 'give', 'month', '.']",11,"['any', 'a', 'As', 'a', 'you', 'have', 'to', 'each']",8,0.42,
Sentence 6,7,"['Anyone', 'read', 'share', '.']",4,"['can', 'what', 'you']",3,0.43,
Sentence 7,38,"['John', 'Koblin', 'hours', 'union', 'representing', 'thousands', 'television', 'movie', 'writers', 'announced', 'going', 'strike', ',', 'hundreds', 'members', 'occupied', 'entire', 'city', 'block', 'Midtown', 'Manhattan', 'Tuesday', '.']",23,"['By', 'Just', 'after', 'the', 'of', 'and', 'that', 'they', 'were', 'on', 'of', 'their', 'an', 'in', 'on']",15,0.39,
Sentence 8,31,"['Gathered', 'outside', 'NBCUniversal', 'event', 'Fifth', 'Avenue', ',', 'writers', 'chanted', '“', 'contract', ',', 'content', '”', 'held', 'signs', 'slogans', 'like', '“', 'Pencils', '!', '!']",22,"['an', 'on', 'the', 'No', 'no', 'and', 'up', 'with', 'Down']",9,0.29,
Sentence 9,53,"['!', '”', '“', 'Spoiler', 'Alert', ':', 'Win.', '”', '“', 'companies', 'absolutely', 'destroying', 'industry', ',', '”', 'Tony', 'Kushner', ',', 'acclaimed', 'playwright', 'screenwriter', 'movies', 'like', '“', 'Lincoln', '”', '“', 'Fabelmans', ',', '”', 'said', 'picket', 'line', ',', 'referring', 'Hollywood', 'studios', '.']",38,"['and', 'We', 'Will', 'These', 'are', 'our', 'the', 'and', 'a', 'of', 'and', 'The', 'from', 'the', 'to']",15,0.28,
Sentence 10,20,"['noisy', 'show', 'solidarity', ',', 'echoed', 'picket', 'lines', 'outside', 'major', 'studios', 'Los', 'Angeles', '.']",13,"['It', 'was', 'a', 'of', 'on', 'the', 'in']",7,0.35,
Sentence 11,50,"['immediate', 'fallout', 'strike', '—', 'shattered', '15', 'years', 'labor', 'peace', 'entertainment', 'industry', 'bring', 'much', 'Hollywood', '’', 'production', 'assembly', 'line', 'halt', '—', 'felt', 'acutely', 'world', 'late-night', 'television', ',', 'immediately', 'went', 'dark', '.']",30,"['But', 'the', 'of', 'the', 'which', 'of', 'in', 'the', 'and', 'will', 'of', 's', 'to', 'a', 'was', 'most', 'in', 'the', 'of', 'which']",20,0.4,
Sentence 12,29,"['Tuesday', 'afternoon', ',', 'NBC', 'issued', 'statement', 'upcoming', 'edition', '“', 'Tonight', 'Show', 'Starring', 'Jimmy', 'Fallon', '”', 'would', 'repeat', 'April', '.']",19,"['On', 'a', 'that', 'the', 'of', 'the', 'The', 'be', 'a', 'from']",10,0.34,
Sentence 13,31,"['“', 'Late', 'Night', 'Seth', 'Meyers', '”', 'canceled', 'show', 'supposed', 'feature', 'interview', 'actress', 'Rachel', 'Weisz', ',', 'replacing', 'rerun', 'February', '.']",19,"['With', 'a', 'that', 'was', 'to', 'an', 'with', 'the', 'it', 'with', 'a', 'from']",12,0.39,
Sentence 14,17,"['New', 'episodes', 'late-night', 'shows', 'hosted', 'Stephen', 'Colbert', 'Jimmy', 'Kimmel', 'also', 'suspended', '.']",12,"['from', 'by', 'and', 'have', 'been']",5,0.29,
Sentence 15,19,"['“', 'Saturday', 'Night', 'Live', '”', 'canceled', 'new', 'episode', 'scheduled', 'weekend', 'Pete', 'Davidson', 'host', '.']",14,"['a', 'for', 'this', 'with', 'as']",5,0.26,
Sentence 16,31,"['NBC', 'said', 'would', '“', 'air', 'repeats', 'notice', ',', '”', 'raising', 'possibility', 'show', 'able', 'end', '48th', 'season', 'finale', '.']",18,"['it', 'until', 'further', 'the', 'that', 'the', 'will', 'not', 'be', 'to', 'its', 'with', 'a']",13,0.42,
Sentence 17,14,"['long', 'late-night', 'talk', 'shows', 'stay', 'air', 'open', 'question', '.']",9,"['How', 'off', 'the', 'is', 'an']",5,0.36,
Sentence 18,27,"['last', 'strike', ',', '2007', ',', 'late-night', 'shows', 'gradually', 'came', 'back', 'two', 'months', ',', 'even', 'writers', 'still', 'picket', 'lines', '.']",19,"['During', 'the', 'in', 'after', 'about', 'with', 'their', 'on']",8,0.3,
