Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,64,"['Judge', 'rejects', 'Zooey', 'Zephyr', 'bid', 'return', 'Montana', 'House', 'Rep.', 'Zooey', 'Zephyr', ',', 'transgender', 'state', 'lawmaker', 'silenced', 'telling', 'Republicans', 'would', 'blood', 'hands', 'opposing', 'gender-affirming', 'health', 'care', 'kids', ',', 'barred', 'returning', 'Montana', 'House', 'floor', 'Tuesday', 'court', 'ruling', 'came', 'hours', 'Legislature', 'wrapped', 'biennial', 'session', '.']",42,"['to', 'to', 'the', 'after', 'they', 'have', 'on', 'their', 'for', 'for', 'was', 'from', 'to', 'the', 'in', 'a', 'that', 'just', 'before', 'the', 'up', 'its']",22,0.34,
Sentence 2,28,"['District', 'Court', 'Judge', 'Mike', 'Menahan', 'said', 'outside', 'authority', 'overrule', 'lawmakers', 'voted', 'last', 'week', 'exclude', 'Zephyr', 'House', 'floor', 'debates', '.']",19,"['it', 'was', 'his', 'to', 'who', 'to', 'from', 'the', 'and']",9,0.32,
Sentence 3,32,"['“', 'Plaintiffs', '’', 'requested', 'relief', 'would', 'require', 'Court', 'interfere', 'legislative', 'authority', 'manner', 'exceeds', 'Court', '’', 'authority', ',', '”', 'Menahan', 'wrote', 'ruling', '.']",22,"['this', 'to', 'with', 'in', 'a', 'that', 'this', 's', 'in', 'his']",10,0.31,
Sentence 4,4,"['HELENA', ',', 'Mont', '.']",4,[],0,0.0,
Sentence 5,58,"['(', 'AP', ')', '—', 'Rep.', 'Zooey', 'Zephyr', ',', 'transgender', 'state', 'lawmaker', 'silenced', 'telling', 'Republicans', 'would', 'blood', 'hands', 'opposing', 'gender-affirming', 'health', 'care', 'kids', ',', 'barred', 'returning', 'Montana', 'House', 'floor', 'Tuesday', 'court', 'ruling', 'came', 'hours', 'Legislature', 'wrapped', 'biennial', 'session', '.']",38,"['the', 'after', 'they', 'have', 'on', 'their', 'for', 'for', 'was', 'from', 'to', 'the', 'in', 'a', 'that', 'just', 'before', 'the', 'up', 'its']",20,0.34,
Sentence 6,28,"['District', 'Court', 'Judge', 'Mike', 'Menahan', 'said', 'outside', 'authority', 'overrule', 'lawmakers', 'voted', 'last', 'week', 'exclude', 'Zephyr', 'House', 'floor', 'debates', '.']",19,"['it', 'was', 'his', 'to', 'who', 'to', 'from', 'the', 'and']",9,0.32,
Sentence 7,22,"['cited', 'importance', 'preserving', 'Constitution', '’', 'separation', 'powers', 'legislative', ',', 'executive', 'judicial', 'branches', '.']",13,"['He', 'the', 'of', 'the', 's', 'of', 'between', 'the', 'and']",9,0.41,
Sentence 8,32,"['“', 'Plaintiffs', '’', 'requested', 'relief', 'would', 'require', 'Court', 'interfere', 'legislative', 'authority', 'manner', 'exceeds', 'Court', '’', 'authority', ',', '”', 'Menahan', 'wrote', 'ruling', '.']",22,"['this', 'to', 'with', 'in', 'a', 'that', 'this', 's', 'in', 'his']",10,0.31,
Sentence 9,43,"['ruling', 'lawmakers', '’', 'decision', 'adjourn', 'brought', 'sudden', 'end', 'political', 'standoff', 'dominated', 'last', 'days', 'Legislature', 'put', 'national', 'spotlight', 'transgender', 'issues', 'muffling', 'dissent', 'statehouses', 'across', 'U.S', '.']",25,"['The', 'and', 'to', 'a', 'to', 'a', 'that', 'the', 'of', 'the', 'and', 'a', 'on', 'and', 'the', 'of', 'in', 'the']",18,0.42,
Sentence 10,31,"['leaves', 'bitter', 'feelings', 'sides', ',', 'Democrats', 'transgender', 'community', 'outraged', 'Zephyr', '’', 'treatment', ',', 'Republicans', 'indignant', 'vehemence', 'response', '.']",18,"['It', 'on', 'both', 'with', 'and', 'the', 'over', 's', 'and', 'over', 'the', 'of', 'the']",13,0.42,
Sentence 11,24,"['Attorneys', 'state', 'Montana', 'asked', 'judge', 'reject', 'emergency', 'motion', 'Zephyr', '’', 'lawyers', 'challenging', 'ouster', '.']",14,"['for', 'the', 'of', 'had', 'the', 'to', 'an', 'from', 's', 'her']",10,0.42,
Sentence 12,25,"['first-term', 'lawmaker', 'silenced', 'two', 'weeks', 'ago', 'admonishing', 'Republican', 'lawmakers', ',', 'banished', 'floor', 'encouraging', 'raucous', 'statehouse', 'protest', '.']",17,"['The', 'was', 'for', 'then', 'from', 'the', 'for', 'a']",8,0.32,
Sentence 13,45,"['Zephyr', 'told', 'Associated', 'Press', 'Menahan', ""'s"", 'decision', '“', 'entirely', 'wrong.', '”', '“', '’', 'really', 'sad', 'day', 'country', 'majority', 'party', 'silence', 'representation', 'minority', 'party', 'whenever', 'take', 'issue', ',', '”', 'Zephyr', 'said', '.']",31,"['The', 'that', 'was', 'It', 's', 'a', 'for', 'the', 'when', 'the', 'can', 'from', 'the', 'they']",14,0.31,
Sentence 14,15,"['attorney', 'Zephyr', ',', 'Alex', 'Rate', ',', 'said', 'appeal', 'considered', '.']",10,"['An', 'for', 'an', 'was', 'being']",5,0.33,
Sentence 15,20,"['2023', 'legislative', 'session', 'ending', ',', 'ruling', 'coming', 'days', 'would', 'little', 'immediate', 'consequence', '.']",13,"['But', 'with', 'the', 'a', 'in', 'be', 'of']",7,0.35,
Sentence 16,13,"['punishment', 'Zephyr', 'end', '2023', 'session', '.']",6,"['The', 'against', 'was', 'through', 'the', 'of', 'the']",7,0.54,
Sentence 17,30,"['Since', 'Montana', '’', 'Legislature', 'convenes', 'every', 'two', 'years', ',', 'Zephyr', 'would', 're-elected', '2024', 'could', 'return', 'House', 'floor', 'two', 'years', '.']",20,"['s', 'have', 'to', 'be', 'in', 'before', 'she', 'to', 'the', 'in']",10,0.33,
