Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,55,"['``', 'Mrs.', 'Davis', ""''"", 'star', 'Betty', 'Gilpin', 'risk-taking', 'acting', 'style', ':', '``', 'like', 'playing', 'high', 'stakes', ""''"", '|', 'Salon.com', 'Interview', 'Peacock', ""'s"", '``', 'Mrs.', 'Davis', ""''"", 'star', 'Betty', 'Gilpin', ':', '``', 'like', 'playing', 'high', 'stakes', ""''"", 'Help', 'keep', 'Salon', 'independent', ""''"", 'scary', ',', ""''"", 'admits', 'Betty', 'Gilpin', '.']",48,"['on', 'her', 'I', 'with', 'I', 'It', 'is']",7,0.13,
Sentence 2,7,"['``', 'freaks', '.', ""''""]",4,"['It', 'me', 'out']",3,0.43,
Sentence 3,36,"['Emmy-nominated', 'actor', 'author', '(', '``', 'Women', 'Brain', ""''"", ')', 'talking', 'real-world', 'inspiration', 'critically', 'acclaimed', '—', 'strikingly', 'relevant', '—', 'new', 'Peacock', 'series', '``', 'Mrs', '.']",24,"['The', 'and', 'All', 'the', 'in', 'My', 'is', 'about', 'the', 'for', 'her', 'and']",12,0.33,
Sentence 4,3,"['Davis', '.', ""''""]",3,[],0,0.0,
Sentence 5,39,"['``', 'definitely', 'saw', 'OpenAI', 'ChatGPT', 'corner', 'world', 'news', ""n't"", 'understand', ""n't"", 'want', 'engage', ',', ""''"", 'said', '``', 'Salon', 'Talks', '.', ""''""]",21,"['I', 'or', 'as', 'just', 'a', 'of', 'the', 'and', 'that', 'I', 'do', 'and', 'I', 'do', 'to', 'with', 'she', 'on']",18,0.46,
Sentence 6,16,"[',', '``', ""'m"", 'rapidly', 'realizing', 'may', 'choice', '.', ""''""]",9,"['But', 'now', 'I', 'we', 'not', 'have', 'a']",7,0.44,
Sentence 7,39,"[""'s"", 'zealous', 'threat', 'technology', 'fictional', 'counterpart', 'Sister', 'Simone', ',', 'former', '``', 'GLOW', ""''"", 'star', 'admit', '``', 'ca', ""n't"", 'pee', 'without', 'watching', 'YouTube', 'video', '.']",24,"['And', 'while', 'she', 'not', 'as', 'about', 'the', 'of', 'as', 'her', 'the', 'does', 'that', 'I', 'a']",15,0.38,
Sentence 8,9,"[""'m"", 'completely', 'addicted', 'poison', '.', ""''""]",6,"['I', 'to', 'that']",3,0.33,
Sentence 9,50,"['conversation', ',', 'Gilpin', '(', 'appears', 'next', 'Starz', 'series', '``', 'Three', 'Women', ""''"", ')', 'talks', 'never', 'mumblecore', 'heroine', ',', '``', 'GLOW', ""''"", 'changed', 'career', 'trajectory', ',', ""'s"", 'still', 'figuring', 'relationship', 'AI', '.']",31,"['During', 'our', 'who', 'in', 'the', 'about', 'why', 'she', 'was', 'a', 'how', 'her', 'and', 'why', 'she', 'out', 'her', 'own', 'with']",19,0.38,
Sentence 10,18,"['``', 'savior', ',', ""''"", 'asks', ',', '``', 'downfall', '?', ""''""]",10,"['Are', 'you', 'our', 'she', 'or', 'are', 'you', 'our']",8,0.44,
Sentence 11,16,"['Watch', 'Betty', 'Gilpin', '``', 'Salon', 'Talks', ""''"", ',', 'read', 'conversation', '.']",11,"['on', 'here', 'or', 'our', 'below']",5,0.31,
Sentence 12,11,"['conversation', 'lightly', 'edited', 'clarity', 'length', '.']",6,"['This', 'has', 'been', 'for', 'and']",5,0.45,
Sentence 13,7,"['Tell', 'Mrs.', 'Davis', '.']",4,"['me', 'who', 'is']",3,0.43,
Sentence 14,18,"['``', 'Mrs.', 'Davis', ',', ""''"", 'show', ',', 'takes', 'place', 'world', 'unlike', '.']",12,"['the', 'in', 'a', 'not', 'our', 'own']",6,0.33,
Sentence 15,54,"[""'s"", 'present', 'day', ',', ""'s"", 'society', 'Siri', 'Alexa-type', 'algorithm', 'called', 'Mrs.', 'Davis', 'taken', 'purports', 'benevolent', ',', 'everyone', ""'s"", 'ear', 'fancy-looking', 'AirPod', 'thing', 'seemingly', 'answers', 'fixed', 'problems', 'world', '.']",28,"['It', 'but', 'it', 'a', 'where', 'a', 'or', 'has', 'over', 'and', 'to', 'be', 'is', 'in', 'in', 'a', 'and', 'has', 'all', 'the', 'and', 'has', 'all', 'the', 'in', 'the']",26,0.48,
Sentence 16,28,"[',', ""'s"", 'small', 'faction', 'society', ',', ',', 'Simone', 'nun', 'included', ',', 'believe', 'evil', ""n't"", 'trust', '.']",16,"['But', 'there', 'a', 'of', 'myself', 'the', 'that', 'she', 'is', 'and', 'do', 'her']",12,0.43,
Sentence 17,14,"['like', ""'re"", 'casually', ',', '``', 'Simone', 'nun', '.', ""''""]",9,"['I', 'how', 'you', 'just', 'the']",5,0.36,
Sentence 18,12,"['``', '100', '%', 'want', '.']",5,"['This', 'is', 'of', 'what', 'I', 'to', 'do']",7,0.58,
Sentence 19,10,"[""'s"", 'like', 'ultimate', 'acting', 'cat', 'toy', '.', ""''""]",8,"['It', 'the']",2,0.2,
Sentence 20,4,"['Simone', 'nun', '.']",3,['the'],1,0.25,
Sentence 21,17,"['get', 'go', 'lot', 'different', 'versions', 'well', '.']",7,"['You', 'to', 'through', 'a', 'of', 'of', 'yourself', 'in', 'this', 'as']",10,0.59,
Sentence 22,12,"['know', 'character', 'basically', 'conceived', 'mind', '.']",6,"['I', 'this', 'was', 'with', 'you', 'in']",6,0.5,
Sentence 23,9,"[""n't"", 'know', ""'s"", 'true', '.']",5,"['I', 'do', 'that', 'that']",4,0.44,
Sentence 24,13,"[""'ve"", 'read', 'interviews', 'Damon', 'Lindelof', 'said', '!']",7,"['I', 'with', 'where', 'he', 'it', 'was']",6,0.46,
Sentence 25,24,"[',', 'early', ',', 'brought', 'collaboration', 'creating', 'show', 'talking', 'character', '.']",10,"['And', 'then', 'you', 'were', 'very', 'on', 'in', 'on', 'the', 'of', 'this', 'and', 'about', 'the']",14,0.58,
Sentence 26,31,"['wonder', ""'s"", 'kid', 'glove', ',', '``', ""'re"", 'special', 'poodle', ""''"", 'thing', 'tell', 'actors', 'sedate', 'enter', 'job', '.']",17,"['I', 'if', 'that', 'a', 'You', 'a', 'very', 'that', 'they', 'to', 'them', 'when', 'they', 'a']",14,0.45,
Sentence 27,13,"['like', ',', '``', 'conceived', 'mind', '.']",6,"['To', 'be', 'This', 'was', 'with', 'you', 'in']",7,0.54,
Sentence 28,11,"['offered', '10', 'people', '.', ""''""]",5,"['We', 'it', 'to', 'other', 'before', 'you']",6,0.55,
Sentence 29,9,"[""'d"", 'nice', '.']",3,"['That', 'be', 'so', 'if', 'it', 'was']",6,0.67,
Sentence 30,15,"['worked', 'Damon', 'Lindelof', '``', 'Hunt', ""''"", 'prior', '.']",8,"['I', 'had', 'with', 'on', 'The', 'to', 'this']",7,0.47,
Sentence 31,24,"['genius', 'Tara', 'Hernandez', 'wrote', 'insane', 'script', ',', 'read', 'pilot', 'never', 'read', 'anything', 'like', '.']",14,"['He', 'and', 'the', 'this', 'and', 'I', 'the', 'and', 'had', 'it']",10,0.42,
Sentence 32,20,"['true', 'Damon', 'fashion', 'Tara', 'Hernandez', 'fashion', ',', 'really', 'hides', 'vegetables', 'hundred', 'different', 'genres', '.']",14,"['In', 'and', 'it', 'your', 'in', 'a']",6,0.3,
Sentence 33,31,"['feel', 'like', 'oftentimes', ',', ""'re"", 'faced', 'watch', 'end', 'day', ',', ""'s"", 'either', 'joyful', 'mindless', 'important', 'depressing', '.']",17,"['I', 'when', 'we', 'with', 'what', 'to', 'at', 'the', 'of', 'the', 'it', 'and', 'or', 'and']",14,0.45,
Sentence 34,13,"['way', 'writing', 'something', ""'s"", 'important', 'joyful', '.']",7,"['They', 'have', 'a', 'of', 'that', 'and']",6,0.46,
Sentence 35,17,"['never', 'really', 'read', 'anything', 'like', ',', 'obviously', ',', 'dream', '.']",10,"['I', 'had', 'this', 'so', 'it', 'was', 'a']",7,0.41,
Sentence 36,13,"['Watching', 'character', 'made', 'think', 'title', 'book', '.']",7,"['this', 'me', 'about', 'the', 'of', 'your']",6,0.46,
Sentence 37,9,"['``', 'Women', 'Brain', '.', ""''""]",5,"['All', 'the', 'in', 'My']",4,0.44,
Sentence 38,11,"['Simone', 'women', ',', 'different', 'characters', '.']",6,"['is', 'all', 'these', 'all', 'these']",5,0.45,
Sentence 39,27,"[""'m"", 'wondering', ""'s"", 'something', 'drew', 'playing', ',', 'knowing', 'many', 'sides', '?']",11,"['I', 'if', 'that', 'that', 'you', 'on', 'when', 'you', 'were', 'her', 'that', 'she', 'has', 'so', 'to', 'her']",16,0.59,
Sentence 40,9,"['Yeah', ',', 'many', 'different', 'sides', '.']",6,"['she', 'has', 'so']",3,0.33,
Sentence 41,10,"['Also', ',', 'script', 'many', 'different', 'tones', '.']",7,"['the', 'has', 'so']",3,0.3,
Sentence 42,31,"['find', 'like', 'life', ""'re"", 'script', 'character', 'keep', 'one', 'genre', ',', 'one', 'feeling', ',', 'one', 'color', '.']",16,"['I', 'that', 'more', 'than', 'when', 'you', 'doing', 'a', 'or', 'a', 'where', 'you', 'have', 'to', 'it']",15,0.48,
Sentence 43,42,"['also', 'think', 'oftentimes', 'play', 'read', 'characters', 'either', 'sarcastic', ',', 'wry', ',', 'arms', 'folded', ',', 'eyebrow', 'raised', ',', 'answers', ',', 'super', 'vulnerable', ',', 'arms', 'open', ',', 'hopeful', ',', 'gullible', 'types', '.']",30,"['I', 'I', 'or', 'that', 'are', 'have', 'all', 'the', 'before', 'you', 'do', 'or']",12,0.29,
Sentence 44,15,"['Maybe', 'gullible', ',', 'think', 'Simone', 'things', '.']",7,"['not', 'but', 'I', 'that', 'is', 'both', 'of', 'those']",8,0.53,
Sentence 45,36,"['see', 'maybe', 'started', 'former', 'faith', 'really', 'exploded', 'side', ',', 'maybe', 'love', 'aspects', 'world', 'childlike', 'hope', '.']",16,"['We', 'that', 'she', 'as', 'the', 'and', 'then', 'her', 'has', 'her', 'into', 'this', 'other', 'where', 'she', 'does', 'of', 'the', 'and', 'have']",20,0.56,
Sentence 46,8,"['relate', 'mom', '.']",3,"['I', 'to', 'that', 'as', 'a']",5,0.62,
Sentence 47,16,"['feel', 'like', 'eye-rolling', ',', 'middle-finger-in-the-air', 'person', 'baby', '.']",8,"['I', 'I', 'was', 'an', 'until', 'I', 'had', 'a']",8,0.5,
Sentence 48,15,"['suddenly', ""'m"", 'crying', 'butterfly', ',', 'like', ',', '``', 'Ugh', '.', ""''""]",11,"['Then', 'I', 'at', 'a']",4,0.27,
Sentence 49,5,"['Never', 'done', '.']",3,"['that', 'before']",2,0.4,
