Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,40,"['Montana', 'judge', 'rejects', 'effort', 'transgender', 'lawmaker', 'Zooey', 'Zephyr', 'return', 'state', 'House', 'floor', '|', 'Fox', 'News', 'Montana', 'transgender', 'lawmaker', 'Rep.', 'Zooey', 'Zephyr', 'lost', 'court', 'bid', 'return', 'state', 'House', 'censured', 'Republicans', '.']",30,"['by', 'to', 'to', 'a', 'to', 'to', 'the', 'after', 'being', 'by']",10,0.25,
Sentence 2,2,"['Factset', '.']",2,[],0,0.0,
Sentence 3,8,"['Powered', 'implemented', 'FactSet', 'Digital', 'Solutions', '.']",6,"['and', 'by']",2,0.25,
Sentence 4,3,"['Legal', 'Statement', '.']",3,[],0,0.0,
Sentence 5,10,"['Mutual', 'Fund', 'ETF', 'data', 'provided', 'Refinitiv', 'Lipper', '.']",8,"['and', 'by']",2,0.2,
Sentence 6,49,"['Montana', 'Rep.', 'Zooey', 'Zephyr', 'said', 'debating', 'SB99', ',', ""''"", 'vote', 'yes', 'bill', 'yes', 'amendments', ',', 'hope', 'next', 'time', '’', 'invocation', 'bow', 'heads', 'prayer', ',', 'see', 'blood', 'hands', '.']",28,"['when', 'If', 'you', 'on', 'this', 'and', 'on', 'these', 'I', 'the', 'there', 's', 'an', 'when', 'you', 'your', 'in', 'you', 'the', 'on', 'your']",21,0.43,
Sentence 7,46,"['Tuesday', 'court', 'ruling', 'Montana', 'prohibit', 'Rep.', 'Zooey', 'Zephyr', ',', 'transgender', 'lawmaker', ',', 'returning', 'state', 'House', 'floor', 'censured', 'Republicans', 'telling', 'would', 'blood', 'hands', 'opposing', 'gender', 'surgery', 'kids', '.']",27,"['A', 'in', 'will', 'a', 'from', 'to', 'the', 'after', 'she', 'was', 'by', 'for', 'them', 'they', 'have', 'on', 'their', 'for', 'for']",19,0.41,
Sentence 8,27,"['ruling', 'District', 'Court', 'Judge', 'Mike', 'Menahan', 'came', 'lawyers', 'state', 'Montana', 'asked', 'judge', 'reject', 'Zephyr', ""'s"", 'request', 'return', '.']",18,"['The', 'by', 'after', 'for', 'the', 'of', 'a', 'to', 'to']",9,0.33,
Sentence 9,20,"['Menahan', 'said', ""n't"", 'authority', 'overrule', 'legislature', 'return', 'Zephyr', 'House', 'floor', '.']",11,"['he', 'did', 'have', 'the', 'to', 'the', 'and', 'to', 'the']",9,0.45,
Sentence 10,28,"['five-page', 'ruling', 'said', 'move', '``', 'would', 'require', 'court', 'interfere', 'legislative', 'authority', 'manner', 'exceeds', 'court', '’', 'authority', '.', ""''""]",18,"['His', 'the', 'this', 'to', 'with', 'in', 'a', 'that', 'this', 's']",10,0.36,
Sentence 11,48,"['SILENCED', 'TRANSGENDER', 'MONTANA', 'LAWMAKER', 'ZOOEY', 'ZEPHYR', 'VOWS', 'KEEP', 'FIGHTING', 'CONSTITUENTS', 'State', 'Rep.', 'Zooey', 'Zephyr', ',', 'D-Missoula', ',', 'stands', 'protest', 'House', 'floor', 'demonstrators', 'arrested', 'House', 'gallery', 'April', '24', ',', '2023', ',', 'Montana', 'State', 'Capitol', 'Helena', '.']",35,"['TO', 'FOR', 'in', 'on', 'the', 'as', 'are', 'in', 'the', 'on', 'in', 'the', 'in']",13,0.27,
Sentence 12,43,"['(', 'Thom', 'Bridge', '/', 'Independent', 'Record', 'via', 'AP', ')', ""''"", '’', 'really', 'sad', 'day', 'country', 'majority', 'party', 'silence', 'representation', 'minority', 'party', 'whenever', 'take', 'issue', ',', ""''"", 'Zephyr', 'told', 'Associated', 'Press', '.']",31,"['It', 's', 'a', 'for', 'the', 'when', 'the', 'can', 'from', 'the', 'they', 'The']",12,0.28,
Sentence 13,39,"['Zephyr', ',', 'Democrat', 'lawmaker', 'identifies', 'transgender', 'woman', ',', 'made', 'headlines', 'criticizing', 'state', 'colleagues', 'supported', 'bill', 'bans', 'medical', 'care', 'transitioning', 'minors', ',', 'saying', 'would', 'blood', 'hands', '.']",26,"['a', 'who', 'as', 'a', 'after', 'who', 'a', 'that', 'for', 'they', 'have', 'on', 'their']",13,0.33,
