Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,12,"['Let', ""'s"", 'lock', 'arms', 'Zephyr', 'Speaker', 'Regier', 'gavel', '.']",9,"['with', 'has', 'a']",3,0.25,
Sentence 2,14,"['Get', 'opinion', 'pieces', ',', 'letters', 'editorials', 'sent', 'directly', 'inbox', 'weekly', '!']",11,"['and', 'to', 'your']",3,0.21,
Sentence 3,6,"['Speaker', 'Regier', 'gavel', '.']",4,"['has', 'a']",2,0.33,
Sentence 4,23,"['declare', 'members', 'state', ""'s"", 'Legislature', 'order', ',', 'without', 'depriving', 'rights', 'members', '.']",12,"['He', 'can', 'of', 'our', 'out', 'of', 'but', 'them', 'of', 'their', 'as']",11,0.48,
Sentence 5,27,"['Members', 'Mason', ""'s"", 'Manual', 'Legislative', 'Procedure', ',', 'clearly', 'setting', 'way', 'treated', 'ensure', 'ideas', 'become', 'law', 'correct', 'manner', '.']",18,"['have', 'of', 'the', 'each', 'should', 'be', 'to', 'in', 'a']",9,0.33,
Sentence 6,19,"['Masons', 'Manual', 'equally', 'protects', 'every', 'member', ',', 'including', 'Rep.', 'Zooey', 'Zephyr', ',', 'whims', 'supermajority', '.']",15,"['against', 'the', 'of', 'a']",4,0.21,
Sentence 7,13,"['Speaker', 'Regier', 'unbound', 'Masons', 'substituted', 'capriciousness', '.']",7,"['has', 'himself', 'from', 'and', 'his', 'own']",6,0.46,
Sentence 8,8,"['appealing', 'base', '.']",3,"['Now', 'he', 'is', 'to', 'his']",5,0.62,
Sentence 9,18,"['Members', 'Montana', 'Bar', 'must', 'question', 'procedural', 'foundation', 'sessions', 'statutes', '.']",10,"['of', 'the', 'now', 'have', 'to', 'the', 'of', 'this']",8,0.44,
Sentence 10,28,"['Catholics', 'feeling', 'closer', 'God', 'perceived', 'fellows', 'called', 'excommunication', ',', 'time', 'meant', 'doomed', 'Hell', 'protestants', '.']",15,"['to', 'than', 'they', 'their', 'it', 'and', 'in', 'my', 'it', 'being', 'as', 'to', 'as']",13,0.46,
Sentence 11,27,"['taken', 'centuries', 'enlightenment', 'Vatican', 'II', 'surface', 'year', ""'s"", 'publication', 'Siblings', ',', 'Signs', 'Times', '.']",14,"['It', 'has', 'for', 'the', 'of', 'to', 'with', 'this', 'of', 'All', 'the', 'of', 'the']",13,0.48,
Sentence 12,16,"[""n't"", 'let', 'Speaker', 'Regier', 'smug', 'excommunicators', 'capture', 'word', '``', 'Freedom', '.', ""''""]",12,"['Do', 'and', 'his', 'our']",4,0.25,
Sentence 13,12,"['Tuesday', 'heard', 'Montanan', 'say', 'trans', 'persons', 'human', '.']",8,"['I', 'a', 'are', 'not']",4,0.33,
Sentence 14,16,"['Let', ""'s"", 'lock', 'arms', 'Rep.', 'Zephyr', 'keep', 'Montanans', 'pompous', 'darkness', '.']",11,"['with', 'to', 'all', 'out', 'of']",5,0.31,
Sentence 15,23,"['John', 'Brian', 'Driscoll', ',', 'former', 'House', 'Speaker', ',', 'Helena', 'Get', 'opinion', 'pieces', ',', 'letters', 'editorials', 'sent', 'directly', 'inbox', 'weekly', '!']",20,"['and', 'to', 'your']",3,0.13,
Sentence 16,13,"['born', 'St.', 'Pete', '’', 'almost', '19', 'years', 'ago', '.']",9,"['I', 'was', 'at', 's']",4,0.31,
Sentence 17,25,"['’', 'lived', 'Helena', 'entire', 'life', ',', 'leaving', 'first', 'time', 'go', 'school', 'state', '.']",13,"['I', 've', 'in', 'for', 'my', 'only', 'for', 'the', 'to', 'to', 'out', 'of']",12,0.48,
Sentence 18,49,"['Reading', 'story', 'ban', 'TikTok', 'IR', '(', 'May', '18', ')', 'struck', 'one', 'part', 'report', '``', 'lawmakers', ""''"", 'concerned', '…', '’', 'gone', ',', 'visiting', 'kids', 'stationed', 'overseas', '.']",26,"['the', 'about', 'the', 'of', 'in', 'the', 'I', 'was', 'by', 'of', 'the', 'where', 'some', 'are', 'that', 'I', 've', 'been', 'a', 'while', 'my', 'who', 'are']",23,0.47,
Sentence 19,9,"['missed', 'whole', 'Zooey', 'Zephyr', 'brouhaha', '.']",6,"['So', 'I', 'the']",3,0.33,
Sentence 20,14,"['P-EBT', 'far-reaching', 'benefits', 'extend', 'beyond', 'immediate', 'impact', 'individual', 'students', '.']",10,"['has', 'that', 'the', 'on']",4,0.29,
Sentence 21,2,"['Gov', '.']",2,[],0,0.0,
Sentence 22,30,"['Gianforte', ""'s"", 'veto', 'Senate', 'Bill', '442', 'risks', 'losing', 'historic', 'opportunity', 'allocate', 'much-needed', 'funds', 'toward', 'addressing', 'critical', 'issues', 'a…', 'Get', 'up-to-the-minute', 'news', 'sent', 'straight', 'device', '.']",25,"['of', 'a', 'to', 'to', 'your']",5,0.17,
