Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,39,"['Coachella', 'files', 'cease-and-desist', 'hide', 'Frank', 'Ocean', 'footage', 'AEG', ',', 'parent', 'company', 'Coachella', ',', 'sent', 'cease-and-desist', 'letter', 'Brian', 'Kinnes', ',', 'fan', 'edited', 'together', 'hundreds', 'fan', 'videos', 'Frank', 'Ocean', ""'s"", 'set', '.']",30,"['to', 'the', 'of', 'a', 'to', 'a', 'who', 'of', 'of']",9,0.23,
Sentence 2,18,"['Fans', 'watch', 'Calvin', 'Harris', '’', 'set', 'first', 'weekend', 'Coachella', 'April', '15', ',', '2023', '.']",14,"['during', 'the', 'of', 'on']",4,0.22,
Sentence 3,30,"['musical', 'performances', 'recent', 'history', 'controversial', 'Frank', 'Ocean', '’', 'headlining', 'set', 'first', 'weekend', '2023', 'Coachella', 'Valley', 'Music', 'Arts', 'Festival', '.']",19,"['Few', 'in', 'have', 'been', 'as', 'as', 's', 'the', 'of', 'the', 'and']",11,0.37,
Sentence 4,34,"['Ocean', 'supposedly', 'scrapped', 'ambitious', 'ice', 'rink', 'concept', 'morning', 'show', ',', 'shifting', 'stripped-down', 'concert', 'appeared', 'hour', 'late', 'largely', 'obscured', 'audience', '.']",20,"['an', 'the', 'of', 'the', 'to', 'a', 'in', 'which', 'he', 'an', 'and', 'was', 'from', 'the']",14,0.41,
Sentence 5,30,"['Coachella', 'surprised', 'fans', 'pulling', 'Ocean', '’', 'set', 'livestream', 'schedule', ',', 'amateur', 'social', 'media', 'videos', 'documentation', 'exists', 'divisive', 'concert', '.']",19,"['by', 's', 'from', 'the', 'so', 'are', 'the', 'only', 'that', 'of', 'the']",11,0.37,
Sentence 6,37,"['Brian', 'Kinnes', ',', '26-year-old', 'NYC-based', 'film', 'editor', ',', 'followed', 'along', 'live', 'videos', 'popped', ',', 'Ocean', 'still', 'onstage', ',', 'Kinnes', 'began', 'downloading', 'stitch', 'cohesive', '73-minute', 'concert', 'film', '.']",27,"['a', 'as', 'up', 'and', 'while', 'was', 'them', 'to', 'into', 'a']",10,0.27,
Sentence 7,23,"['eight', 'days', 'work', ',', 'uploaded', 'video', 'YouTube', ',', 'removed', 'less', 'two', 'hours', '.']",13,"['After', 'of', 'he', 'the', 'to', 'and', 'it', 'was', 'in', 'than']",10,0.43,
Sentence 8,28,"['’', 'surprising', ',', 'Kinnes', 'made', 'similar', 'video', 'Ocean', '’', '2017', 'FYF', 'Festival', 'performance', 'also', 'taken', '.']",16,"['This', 'wasn', 't', 'too', 'as', 'had', 'a', 'of', 's', 'that', 'was', 'down']",12,0.43,
Sentence 9,14,"['came', 'email', 'AEG', ',', 'Coachella', '’', 'parent', 'company', '.']",9,"['But', 'then', 'an', 'from', 's']",5,0.36,
Sentence 10,38,"['“', 'expect', 'legitimate', 'cease-and-desist', 'head', 'legal', 'AEG', ',', '”', 'Kinnes', 'told', 'SFGATE', 'phone', ',', 'speaking', '150', 'yards', 'Ocean', '’', 'jewelry', 'retail', 'store', 'Manhattan', '.']",24,"['I', 'did', 'not', 'a', 'from', 'the', 'of', 'at', 'over', 'the', 'about', 'from', 's', 'in']",14,0.37,
