Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,28,"['New', 'Frank', 'Ocean', 'ROSALÍA', '``', 'Changes', ""''"", 'Song', 'Surfaces', '|', 'Hypebeast', 'New', 'Frank', 'Ocean', 'ROSALÍA', '``', 'Changes', ""''"", 'Song', 'Surfaces', 'Online', ':', 'Teasing', 'potential', 'collaboration', '.']",26,"['and', 'a']",2,0.07,
Sentence 2,25,"['Since', 'cancellation', 'second-weekend', 'performance', 'Coachella', 'year', ',', 'Frank', 'Ocean', 'received', 'mixed', 'responses', 'fans', 'world', '.']",15,"['the', 'of', 'his', 'at', 'this', 'has', 'from', 'all', 'over', 'the']",10,0.4,
Sentence 3,23,"['appears', 'artist', 'back', 'headlines', 'song', 'featuring', 'ROSALÍA', 'titled', '“', 'Changes', '”', 'surfaced', 'online', '.']",14,"['It', 'that', 'the', 'is', 'now', 'in', 'the', 'after', 'a']",9,0.39,
Sentence 4,34,"['series', 'now-deleted', 'Tweets', ',', 'Frank', 'Ocean', 'fan', 'page', '@', 'blahnded', 'reported', 'director', 'music', 'video', ',', 'Hidji', 'Films', ',', 'one', 'leaked', 'new', 'track', '.']",23,"['In', 'a', 'of', 'a', 'that', 'of', 'the', 'was', 'the', 'who', 'the']",11,0.32,
Sentence 5,22,"['Another', 'account', 'posted', 'snippet', 'song', ',', 'reportedly', 'saw', '$', 'AP', 'Rocky', 'slowthai', 'make', 'cameo', '.']",15,"['a', 'of', 'the', 'which', 'A', 'and', 'a']",7,0.32,
Sentence 6,23,"['course', ',', 'Tweets', 'deleted', 'due', 'copyright', 'infringement', 'yet', 'confirmed', 'respective', 'sources', '.']",12,"['Of', 'these', 'are', 'now', 'to', 'and', 'have', 'not', 'been', 'by', 'the']",11,0.48,
Sentence 7,19,"['recently', ',', 'fan', 'attended', 'Frank', '’', 'recent', 'Coachella', 'set', 'issued', 'cease-and-desist', 'order', '.']",13,"['Just', 'a', 'who', 's', 'was', 'a']",6,0.32,
Sentence 8,35,"['Entertainment', 'presenter', 'Anschutz', 'Entertainment', 'Group', '(', 'AEG', ')', 'also', 'delivered', 'notice', 'Los', 'Angeles-based', 'filmmaker', 'Brian', 'Kinnes', ',', 'shared', 'extensive', 'video', ',', 'compiling', 'clips', 'fan', 'videos', 'found', 'online', '.']",28,"['a', 'to', 'who', 'a', 'more', 'from', 'other']",7,0.2,
Sentence 9,26,"['uncertain', 'Frank', 'Ocean', 'releasing', 'new', 'music', 'tease', 'working', 'new', 'projects', 'on-stage', 'Coachella', '.']",13,"['It', 'is', 'when', 'will', 'be', 'but', 'he', 'did', 'that', 'he', 'was', 'on', 'at']",13,0.5,
Sentence 10,13,"['music', 'news', ',', 'Brent', 'Faiyaz', 'announces', '2023', 'world', 'tour', '.']",10,"['In', 'other', 'his']",3,0.23,
Sentence 11,16,"['Read', 'Full', 'Article', 'music', 'news', ',', 'Brent', 'Faiyaz', 'announces', '2023', 'world', 'tour', '.']",13,"['In', 'other', 'his']",3,0.19,
Sentence 12,22,"['Read', 'Full', 'Article', 'Gain', 'access', 'exclusive', 'interviews', 'industry', 'creatives', ',', 'think', 'pieces', ',', 'trend', 'forecasts', ',', 'guides', '.']",18,"['to', 'with', 'and', 'more']",4,0.18,
Sentence 13,8,"['charge', 'advertisers', 'instead', 'readers', '.']",5,"['We', 'of', 'our']",3,0.38,
Sentence 14,7,"['Support', 'us', 'whitelisting', 'site', '.']",5,"['by', 'our']",2,0.29,
Sentence 15,6,"['Whitelist', 'Us', 'Already', 'whitelisted', 'us', '?']",6,[],0,0.0,
Sentence 16,2,"['Refresh', 'page']",2,[],0,0.0,
