Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,66,"['Frank', 'Ocean', 'Fan', 'Threatened', 'Legal', 'Action', 'Coachella', 'Film', ""''"", 'Hundreds', 'people', 'able', 'download', 'everything', 'got', 'shut', ',', 'people', 're-uploading', 'it.', '”', 'Frank', 'Ocean', 'fan', 'threatened', 'legal', 'action', 'AEG', ',', 'parent', 'company', 'Coachella', ',', 'creating', 'short', 'movie', 'R', '&', 'B', 'artist', '’', 'set', '.']",43,"['With', 'For', 'of', 'were', 'to', 'it', 'before', 'down', 'and', 'those', 'are', 'A', 'is', 'being', 'with', 'from', 'the', 'of', 'after', 'a', 'about', 'the', 's']",23,0.35,
Sentence 2,34,"['Variety', 'exclusively', 'reported', 'Brandon', 'Kinnes', 'combined', '150', 'videos', 'uploaded', 'concertgoers', 'YouTube', ',', 'TikTok', ',', 'Twitter', 'create', 'unofficial', 'film', 'runtime', 'one', 'hour', '20', 'minutes', '.']",24,"['by', 'to', 'and', 'to', 'an', 'with', 'a', 'of', 'about', 'and']",10,0.29,
Sentence 3,107,"['Kinnes', '’', 'project', 'shared', 'online', 'April', 'AEG', 'issued', 'cease', 'desist', 'order', 'day', ',', 'requesting', '“', 'remove', 'destroy', 'audio', 'video', 'content', '[', '…', ']', 'musical', 'performances', 'Festival.', '”', 'VIBE.com', 'Coachella', 'Sues', 'Afrochella', 'Festival', 'Trademark', 'Infringement', 'Joe', 'Budden', 'Says', 'Frank', 'Ocean', '``', 'Always', 'Wear', 'Scammer', 'Tag', ""''"", 'Frank', 'Ocean', 'Drops', 'Coachella', 'Headliner', 'Following', 'Ankle', 'Injury', '“', 'Anything', 'short', 'full', 'compliance', 'demand', 'lead', 'initiation', 'immediate', 'formal', 'legal', 'action.', '”', 'AEG', 'also', 'owns', 'Coachella', 'promoter', 'Goldenvoice', ',', '”', 'reads', 'letter', '.']",77,"['was', 'in', 'and', 'a', 'and', 'on', 'the', 'same', 'he', 'and', 'all', 'and', 'of', 'from', 'the', 'More', 'from', 'For', 'Will', 'The', 'Out', 'As', 'of', 'with', 'this', 'will', 'to', 'the', 'of', 'the']",30,0.28,
Sentence 4,23,"['Related', 'Story', 'professional', 'editor', 'says', 'inspired', 'learning', 'Channel', 'Orange', 'performer', '’', 'set', 'would', 'live-streamed', '.']",15,"['The', 'he', 'was', 'after', 'the', 's', 'not', 'be']",8,0.35,
Sentence 5,18,"['also', 'managed', 'reroute', 'hopeful', 'viewers', 'external', 'links', 'original', 'film', 'taken', '.']",11,"['He', 'to', 'to', 'after', 'his', 'was', 'down']",7,0.39,
Sentence 6,35,"['“', '’', 'concerned', 'legal', 'repercussions', 'plan', 'making', 'single', 'penny', ',', '”', 'Kinnes', 'explained', 'Variety', 'receiving', 'cease', 'desist', '.']",18,"['I', 'm', 'not', 'with', 'any', 'because', 'I', 'do', 'not', 'on', 'a', 'from', 'it', 'to', 'before', 'the', 'and']",17,0.49,
Sentence 7,24,"['“', 'continue', 'upload', 'places', '[', 'Ocean', '’', ']', 'legal', 'team', 'able', 'find', '.']",13,"['I', 'will', 'to', 'it', 'in', 'that', 's', 'will', 'not', 'be', 'to']",11,0.46,
Sentence 8,45,"['’', 'know', 'tell', 'reporter…', 'deserves', 'exist', 'online.', '”', 'receiving', 'legal', 'threat', ',', 'Kinnes', ',', 'however', ',', 'delete', 'certain', 'tweets', 'profile', 'remove', 'video', 'channels', '.']",24,"['I', 'don', 't', 'if', 'I', 'should', 'that', 'to', 'a', 'but', 'it', 'to', 'After', 'the', 'did', 'from', 'his', 'and', 'the', 'from', 'his']",21,0.47,
Sentence 9,18,"['26-year-old', 'still', 'believes', 'late', 'expect', 'creative', 'film', 'permanently', 'erased', '.']",10,"['The', 'it', 'is', 'too', 'to', 'the', 'to', 'be']",8,0.44,
Sentence 10,14,"['“', 'video', 'going', 'online', 'forever', ',', '”', 'said', '.']",9,"['The', 'is', 'to', 'be', 'he']",5,0.36,
Sentence 11,48,"['“', 'Hundreds', 'people', 'able', 'download', 'everything', 'got', 'shut', ',', 'people', 're-uploading', 'it.', '”', 'Coachella', '’', 'first', 'weekend', ',', 'loyal', 'listeners', '35-year-old', 'musician', 'flocked', 'desert', 'see', 'make', 'rare', 'on-stage', 'appearance', '.']",30,"['of', 'were', 'to', 'it', 'before', 'down', 'and', 'those', 'are', 'During', 's', 'of', 'the', 'to', 'the', 'to', 'him', 'a']",18,0.38,
Sentence 12,25,"['Ultimately', ',', 'set', 'received', 'mixed', 'reviews', ',', '“', 'White', 'Ferarri', '”', 'singer', 'pulled', 'weekend', 'two', ',', 'citing', 'injury', '.']",19,"['the', 'and', 'the', 'out', 'of', 'an']",6,0.24,
Sentence 13,33,"['“', 'think', 'Frank', 'saw', 'video', ',', 'would', 'certain', 'level', 'appreciation', 'way', 'captured', 'performance', ',', '”', 'Kinnes', 'shared', 'Variety', '.']",19,"['I', 'do', 'that', 'if', 'the', 'he', 'have', 'a', 'of', 'for', 'the', 'I', 'the', 'with']",14,0.42,
Sentence 14,22,"['“', '’', 'think', 'would', 'issues', 'it.', '”', 'Click', 'read', 'full', 'article', '.']",12,"['I', 'don', 't', 'he', 'have', 'any', 'with', 'here', 'to', 'the']",10,0.45,
