Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,25,"['Frank', 'Ocean', '’', 'Coachella', 'Concert', '&', 'Means', 'Career', '–', 'Billboard', 'Frank', 'Ocean', ""'s"", 'Coachella', 'concert', 'received', 'critical', 'reception', '.']",19,"['s', 'What', 'It', 'for', 'His', 'a']",6,0.24,
Sentence 2,8,"['mean', 'career', '?']",3,"['What', 'does', 'it', 'for', 'his']",5,0.62,
Sentence 3,35,"['prominent', 'agent', 'calls', 'Coachella', 'set', '``', 'one', 'public', 'blemish', 'otherwise', 'brilliant', 'career', ',', ""''"", 'source', 'says', 'Ocean', ""n't"", 'interested', 'touring', 'playing', 'another', 'festival', 'anytime', 'soon', '.']",26,"['A', 'his', 'in', 'an', 'while', 'a', 'is', 'in', 'or']",9,0.26,
Sentence 4,54,"['Dave', 'Brooks', 'April', '16', 'Coachella', ',', 'finally', ',', 'years', 'postponements', ',', 'hour', 'late', 'night', ',', 'Frank', 'Ocean', 'performed', 'first', 'concert', 'six', 'years', ',', 'closing', 'country', '’', 'watched', 'music', 'festival', 'set', 'left', 'many', 'fans', 'confused', 'even', 'disgruntled', '.']",37,"['By', 'On', 'at', 'after', 'of', 'and', 'an', 'that', 'his', 'in', 'the', 's', 'most', 'with', 'a', 'that', 'and']",17,0.31,
Sentence 5,49,"['Transforming', 'event', '’', 'main', 'stage', 'giant', 'screen', 'spanning', 'nearly', 'full', 'width', ',', 'Ocean', 'band', 'gave', 'impression', 'bringing', 'fans', 'recording', 'studio', '—', 'kind', 'presumably', 'working', 'much-anticipated', 'third', 'studio', 'album', '.']",29,"['the', 's', 'with', 'a', 'the', 'and', 'his', 'the', 'they', 'were', 'into', 'the', 'the', 'in', 'which', 'he', 'has', 'been', 'on', 'his']",20,0.41,
Sentence 6,31,"['Tinkering', 'remixed', 'versions', 'beloved', 'songs', ',', 'creative', 'camera', 'shots', 'often', 'directed', 'fans', '’', 'attention', 'away', 'reclusive', 'singer', 'stage', 'towards', 'image', 'screen', '.']",22,"['with', 'of', 'his', 'from', 'the', 'on', 'and', 'his', 'on']",9,0.29,
Sentence 7,36,"['kind', 'fan-friendly', 'hit', 'parade', 'surely', 'hoping', ',', 'Ocean', 'abruptly', 'ended', 'early', '(', 'albeit', '20', 'minutes', 'past', 'curfew', ')', ',', 'negative', 'reviews', 'started', 'flowing', '.']",24,"['It', 'was', 'not', 'the', 'of', 'some', 'had', 'been', 'for', 'and', 'after', 'the']",12,0.33,
Sentence 8,36,"['Days', 'later', ',', 'canceled', 'performance', 'festival', '’', 'second', 'weekend', 'due', 'ankle', 'injury', 'retreated', 'private', 'life', '’', 'built', 'away', 'limelight', '.']",20,"['he', 'his', 'for', 'the', 's', 'to', 'an', 'and', 'into', 'the', 'he', 's', 'for', 'himself', 'from', 'the']",16,0.44,
Sentence 9,20,"['’', 'come', 'back', '—', 'either', 'onstage', 'new', 'music', '—', 'anyone', '’', 'guess', '.']",13,"['When', 'he', 'll', 'or', 'with', 'is', 's']",7,0.35,
Sentence 10,47,"['Since', '2011', 'release', 'debut', 'mixtape', ',', 'Nostalgia', 'Ultra', ',', 'Ocean', 'spent', 'time', 'industry', ',', 'releasing', 'two', 'albums', 'performing', 'live', '25', '30', 'times', 'last', 'decade', ',', 'almost', 'exclusively', 'festivals', '.']",29,"['the', 'of', 'his', 'has', 'more', 'out', 'of', 'the', 'than', 'in', 'it', 'only', 'and', 'just', 'to', 'in', 'the', 'at']",18,0.38,
Sentence 11,35,"['far', ',', 'worked', 'pretty', 'well', ',', 'creating', 'pent-up', 'demand', 'led', 'booking', 'atop', 'last', 'month', '’', 'Coachella', ',', 'world', '’', 'largest', 'multigenre', 'festival', '.']",23,"['So', 'that', 'has', 'out', 'for', 'him', 'that', 'to', 'his', 's', 'the', 's']",12,0.34,
