Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,42,"['Muslim', 'mayor', 'says', 'blocked', 'White', 'House', 'Eid', 'al-Fitr', 'event', 'Prospect', 'Park', ',', 'New', 'Jersey', ',', 'Mayor', 'Mohamed', 'Khairullah', 'says', 'blocked', 'attending', 'White', 'House', 'event', 'mark', 'end', 'Ramadan', 'Secret', 'Service', '.']",30,"['he', 'was', 'from', 'he', 'was', 'from', 'a', 'to', 'the', 'of', 'by', 'the']",12,0.29,
Sentence 2,31,"['Longtime', 'Prospect', 'Park', ',', 'New', 'Jersey', ',', 'Mayor', 'Mohamed', 'Khairullah', 'says', 'blocked', 'attending', 'White', 'House', 'celebration', 'mark', 'end', 'Ramadan', 'Secret', 'Service', '.']",22,"['he', 'was', 'from', 'a', 'to', 'the', 'of', 'by', 'the']",9,0.29,
Sentence 3,24,"['Khairullah', ',', 'Muslim', 'born', 'Syria', ',', 'Democratic', 'mayor', 'borough', '6,300', '17', 'years', '.']",13,"['a', 'who', 'was', 'in', 'has', 'been', 'the', 'of', 'the', 'of', 'for']",11,0.46,
Sentence 4,37,"['White', 'House', 'invited', 'Eid', 'al-Fitr', 'celebration', 'Monday', ',', 'way', 'called', 'told', 'cleared', 'Secret', 'Service', ',', 'said', '.']",17,"['The', 'him', 'to', 'its', 'and', 'he', 'was', 'on', 'his', 'when', 'he', 'was', 'and', 'that', 'he', 'was', 'not', 'by', 'the', 'he']",20,0.54,
Sentence 5,15,"['“', '’', 'know', 'reason', ',', '”', 'Khairullah', 'said', 'Monday', 'night', '.']",11,"['I', 'don', 't', 'the']",4,0.27,
Sentence 6,39,"['“', '’', 'baffled.', '”', 'Khairullah', 'said', 'believes', 'name', 'mistakenly', 'FBI', 'list', 'caused', 'travel', 'problems', 'past', 'thought', 'resolved', '.']",18,"['I', 'm', 'he', 'that', 'his', 'is', 'on', 'an', 'and', 'that', 'it', 'has', 'him', 'in', 'the', 'but', 'that', 'he', 'it', 'had', 'been']",21,0.54,
Sentence 7,19,"['agencies', 'never', 'given', 'many', 'details', ',', 'offered', 'way', 'remedy', '.']",10,"['But', 'have', 'him', 'and', 'they', 'have', 'no', 'to', 'it']",9,0.47,
Sentence 8,22,"['Secret', 'Service', 'confirmed', 'Monday', 'Khairullah', 'allowed', 'entry', 'White', 'House', 'complex', 'would', 'say', '.']",13,"['The', 'that', 'was', 'not', 'to', 'the', 'but', 'not', 'why']",9,0.41,
Sentence 9,40,"['``', 'regret', 'inconvenience', 'may', 'caused', ',', 'mayor', 'permitted', 'enter', 'White', 'House', 'complex', 'evening', '’', 'event', ',', ""''"", 'Chief', 'Communications', 'Anthony', 'Guglielmi', 'said', 'statement', '.']",24,"['While', 'we', 'any', 'this', 'have', 'the', 'was', 'not', 'to', 'the', 'for', 'this', 's', 'of', 'in', 'a']",16,0.4,
Sentence 10,28,"['``', 'Unfortunately', ',', 'provide', 'additional', 'commentary', 'specifics', 'surrounding', 'protective', 'means', 'methods', 'used', 'White', 'House', ',', ""''"", 'Guglielmi', 'said', '.']",19,"['we', 'can', 'not', 'on', 'the', 'the', 'and', 'at', 'the']",9,0.32,
