Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,46,"['Senate', 'Republicans', ',', 'including', 'McConnell', ',', 'say', 'debt', 'limit', 'fight', 'McCarthy', 'Biden', 'Multiple', 'GOP', 'senators', 'indicated', 'chamber', 'secondary', 'debt', 'limit', 'talks', ',', 'House', 'GOP', 'majority', 'one', 'pressing', 'spending', 'cuts', 'deal', 'Biden', '.']",32,"['is', 'between', 'and', 'their', 'is', 'in', 'and', 'the', 'is', 'the', 'for', 'in', 'a', 'with']",14,0.3,
Sentence 2,36,"['Senate', 'Republicans', 'said', 'Tuesday', '’', 'taking', 'cues', 'debt', 'limit', 'House', 'Representatives', 'ahead', 'next', 'week', '’', 'meeting', 'President', 'Biden', 'four', 'top', 'congressional', 'leaders', '.']",23,"['they', 're', 'their', 'on', 'the', 'from', 'the', 'of', 'of', 's', 'between', 'and', 'the']",13,0.36,
Sentence 3,33,"['Biden', 'Monday', 'invited', 'Senate', 'Majority', 'Leader', 'Chuck', 'Schumer', ',', 'Senate', 'GOP', 'Leader', 'Mitch', 'McConnell', ',', 'House', 'Speaker', 'Kevin', 'McCarthy', 'House', 'Democratic', 'Leader', 'Hakeem', 'Jeffries', 'White', 'House', 'May', '9', '.']",29,"['on', 'and', 'to', 'the']",4,0.12,
Sentence 4,28,"['came', 'Treasury', 'Secretary', 'Janet', 'Yellen', 'warned', 'government', 'need', 'borrow', 'money', 'June', '1', 'fall', 'short', 'obligations', '.']",16,"['It', 'just', 'after', 'that', 'the', 'will', 'to', 'again', 'by', 'or', 'of', 'its']",12,0.43,
Sentence 5,24,"['Ahead', 'sit-down', ',', 'Senate', 'Republicans', 'made', 'clear', '’', 'McCarthy', 'Biden', 'hash', 'deal', '.']",13,"['of', 'that', 'have', 'it', 's', 'up', 'to', 'and', 'to', 'out', 'a']",11,0.46,
Sentence 6,36,"['``', 'led', 'believe', 'conversation', 'speaker', 'president', 'United', 'States', ',', ""''"", 'Sen.', 'Todd', 'Young', ',', 'R-Ind.', ',', 'told', 'reporters', 'Tuesday', '.']",20,"['We', 'have', 'all', 'been', 'to', 'that', 'this', 'will', 'be', 'a', 'between', 'the', 'and', 'the', 'of', 'the']",16,0.44,
Sentence 7,39,"['explained', 'would', 'impractical', 'McConnell', 'lead', 'negotiations', 'McCarthy', '’', 'chamber', ',', 'presides', 'thin', 'majority', ',', 'broader', 'coalition', 'Republicans', 'bring', 'table', '.']",20,"['He', 'that', 'it', 'be', 'for', 'to', 'on', 'when', 's', 'where', 'he', 'over', 'a', 'has', 'a', 'of', 'to', 'to', 'the']",19,0.49,
Sentence 8,36,"['HOUSE', 'PASSES', 'MCCARTHY', ""'S"", 'DEBT', 'CEILING', 'BILL', 'TWO', 'VOTES', ';', 'FOUR', 'REPUBLICANS', 'VOTE', ""''"", 'think', '’', 'appropriate', 'place', 'conversation', 'occur', 'right', ',', ""''"", 'Young', 'said', '.']",26,"['BY', 'AGAINST', 'I', 'that', 's', 'the', 'for', 'the', 'to', 'now']",10,0.28,
Sentence 9,41,"['``', 'Otherwise', ',', '’', 'got', 'Senate', 'Minority', 'Leader', 'trying', 'thread', 'needle', 'figure', 'get', 'support', 'Main', 'Street', 'Republicans', 'Freedom', 'Caucus', 'Republicans', ',', ""'s"", 'another', 'chamber', '.']",25,"['you', 've', 'the', 'to', 'a', 'in', 'and', 'out', 'how', 'to', 'the', 'of', 'and', 'and', 'he', 'in']",16,0.39,
Sentence 10,16,"[""'s"", 'hard', 'see', ""'s"", 'recipe', 'success', '.', ""''""]",8,"['It', 'for', 'me', 'to', 'how', 'that', 'a', 'for']",8,0.5,
