Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,49,"['Tucker', 'Carlson', 'Leaked', 'Text', ':', '‘', '’', 'White', 'People', 'Fight', '’', '–', 'Rolling', 'Stone', 'Tucker', 'Carlson', 'wrote', '``', ""'s"", 'white', 'people', 'fight', ""''"", 'text', 'allegedly', 'led', 'ouster', 'Fox', ',', 'according', 'New', 'York', 'Times', '.']",34,"['It', 's', 'Not', 'How', 'It', 'not', 'how', 'in', 'a', 'that', 'to', 'his', 'from', 'to', 'The']",15,0.31,
Sentence 2,90,"['Charisma', 'Madarang', 'text', 'message', 'obtained', 'New', 'York', 'Times', 'shows', 'Tucker', 'Carlson', 'describing', 'video', 'depicting', '“', 'group', 'Trump', 'guys', '”', 'beating', '“', 'Antifa', 'kid', ',', '”', 'stating', '“', '’', 'white', 'men', 'fight.', '”', 'message', ',', 'discovered', 'eve', 'jury', 'trial', 'Dominion', 'Voting', 'Systems', '’', 'defamation', 'lawsuit', 'Fox', 'News', ',', 'reportedly', 'led', 'abrupt', 'firing', 'Carlson', '—', 'hawked', 'racist', 'rhetoric', 'show', 'Tucker', 'Carlson', 'Tonight', 'years', '.']",62,"['By', 'A', 'by', 'The', 'a', 'a', 'of', 'an', 'and', 'that', 'It', 's', 'not', 'how', 'The', 'on', 'the', 'of', 'the', 'for', 'against', 'to', 'the', 'of', 'who', 'on', 'his', 'for']",28,0.31,
Sentence 3,30,"['former', 'host', 'reportedly', 'sent', 'message', 'Jan.', '7', ',', '2021', 'one', 'producers', 'Trump', 'supporters', 'attacked', 'Capitol', 'Jan.', '6', ',', '2021', '.']",20,"['The', 'the', 'on', 'to', 'of', 'his', 'after', 'the', 'on', 'on']",10,0.33,
Sentence 4,42,"['message', ',', 'Carlson', 'described', '“', 'couple', 'weeks', 'ago', '”', 'Trump', 'supporters', 'beat', '“', 'Antifa', 'kid.', '”', 'Carlson', 'expressed', 'desire', 'see', 'men', 'kill', 'person', 'described', 'Antifa', 'kid', '.']",27,"['In', 'the', 'how', 'a', 'of', 'an', 'then', 'a', 'to', 'the', 'the', 'he', 'had', 'as', 'the']",15,0.36,
Sentence 5,14,"['“', 'Jumping', 'guy', 'like', 'dishonorable', 'obviously', ',', '”', 'wrote', '.']",10,"['a', 'that', 'is', 'he']",4,0.29,
Sentence 6,10,"['“', '’', 'white', 'men', 'fight', '.']",6,"['It', 's', 'not', 'how']",4,0.4,
Sentence 7,24,"['Yet', 'suddenly', 'found', 'rooting', 'mob', 'man', ',', 'hoping', '’', 'hit', 'harder', ',', 'kill', '.']",14,"['I', 'myself', 'for', 'the', 'against', 'the', 'they', 'd', 'him', 'him']",10,0.42,
Sentence 8,9,"['really', 'wanted', 'hurt', 'kid', '.']",5,"['I', 'them', 'to', 'the']",4,0.44,
Sentence 9,24,"['could', 'taste', 'it.', '”', 'NYT', 'obtained', 'one', 'Tucker', 'Carlson', ""'s"", 'messages', 'redacted', 'Dominion', 'court', 'filings', '.']",16,"['I', 'The', 'has', 'of', 'that', 'was', 'from', 'the']",8,0.33,
Sentence 10,24,"['``', 'found', 'rooting', 'mob', 'man', ',', 'hoping', '’', 'hit', 'harder', ',', 'kill', '.', ""''""]",14,"['I', 'myself', 'for', 'the', 'against', 'the', 'they', 'd', 'him', 'him']",10,0.42,
