Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,35,"['Tsitsipas', 'Shrugs', 'Service', 'Slips', 'Reach', 'Madrid', 'Quarter-finals', '|', 'ATP', 'Tour', '|', 'Tennis', 'Stefanos', 'Tsitsipas', 'overcame', 'sloppy', 'night', 'serve', 'beat', 'Bernabe', 'Zapata', 'Miralles', 'reach', 'Mutua', 'Madrid', 'Open', 'quarter-finals', '.']",28,"['Off', 'To', 'a', 'on', 'to', 'to', 'the']",7,0.2,
Sentence 2,32,"['Stefanos', 'Tsitsipas', 'traded', 'great', 'night', 'return', 'modest', 'night', 'serve', 'advance', 'quarter-finals', 'Mutua', 'Madrid', 'Open', 'early', 'hours', 'Wednesday', 'morning', '.']",19,"['a', 'on', 'with', 'a', 'on', 'to', 'to', 'the', 'of', 'the', 'in', 'the', 'of']",13,0.41,
Sentence 3,10,"['Greek', 'conceded', 'three', 'service', 'breaks', 'World', '.']",7,"['The', 'to', 'No']",3,0.3,
Sentence 4,31,"['42', 'Bernabe', 'Zapata', 'Miralles', 'remained', 'charge', 'throughout', 'thanks', 'seven', 'service', 'breaks', '6-3', ',', '6-1', 'victory', 'match', 'ended', '12.35am', '.']",19,"['but', 'in', 'to', 'of', 'his', 'own', 'in', 'a', 'in', 'a', 'that', 'at']",12,0.39,
Sentence 5,36,"['``', 'definitely', 'tricky', ';', 'came', 'pretty', 'strong', 'service', 'games', '...', ""'s"", 'never', 'easy', 'playing', 'Spaniards', 'know', 'surface', 'well', ',', '”', 'Tsitsipas', 'said', '.']",23,"['It', 'was', 'he', 'out', 'in', 'some', 'of', 'my', 'it', 'against', 'who', 'the', 'very']",13,0.36,
Sentence 6,23,"['``', 'seemed', 'kind', 'chaotic', 'beginning', 'gave', 'time', 'think', 'construct', 'points', '.', ""''""]",12,"['It', 'of', 'in', 'the', 'but', 'then', 'I', 'myself', 'to', 'and', 'my']",11,0.48,
Sentence 7,24,"['two-time', 'Monte-Carlo', 'champion', 'dominated', 'opponent', '’', 'serve', ',', 'restricting', 'Zapata', 'Miralles', 'first-serve', 'winning', 'percentage', '38', 'per', 'cent', '.']",18,"['The', 'his', 's', 'to', 'a', 'of']",6,0.25,
Sentence 8,27,"['Tsitsipas', ',', 'whose', 'victory', 'highlighted', 'series', 'down-the-line', 'backhand', 'winners', ',', 'reached', 'quarter-finals', 'better', 'past', '10', 'clay-court', 'events', '.']",18,"['was', 'by', 'a', 'of', 'has', 'the', 'or', 'of', 'his']",9,0.33,
Sentence 9,10,"['next', 'meet', 'Germany', 'lucky', 'loser', 'Jan-Lennard', 'Struff', '.']",8,"['He', 'will']",2,0.2,
Sentence 10,25,"['Describing', 'satisfaction', 'nailing', 'down-the-line', 'backhand', 'winners', ',', 'Tsitsipas', 'said', ',', '``', ""'s"", 'like', 'hitting', 'home', 'run', 'baseball', 'bat', '.']",19,"['the', 'of', 'It', 'a', 'with', 'a']",6,0.24,
Sentence 11,15,"[""'m"", 'happy', 'able', '[', 'direct', ']', 'ball', '.']",8,"['I', 'with', 'how', 'I', 'was', 'to', 'the']",7,0.47,
