Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,32,"['Stefanos', 'Tsitsipas', 'Stays', 'Course', 'Another', 'Clay', 'Title', 'Analyzing', 'Stefanos', 'Tsitsipas', ""'"", 'chances', 'winning', 'title', 'Madrid', 'Open', 'third-round', 'victory', 'Sebastian', 'Baez', 'Monday', '.']",22,"['on', 'for', 'of', 'the', 'at', 'the', 'after', 'his', 'over', 'on']",10,0.31,
Sentence 2,44,"['Tennis', 'news', ',', 'analysis', ',', 'tournament', 'coverage', ',', 'rumors', 'Fourth', 'seed', 'Stefanos', 'Tsitsipas', 'Greece', 'overcame', 'gritty', 'challenge', '25th', 'seed', 'Sebastian', 'Baez', 'Argentina', 'win', 'match', '7-5', '3-6', '6-3', 'third', 'round', 'Madrid', 'Open', 'Monday', '.']",33,"['and', 'of', 'a', 'from', 'of', 'to', 'the', 'in', 'the', 'of', 'on']",11,0.25,
Sentence 3,28,"['Bernabe', 'Zapata', 'Miralles', 'Spain', 'waits', 'fourth', 'round', ',', '24-year-old', 'Greek', 'remain', 'favorite', 'make', 'quarterfinal', '.']",15,"['of', 'for', 'him', 'in', 'the', 'but', 'the', 'will', 'the', 'to', 'it', 'to', 'the']",13,0.46,
Sentence 4,43,"['Greek', '’', 'nine', 'career', 'ATP', 'titles', ',', 'three', 'come', 'clay', ',', 'including', 'couple', 'Masters', '1000', 'titles', 'Monte', 'Carlo', 'fancy', 'chances', 'winning', 'another', 'title', 'surface', 'next', 'Sunday', '.']",27,"['Out', 'of', 'the', 's', 'have', 'on', 'a', 'of', 'in', 'and', 'he', 'should', 'his', 'of', 'on', 'this']",16,0.37,
Sentence 5,30,"['However', ',', 'happen', ',', 'play', 'close', 'best', ',', 'potential', 'opponents', 'like', 'Carlos', 'Alcaraz', 'easy', 'overcome', '.']",16,"['for', 'that', 'to', 'he', 'will', 'have', 'to', 'to', 'his', 'as', 'will', 'not', 'be', 'to']",14,0.47,
Sentence 6,29,"['Stefanos', 'Tsitsipas', 'comfortable', 'hitting', 'one-handed', 'backhand', 'Baez', 'tried', 'exploit', 'pinning', 'backhand', 'corner', 'hitting', 'winners', 'down-the-line', '.']",16,"['is', 'not', 'very', 'his', 'and', 'to', 'that', 'by', 'him', 'to', 'his', 'and', 'then']",13,0.45,
Sentence 7,23,"['Tsitsipas', '’', 'upcoming', 'opponents', 'try', 'follow', 'pattern', 'well', 'target', 'backhand', 'inside-out', 'forehands', '.']",13,"['will', 'to', 'the', 'same', 'as', 'and', 'will', 'his', 'with', 'their']",10,0.43,
Sentence 8,37,"['However', ',', 'Greek', 'one', 'better', 'forehands', 'business', 'try', 'use', 'one-two', 'combination', 'powerful', 'serve', 'forehand', 'win', 'points', ',', 'almost', 'always', '.']",20,"['the', 'has', 'of', 'the', 'in', 'the', 'and', 'will', 'to', 'the', 'of', 'his', 'and', 'to', 'as', 'he', 'does']",17,0.46,
Sentence 9,25,"['Embed', 'Getty', 'Images', 'third', 'set', 'Baez', ',', 'Tsitsipas', 'rushed', 'net', 'frequently', 'avoid', 'hitting', 'backhand', 'baseline', '.']",16,"['from', 'In', 'the', 'against', 'the', 'to', 'his', 'from', 'the']",9,0.36,
Sentence 10,16,"['tactic', 'paid', 'well', ',', 'Greek', 'managed', 'win', 'decider', 'convincingly', '.']",10,"['That', 'off', 'as', 'the', 'to', 'the']",6,0.38,
Sentence 11,11,"['might', 'follow', 'approach', 'Zapata', 'Miralles', ',', '.']",7,"['He', 'that', 'against', 'too']",4,0.36,
Sentence 12,15,"['However', ',', 'Spaniard', 'possesses', 'power', 'strokes', 'diminutive', 'Baez', '.']",9,"['the', 'more', 'in', 'his', 'than', 'the']",6,0.4,
Sentence 13,21,"['Hence', ',', 'going', 'forward', 'frequently', 'also', 'incur', 'risk', 'receiving', 'end', 'passing', 'strokes', '.']",13,"['will', 'the', 'of', 'being', 'on', 'the', 'of', 'his']",8,0.38,
Sentence 14,25,"['Tsitsipas', 'strike', 'perfect', 'balance', 'regard', 'remains', 'seen', 'well', 'manages', '.']",10,"['will', 'have', 'to', 'the', 'in', 'this', 'and', 'it', 'to', 'be', 'how', 'he', 'to', 'do', 'that']",15,0.6,
Sentence 15,26,"['Main', 'Photo', 'Credit', ':', 'Susan', 'Mullane-USA', 'TODAY', 'Sports', 'writer', 'loves', 'watch', 'football', 'tennis', 'also', 'write', 'articles', '.']",17,"['He', 'is', 'a', 'who', 'to', 'and', 'and', 'on', 'them']",9,0.35,
Sentence 16,14,"['writing', 'articles', 'various', 'websites', 'last', 'six', 'years', '.']",8,"['He', 'has', 'been', 'on', 'for', 'the']",6,0.43,
Sentence 17,14,"['lives', 'India', 'sports', 'biggest', 'love', 'life', '.']",7,"['He', 'in', 'and', 'is', 'the', 'of', 'his']",7,0.5,
Sentence 18,7,"['Last', 'Word', 'Sports', 'INC', ',', '2011']",6,['On'],1,0.14,
