Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,50,"['2023', 'Madrid', 'Open', 'Day', '10', 'Schedule', 'including', 'Swiatek', ',', 'Alcaraz-Khachanov', 'Pegula', '|', 'Tennisuptodate.com', '10th', 'day', 'Madrid', 'Open', 'brings', 'us', 'plenty', 'interesting', 'matches', 'best', 'players', 'world', 'Iga', 'Swiatek', ',', 'Carlos', 'Alcaraz', ',', 'Karen', 'Khachanov', ',', 'Je', '...']",36,"['and', 'The', 'of', 'the', 'of', 'with', 'some', 'of', 'the', 'in', 'the', 'such', 'as', 'and']",14,0.28,
Sentence 2,40,"['10th', 'day', 'Madrid', 'Open', 'brings', 'us', 'plenty', 'interesting', 'matches', 'best', 'players', 'world', 'Iga', 'Swiatek', ',', 'Carlos', 'Alcaraz', ',', 'Karen', 'Khachanov', ',', 'Jessica', 'Pegula', 'courts', '.']",25,"['The', 'of', 'the', 'of', 'with', 'some', 'of', 'the', 'in', 'the', 'such', 'as', 'and', 'on', 'the']",15,0.38,
Sentence 3,22,"[""'re"", 'final', 'stages', 'Madrid', 'Open', 'today', ""'s"", 'programme', 'brings', 'us', 'lot', 'interesting', 'matches', '.']",14,"['We', 'in', 'the', 'of', 'the', 'and', 'a', 'of']",8,0.36,
Sentence 4,28,"['Play', 'begin', '13:00', 'CET', 'opposed', '11', 'local', 'time', ""'ll"", 'see', 'Jessica', 'Pegula', 'take', 'Veronika', 'Kudermetova', 'first', 'match', '.']",18,"['will', 'now', 'at', 'as', 'to', 'and', 'we', 'on', 'in', 'the']",10,0.36,
Sentence 5,10,"['second', 'one', 'Alcaraz', 'Khachanov', '.']",5,"['The', 'will', 'be', 'between', 'and']",5,0.5,
Sentence 6,24,"[',', ""'s"", 'time', 'Swiatek', 'Martic', 'final', 'match', 'day', 'Borna', 'Coric', 'Daniel', 'Altmaier', '.']",13,"['After', 'that', 'it', 'for', 'and', 'with', 'the', 'of', 'the', 'between', 'and']",11,0.46,
Sentence 7,14,"['second', 'stadium', 'feature', 'doubles', 'matches', 'see', '.']",7,"['The', 'will', 'and', 'you', 'can', 'which', 'below']",7,0.5,
Sentence 8,125,"['Wednesday', ',', 'May', '03', ',', '2023', 'Day', '10', 'MANOLO', 'SANTANA', 'STADIUM', 'Starts', '1:00', 'Pm', 'Jessica', 'Pegula', 'VS', 'Veronika', 'Kudermetova', '4:00', 'Pm', 'QF', 'Carlos', 'Alcaraz', 'VS', 'Karen', 'Khachanov', '8:00', 'PM', 'Iga', 'Swiatek', 'VS', 'Petra', 'Martic', '9:30', 'Pm', 'QF', 'Daniel', 'Altmaier', 'VS', 'Borna', 'Coric', 'ARANTXA', 'SANCHEZ', 'STADIUM', 'Starts', '1:00', 'Pm', 'QF', 'Wesley', 'Koolhof/Neal', 'Skupski', 'VS', 'Rohan', 'Bopanna/Matthew', 'Ebden', 'Followed', 'Paula', 'Badosa/Bethanie', 'Mattek-Sands', 'VS', 'Victoria', 'Azarenka/Beatriz', 'Haddad', 'Maia', 'Followed', 'Su-Wei', 'Hsieh/Barbora', 'Strycova', 'VS', 'Leylah', 'Fernandez/Taylor', 'Townsend', 'Followed', '/', 'Suitable', 'Rest', 'QF', 'Karen', 'Khachanov/Andrey', 'Rublev', 'VS', 'Jamie', 'Murray/Michael', 'Venus', 'currently', 'seeing', 'comments', 'notified', ',', 'want', 'see', 'comments', 'post', ',', 'click', 'button', '.']",98,"['At', 'Not', 'Before', 'Not', 'Before', 'Not', 'Before', 'At', 'By', 'By', 'By', 'After', 'You', 'are', 'only', 'the', 'you', 'are', 'about', 'if', 'you', 'to', 'all', 'from', 'this', 'the', 'below']",27,0.22,
Sentence 9,10,"['sure', 'want', 'report', 'comment', '?']",5,"['Are', 'you', 'you', 'to', 'this']",5,0.5,
Sentence 10,24,"['©', '2023', 'Tennisuptodate.com', 'Colofon', 'Sales', '(', 'us', ')', '·', 'Privacy', 'Cookie', 'Policy', '·', 'Contact', '·', 'TennisUpToDate', 'link', 'partners', 'Powered', 'Newsifier']",20,"['and', 'About', 'and', 'by']",4,0.17,
