Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,28,"['11', 'Met', 'Gala', 'Looks', 'Karl', 'Lagerfeld', 'Would', ""'ve"", 'Likely', 'Hated', 'Lagerfeld', 'criticized', 'fat', 'people', ',', 'sweatpants', ',', 'men', ""'s"", 'visible', 'leg', 'hair', ',', 'among', 'things', '.']",26,"['and', 'other']",2,0.07,
Sentence 2,18,"['Lagerfeld', 'criticized', 'fat', 'people', ',', 'sweatpants', ',', 'men', ""'s"", 'visible', 'leg', 'hair', ',', 'among', 'things', '.']",16,"['and', 'other']",2,0.11,
Sentence 3,25,"['BuzzFeed', 'Staff', 'According', 'fashion', 'writer', 'Patrick', 'Mauriès', ""'s"", 'book', ',', 'World', 'According', 'Karl', ',', 'said', ',', '``', 'Think', 'pink', '.']",20,"['to', 'The', 'to', 'he', 'once']",5,0.2,
Sentence 4,7,"[""n't"", 'wear', '.', ""''""]",4,"['But', 'do', 'it']",3,0.43,
Sentence 5,41,"['way', 'karl', 'lagerfeld', 'hated', 'pink', 'miss', 'viola', 'showed', 'like', 'oh', '’', 'mother', 'https', ':', '//t.co/k1R3NZ7lNb', 'Photo', 'credit', ':', 'Jamie', 'McCarthy/Getty', 'Images', 'Karl', 'Lagerfeld', 'fatphobic', ',', 'sexist', 'racist', 'butthole', 'hated', 'pink', '.']",31,"['the', 'and', 'up', 'this', 'that', 's', 'was', 'a', 'and', 'that']",10,0.24,
Sentence 6,68,"['Quannah', 'Chasinghorse', 'attending', 'Met', 'pink', ',', 'gown', 'style', 'Karl', 'Lagerfeld', 'would', 'hated', ',', 'Indigenous', 'glory', 'absolutely', 'beautiful', 'way', '``', 'honor', ""''"", 'unhonorable', 'man', 'https', ':', '//t.co/wLuH41CY3C', 'Photo', 'credit', ':', '(', '1', ')', 'Mike', 'Coppola/Getty', 'Images', ',', '(', '2', ')', 'Jamie', 'McCarthy/Getty', 'Images', 'WAIT', 'MINUTE', 'KARL', 'LAGERFELD', 'HATED', 'PINK', '?', '?', '?']",51,"['the', 'in', 'in', 'a', 'and', 'that', 'have', 'and', 'in', 'all', 'her', 'is', 'the', 'most', 'to', 'an', 'A']",17,0.25,
Sentence 7,16,"['OH', 'CARDI', 'ILY', '😭😭😭😭😭', 'pic.twitter.com/hXCj6qdkST', 'Photo', 'credit', ':', 'Hapa', 'Blonde', '/', 'BACKGRID', 'love', '.']",14,"['The', 'it']",2,0.12,
Sentence 8,36,"['karl', 'would', ""'ve"", 'hated', 'LOVE', 'https', ':', '//t.co/eEVxFTuqgM', 'Photo', 'credit', ':', 'Jamie', 'McCarthy/Getty', 'Images', '2009', ',', 'told', 'Focus', 'magazine', ',', '``', 'one', 'wants', 'see', 'curvy', 'women', '.', ""''""]",28,"['it', 'so', 'i', 'it', 'In', 'he', 'No', 'to']",8,0.22,
Sentence 9,38,"['Appearing', 'French', 'TV', 'show', '2013', ',', 'said', ',', '``', 'hole', 'social', 'security', ',', ""'s"", 'also', '[', 'due', ']', 'diseases', 'caught', 'people', 'fat', '.', ""''""]",24,"['on', 'a', 'in', 'he', 'The', 'in', 'it', 'to', 'all', 'the', 'by', 'who', 'are', 'too']",14,0.37,
Sentence 10,40,"['Additionally', ',', 'called', 'saying', 'Adele', '``', 'little', 'fat', ',', ""''"", 'released', 'statement', 'clarifying', '``', '[', ']', 'said', 'relation', 'Lana', 'Del', 'Rey', '.', ""''""]",23,"['when', 'he', 'was', 'out', 'for', 'that', 'was', 'a', 'too', 'he', 'a', 'that', 'what', 'he', 'was', 'in', 'to']",17,0.42,
Sentence 11,57,"['know', 'Karl', 'would', '’', 'hated', ',', 'makes', 'love', 'even', 'pic.twitter.com/Gn3HPjCygY', 'Photo', 'credits', ':', '(', '1', ')', 'Noam', 'Galai/GA/The', 'Hollywood', 'Reporter', 'via', 'Getty', 'Images', ',', '(', '2', ')', 'Jamie', 'McCarthy/Getty', 'Images', ',', '(', '3', ')', 'Jamie', 'McCarthy/Getty', 'Images', ',', '(', '4', ')', 'Jamie', 'McCarthy/Getty', 'Images', 'Karl', 'Lagerfeld', 'hated', 'fatness', '.']",49,"['I', 've', 'this', 'but', 'it', 'me', 'it', 'more']",8,0.14,
Sentence 12,56,"['#', 'metgala', '(', 'theme', 'year', '“', 'honor', 'Karl', '”', ')', '@', 'lizzo', 'dressed', 'glorious', 'fat', 'self', 'classic', 'silhouette', 'classic', 'black', 'loved', ',', 'dripping', 'pearls', 'loved', ',', '&', 'took', 'picture', 'fine', 'ass', 'eating', 'fries', 'kitchen', '.']",35,"['So', 'for', 'this', 'is', 'in', 'of', 'her', 'in', 'a', 'in', 'the', 'that', 'he', 'in', 'which', 'he', 'a', 'of', 'her', 'in', 'a']",21,0.38,
Sentence 13,71,"['pic.twitter.com/i53zZ7KvzX', 'Photo', 'credit', ':', '@', 'lizzo', 'Instagram', 'karl', 'lagerfeld', 'hated', 'fat', 'people', 'pink', 'makes', 'Harvey', 'Guillén', '’', 'slay', 'truly', 'impeccable', 'gorgeous', 'fuck', 'youinfinity/10', 'pic.twitter.com/6K2QOLotmp', 'Photo', 'credits', ':', '(', '1', ')', 'Matt', 'Winkelmeyer/MG23/Getty', 'Images', 'Met', 'Museum/Vogue', ',', '(', '2', ')', 'Matt', 'Winkelmeyer/MG23/Getty', 'Images', 'Met', 'Museum/Vogue', 'World', 'According', 'Karl', ',', 'said', ',', '``', 'Sweatpants', 'sign', 'defeat', '.']",55,"['on', 'and', 'which', 's', 'an', 'for', 'The', 'for', 'The', 'In', 'The', 'to', 'he', 'are', 'a', 'of']",16,0.23,
Sentence 14,14,"['lost', 'control', 'life', ',', 'bought', 'sweatpants', '.', ""''""]",8,"['You', 'of', 'your', 'so', 'you', 'some']",6,0.43,
Sentence 15,17,"['told', 'Magazine', ',', '``', 'like', 'socks', ',', 'knee', '.']",9,"['He', 'M', 'I', 'but', 'only', 'up', 'to', 'the']",8,0.47,
Sentence 16,24,"['hate', 'nothing', 'men', 'cross', 'legs', ',', 'see', 'hairy', 'legs', ',', 'socks', 'pants', '–', 'worst', '.']",15,"['I', 'more', 'than', 'when', 'their', 'and', 'you', 'and', 'the']",9,0.38,
Sentence 17,4,"['worst', '!', ""''""]",3,['The'],1,0.25,
Sentence 18,31,"['also', ""n't"", 'care', 'men', ""'s"", 'thoughts', 'style', ',', 'telling', 'New', 'York', 'Times', ',', '``', '’', 'crazy', 'discuss', 'fashion', 'men', '.']",20,"['He', 'did', 'for', 'other', 'on', 'the', 'I', 'm', 'not', 'to', 'with']",11,0.35,
Sentence 19,10,"['could', ""n't"", 'care', 'less', 'opinion', '.', ""''""]",7,"['I', 'about', 'their']",3,0.3,
Sentence 20,49,"['okay', 'man', 'wore', 'high', 'socks', ',', 'thing', 'karl', 'hated', 'karl', '’', 'night', ',', 'bright', 'red', 'valentino', 'outfit', 'shorts', 'boots', ',', 'pop', 'slutty', 'knees', ',', 'middle', 'fingers', 'twice', 'valentino', 'logo', ',', 'rejected', 'interviewers', 'absolutely', 'SERVED', '?', '?']",36,"['so', 'this', 'a', 'that', 'to', 's', 'with', 'and', 'his', 'off', 'up', 'with', 'and']",13,0.27,
Sentence 21,23,"['’', 'mine', 'betchhhhh', 'pic.twitter.com/xSkxdCkvBq', 'Photo', 'credits', ':', '(', '1', ')', 'Vogue', 'via', 'YouTube', ',', '(', '2', ')', 'Pedro', 'Pascal', 'via', 'Instagram']",21,"['He', 's']",2,0.09,
