Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,41,"['Emails', 'Reveal', '‘', 'Jaw-Dropping', '’', 'Herschel', 'Walker', 'Money', 'Scandal', 'Emails', 'show', 'Herschel', 'Walker', 'solicited', 'hundreds', 'thousands', 'dollars', 'business', 'billionaire', 'donor', ',', 'donor', 'believing', 'giving', 'Walker', '’', 'campaign', '.']",28,"['of', 'of', 'for', 'his', 'own', 'from', 'a', 'with', 'the', 'he', 'was', 'to', 's']",13,0.32,
Sentence 2,33,"['SEARCH', 'Emails', 'show', 'Herschel', 'Walker', 'solicited', 'hundreds', 'thousands', 'dollars', 'business', 'billionaire', 'donor', ',', 'donor', 'believing', 'giving', 'Walker', '’', 'campaign', '.']",20,"['of', 'of', 'for', 'his', 'own', 'from', 'a', 'with', 'the', 'he', 'was', 'to', 's']",13,0.39,
Sentence 3,15,"['Political', 'Reporter', 'Pay', 'Dirt', 'weekly', 'foray', 'pigpen', 'political', 'funding', '.']",10,"['is', 'a', 'into', 'the', 'of']",5,0.33,
Sentence 4,11,"['Subscribe', 'get', 'inbox', 'every', 'Thursday', '.']",6,"['here', 'to', 'it', 'in', 'your']",5,0.45,
Sentence 5,38,"['Herschel', 'Walker', 'emailed', 'representative', 'billionaire', 'industrialist', 'longtime', 'family', 'friend', 'Dennis', 'Washington', 'March', '2022', ',', 'seemed', 'engaging', 'normal', 'behavior', 'political', 'candidate', ':', 'asking', 'money', '.']",24,"['When', 'a', 'for', 'and', 'in', 'he', 'to', 'be', 'in', 'for', 'a', 'He', 'was', 'for']",14,0.37,
Sentence 6,23,"['unbeknownst', 'Washington', 'billionaire', '’', 'staff', ',', 'Walker', '’', 'request', 'far', 'ordinary', '.']",12,"['But', 'to', 'and', 'the', 's', 's', 'was', 'more', 'out', 'of', 'the']",11,0.48,
Sentence 7,55,"['something', 'campaign', 'finance', 'experts', 'calling', '“', 'unprecedented', ',', '”', '“', 'stunning', ',', '”', '“', 'jaw-dropping.', '”', 'Walker', '’', 'asking', 'donations', 'campaign', ';', 'soliciting', 'hundreds', 'thousands', 'dollars', 'personal', 'company—a', 'company', 'never', 'disclosed', 'financial', 'statements', '.']",34,"['It', 'was', 'are', 'and', 'wasn', 't', 'just', 'for', 'to', 'his', 'he', 'was', 'of', 'of', 'for', 'his', 'own', 'that', 'he', 'on', 'his']",21,0.38,
Sentence 8,36,"['Emails', 'obtained', 'Daily', 'Beast—and', 'verified', 'authentic', 'person', 'knowledge', 'exchanges—show', 'Walker', 'asked', 'Washington', 'wire', '$', '535,200', 'directly', 'undisclosed', 'company', ',', 'HR', 'Talent', ',', 'LLC', '.']",24,"['by', 'The', 'as', 'by', 'a', 'with', 'of', 'the', 'that', 'to', 'to', 'that']",12,0.33,
Sentence 9,31,"['emails', 'reveal', 'Washington', 'complete', 'Walker', '’', 'wire', 'requests', ',', 'impression', ',', 'fact', ',', 'political', 'contributions', '.']",16,"['And', 'the', 'that', 'not', 'only', 'did', 's', 'he', 'was', 'under', 'the', 'that', 'these', 'were', 'in']",15,0.48,
Sentence 10,42,"['best', 'possible', 'circumstances', ',', 'legal', 'experts', 'told', 'Daily', 'Beast', ',', 'emails', 'suggest', 'violations', 'federal', 'fundraising', 'rules', ';', 'worst', 'case', ',', 'could', 'indication', 'serious', 'crimes', ',', 'wire', 'fraud', '.']",28,"['In', 'the', 'The', 'the', 'of', 'in', 'the', 'they', 'be', 'an', 'of', 'more', 'such', 'as']",14,0.33,
Sentence 11,45,"['Walker—who', 'schooled', 'campaign', 'finance', 'rules', 'since', 'campaign', 'launched', 'August', '2021', ',', 'according', 'person', 'involved', 'conversations—appears', 'dismissed', 'Washington', 'team', '’', 'concerns', 'money', 'may', 'gone', 'wrong', 'place', '.']",26,"['But', 'had', 'been', 'on', 'his', 'in', 'to', 'a', 'in', 'those', 'to', 'have', 'the', 's', 'that', 'the', 'have', 'to', 'the']",19,0.42,
Sentence 12,46,"['third', 'party', 'informed', 'Washington', 'Companies', 'executive', 'money', '’', 'used', 'political', 'purposes', ',', 'raised', 'issue', 'Walker', ',', 'asking', 'one', 'point', 'whether', 'funds', 'redirected', 'super', 'PAC', 'supporting', 'candidacy', '.']",27,"['When', 'a', 'a', 'that', 'the', 'couldn', 't', 'be', 'for', 'they', 'the', 'with', 'at', 'the', 'should', 'be', 'to', 'a', 'his']",19,0.41,
Sentence 13,31,"['Walker', 'never', 'contributed', 'money', 'campaign', ',', 'according', 'Federal', 'Election', 'Commission', 'filings', ',', '’', 'unclear', 'happened', 'particular', 'funds', '.']",18,"['any', 'of', 'his', 'own', 'to', 'his', 'to', 'and', 'it', 's', 'what', 'to', 'these']",13,0.42,
Sentence 14,36,"['Walker', 'may', 'ultimately', 'returned', 'money', 'Washington', ',', 'reroute', 'money', 'super', 'PAC', ',', 'according', 'FEC', 'filings', 'person', 'direct', 'knowledge', 'events', '.']",20,"['have', 'the', 'to', 'but', 'he', 'did', 'not', 'the', 'to', 'the', 'to', 'and', 'a', 'with', 'of', 'the']",16,0.44,
Sentence 15,31,"['(', 'day', 'story', 'published', ',', 'spokesperson', 'Washington', 'said', 'Walker', 'refunded', 'money', 'respond', 'questions', 'happened', '.', ')']",16,"['A', 'after', 'this', 'was', 'a', 'for', 'had', 'the', 'but', 'did', 'not', 'to', 'about', 'when', 'that']",15,0.48,
Sentence 16,27,"['“', 'good', 'talking', 'today', ',', '”', 'Tim', 'McHugh', ',', 'executive', 'vice', 'president', 'Washington', 'Corporations', ',', 'wrote', 'Walker', 'last', 'November', '.']",20,"['It', 'was', 'with', 'you', 'for', 'the', 'to']",7,0.26,
