Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,39,"['Nelly', 'Ashanti', 'Back', 'Together', ""'Very"", 'Happy', ""'"", '2013', 'Split', '|', 'Entertainment', 'Tonight', 'source', 'tells', 'ET', 'former', 'flames', ""'back"", 'together', ""'"", 'spotted', 'holding', 'hands', 'Las', 'Vegas', 'last', 'month', '.']",28,"['and', 'are', 'and', 'After', 'A', 'that', 'the', 'are', 'after', 'being', 'in']",11,0.28,
Sentence 2,4,"['Rekindling', 'flame', '!']",3,['the'],1,0.25,
Sentence 3,12,"['Nelly', 'Ashanti', 'making', 'another', 'go', 'romantic', 'relationship', '.']",8,"['and', 'are', 'at', 'their']",4,0.33,
Sentence 4,39,"['sparking', 'romance', 'rumors', 'last', 'month', ',', 'spotted', 'spending', 'time', 'together', 'Las', 'Vegas', ',', 'source', 'tells', 'ET', ',', '``', 'Nelly', 'Ashanti', 'back', 'together', 'happy', '.', ""''""]",25,"['After', 'when', 'they', 'were', 'in', 'a', 'and', 'are', 'and', 'both', 'of', 'them', 'are', 'very']",14,0.36,
Sentence 5,32,"['Nelly', ',', '48', ',', 'Ashanti', ',', '42', ',', 'seen', 'holding', 'hands', 'walked', 'T-Mobile', 'Arena', 'late', 'last', 'month', ',', 'Gervonta', 'Davis', 'vs.', 'Ryan', 'Garcia', 'fight', '.']",25,"['and', 'were', 'as', 'they', 'through', 'during', 'the']",7,0.22,
Sentence 6,26,"['another', 'video', 'posted', 'social', 'media', ',', 'duo', 'captured', 'performing', 'hit', '``', 'Body', ',', ""''"", 'pool', 'party', '.']",17,"['In', 'to', 'the', 'was', 'their', 'on', 'Me', 'during', 'a']",9,0.35,
Sentence 7,17,"['Another', 'source', 'tells', 'ET', ',', '``', 'Nelly', 'Ashanti', 'really', 'enjoying', 'time', 'together', '.', ""''""]",14,"['and', 'are', 'their']",3,0.18,
Sentence 8,8,"['singers', 'began', 'relationship', '2003', '.']",5,"['The', 'their', 'in']",3,0.38,
Sentence 9,16,"['pair', 'on-again', ',', 'off-again', 'romance', 'officially', 'calling', 'quits', '2013', '.']",10,"['The', 'had', 'an', 'before', 'it', 'in']",6,0.38,
Sentence 10,22,"['February', ',', 'ET', 'spoke', 'Nelly', 'GRAMMYs', ',', 'shared', 'time', 'healed', 'past', 'wounds', '.']",13,"['In', 'with', 'at', 'the', 'where', 'he', 'that', 'had', 'their']",9,0.41,
Sentence 11,16,"['``', 'Time', 'wonders', 'lot', 'different', 'things', ',', ""''"", 'told', 'ET', '.']",11,"['does', 'for', 'a', 'of', 'he']",5,0.31,
Sentence 12,35,"['``', 'time', 'one', 'things', 'allows', 'time', 'reflect', ""'s"", ',', 'get', 'chance', 'see', 'things', 'different', 'light', 'see', 'faults', '.']",18,"['And', 'is', 'those', 'that', 'you', 'to', 'on', 'what', 'what', 'and', 'you', 'a', 'to', 'in', 'a', 'and', 'your']",17,0.49,
Sentence 13,17,"['think', ""'s"", 'cool', 'friends', '.', ""''""]",6,"['So', 'I', 'we', 'both', 'did', 'that', 'and', 'it', 'that', 'we', 'just']",11,0.65,
Sentence 14,37,"['December', ',', 'fans', 'began', 'question', 'status', 'relationship', 'Ashanti', 'appeared', 'onstage', '``', 'Country', 'Grammar', ""''"", 'rapper', 'Power', '98.3', '96.1', ""'s"", 'Mistletoe', 'concert', 'Arizona', '.']",23,"['In', 'to', 'the', 'of', 'their', 'after', 'with', 'the', 'at', 'the', 'and', 'Under', 'the', 'in']",14,0.38,
Sentence 15,33,"['Following', 'performance', ',', 'Ashanti', 'appeared', 'Watch', 'Happens', 'Live', 'Andy', 'Cohen', ',', 'asked', 'reaction', 'fans', 'wanting', 'get', 'back', 'rapper', '.']",19,"['the', 'on', 'What', 'With', 'where', 'she', 'was', 'about', 'her', 'to', 'her', 'to', 'with', 'the']",14,0.42,
Sentence 16,14,"['``', 'reaction', ""'wow"", ',', ""'"", ""''"", 'told', 'host', 'Andy', 'Cohen', '.']",11,"['My', 'was', 'she']",3,0.21,
Sentence 17,16,"['``', 'lot', 'comments', 'lot', 'people', 'wanting', '.', ""''""]",8,"['It', 'was', 'a', 'of', 'and', 'a', 'of', 'that']",8,0.5,
Sentence 18,22,"['However', ',', 'played', 'coy', 'pressed', 'whether', 'two', 'exploring', 'possibility', 'getting', 'back', 'together', '.']",13,"['she', 'when', 'on', 'or', 'not', 'the', 'were', 'the', 'of']",9,0.41,
Sentence 19,56,"['RELATED', 'CONTENT', ':', 'Ashanti', 'Nelly', 'Spark', 'Rumors', ""'re"", 'Back', 'Together', 'Ashanti', 'Alleges', 'Producer', 'Propositioned', 'Exchange', 'Music', 'Ashanti', 'Re-Record', '2002', 'Self-Titled', 'Debut', 'Album', 'Securing', 'Masters', 'Shantel', 'Jackson', 'Reveals', 'Nelly', 'Split', ':', ""'Just"", ""Friends'"", 'signing', ',', 'agree', 'Terms', 'Use', 'Privacy', 'Policy']",39,"['and', 'They', 'Her', 'in', 'for', 'to', 'After', 'Her', 'She', 'and', 'By', 'up', 'you', 'to', 'our', 'of', 'and']",17,0.3,
