Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,55,"['Miguel', '‘', 'Sure', 'Thing', '’', 'Breaks', 'Record', 'Weeks', 'R', '&', 'B/Hip-Hop', 'Songs', '–', 'Billboard', 'Miguel', ""'s"", '&', 'quot', ';', 'Sure', 'Thing', '&', 'quot', ';', 'breaks', 'record', 'weeks', 'ever', 'Hot', 'R', '&', 'amp', ';', 'B/Hip-Hop', 'Songs', 'chart', 'thanks', 'second', 'wind', 'via', 'TikTok', 'year', '.']",43,"['for', 'Most', 'on', 'the', 'for', 'the', 'most', 'on', 'the', 'to', 'its', 'this']",12,0.22,
Sentence 2,28,"['``', 'achievement', 'wild', 'reminder', 'things', '–', 'across', 'board', '-', 'cycle', 'back', 'cultural', 'relevance', ',', ""''"", 'Miguel', 'tells', 'Billboard', '.']",19,"['This', 'is', 'a', 'of', 'how', 'all', 'the', 'can', 'into']",9,0.32,
Sentence 3,44,"['Trevor', 'Anderson', 'Thanks', 'second', 'wind', '11', 'years', 'initial', 'chart', 'run', ',', 'Miguel', '’', '“', 'Sure', 'Thing', '”', 'breaks', 'record', 'title', 'weeks', 'Billboard', '’', 'Hot', 'R', '&', 'B/Hip-Hop', 'Songs', 'chart', '.']",30,"['By', 'to', 'its', 'after', 'its', 's', 'the', 'for', 'the', 'with', 'the', 'most', 'on', 's']",14,0.32,
Sentence 4,41,"['track', 'logs', 'unprecedented', '76th', 'week', 'list', 'dated', 'May', '6', ',', 'surpassing', '75-week', 'marathon', 'previous', 'record', 'holder', ',', 'Mary', 'J.', 'Blige', '’', '“', 'Without', '”', 'one', 'continuous', 'run', '2005-07', '.']",29,"['The', 'an', 'on', 'the', 'the', 'of', 'the', 's', 'Be', 'You', 'in', 'in']",12,0.29,
Sentence 5,18,"['“', 'Sure', 'Thing', '”', 'achieves', 'record-breaking', 'mark', 'jumps', '8-6', 'newest', 'published', 'chart', '.']",13,"['the', 'as', 'it', 'on', 'the']",5,0.28,
Sentence 6,31,"['song', ',', 'released', '2010', ',', 'enjoying', 'TikTok-fueled', 'renaissance', ',', 'sped-up', 'version', ',', 'soundtracked', '4', 'million', 'videos', 'social', 'media', 'platform', '.']",20,"['The', 'in', 'is', 'a', 'as', 'a', 'has', 'more', 'than', 'on', 'the']",11,0.35,
Sentence 7,35,"['activity', 'TikTok', 'directly', 'contribute', 'Billboard', 'charts', ',', 'many', 'app', '’', 'popular', 'songs', 'seen', 'corresponding', 'gains', 'streaming', 'services', 'factor', 'Billboard', 'chart', 'rankings', '.']",22,"['While', 'does', 'not', 'to', 'the', 'of', 'the', 's', 'most', 'have', 'on', 'that', 'into']",13,0.37,
Sentence 8,46,"['“', '’', 'glad', '‘', 'Sure', 'Thing', '’', 'still', 'connects', 'resonates', 'new', 'audience', ',', 'feel', '’', 'always', 'felt', 'song', ',', '”', 'Miguel', 'tells', 'Billboard', 'upon', 'hearing', 'news', 'new', 'honor', '.']",29,"['I', 'm', 'that', 'and', 'with', 'a', 'and', 'that', 'they', 'what', 'I', 've', 'with', 'this', 'the', 'of', 'his']",17,0.37,
Sentence 9,45,"['“', 'anything', ',', 'achievement', 'wild', 'reminder', 'things', '–', 'across', 'board', '–', 'cycle', 'back', 'cultural', 'relevance.', '”', 'clear', 'hit', 'today', ',', '“', 'Sure', 'Thing', '”', 'smash', 'original', 'era', '.']",28,"['More', 'than', 'this', 'is', 'a', 'of', 'how', 'all', 'the', 'can', 'into', 'A', 'was', 'a', 'in', 'its', 'too']",17,0.38,
Sentence 10,20,"['second', 'single', 'Miguel', '’', '2010', 'debut', 'album', ',', 'Want', ',', 'reached', '.']",12,"['The', 'from', 's', 'All', 'I', 'Is', 'You', 'No']",8,0.4,
Sentence 11,24,"['1', 'Hot', 'R', '&', 'B/Hip-Hop', 'Songs', 'chart', 'one', 'week', 'among', '61', 'total', 'frames', 'logged', 'initial', 'run', '.']",17,"['on', 'the', 'for', 'the', 'it', 'in', 'its']",7,0.29,
Sentence 12,5,"['Starting', '.']",2,"['with', 'its', 'No']",3,0.6,
