Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,32,"['Doja', 'Cat', 'Probably', 'Wo', ""n't"", 'Getting', 'Invited', 'Back', 'Met', 'Gala', '-', 'XXL', ""'s"", 'reason', 'Doja', 'Cat', 'probably', 'wo', ""n't"", 'getting', 'invited', 'back', 'Met', 'Gala', '.']",25,"['Be', 'to', 'Here', 'the', 'be', 'to', 'the']",7,0.22,
Sentence 2,12,"['Doja', 'Cat', 'might', 'attended', 'first', 'last', 'Met', 'Gala', '.']",9,"['have', 'her', 'and']",3,0.25,
Sentence 3,34,"['famed', 'Met', 'Gala', 'took', 'place', 'Monday', 'night', '(', 'May', '1', ')', ',', 'Doja', 'Cat', 'stealing', 'show', 'showing', 'looking', 'like', 'real-life', 'cat', 'using', 'special', 'effects', 'prosthetics', '.']",26,"['The', 'on', 'with', 'the', 'after', 'up', 'a', 'by']",8,0.24,
Sentence 4,29,"['However', ',', 'statements', 'made', 'recent', 'interview', 'Vogue', 'editor-in-chief', 'Met', 'Gala', 'host', 'Anna', 'Wintour', 'hold', 'true', ',', 'Doja', 'might', 'get', 'second', 'invite', '.']",22,"['if', 'during', 'a', 'by', 'and', 'not', 'a']",7,0.24,
Sentence 5,28,"['Monday', ',', 'Anna', 'Wintour', 'Met', 'Museum', 'Costume', 'Institute', 'curator-in-charge', 'Andrew', 'Bolton', 'sat', 'CBS', ""'"", 'Gayle', 'King', 'interview', 'must-attend', 'event', '.']",20,"['On', 'and', 'down', 'with', 'for', 'an', 'about', 'the']",8,0.29,
Sentence 6,31,"['sit-down', ',', 'King', 'asked', 'duo', ',', '``', ""'s"", 'best', 'way', 'invited', ""'s"", 'best', 'way', 'never', 'invited', 'back', '?']",18,"['During', 'the', 'the', 'What', 'the', 'to', 'be', 'and', 'what', 'the', 'to', 'be', 'again']",13,0.42,
Sentence 7,9,"['really', 'ticks', ',', 'Anna', '?', ""''""]",6,"['What', 'you', 'off']",3,0.33,
Sentence 8,10,"['``', 'Smoking', 'gallery', ',', ""''"", 'Andrew', 'interjected', '.']",8,"['in', 'the']",2,0.2,
Sentence 9,6,"['``', 'Touching', 'art', '.', ""''""]",5,['the'],1,0.17,
Sentence 10,9,"['``', 'Smoking', ',', 'yes', ',', ""''"", 'Anna', 'agreed', '.']",9,[],0,0.0,
Sentence 11,10,"['``', 'would', 'no-nos', ',', ""''"", 'Andrew', 'added', '.']",8,"['Those', 'be']",2,0.2,
Sentence 12,12,"['Doja', 'Cat', 'spotted', 'vaping', 'event', 'multiple', 'occasions', '.']",8,"['was', 'at', 'the', 'on']",4,0.33,
Sentence 13,14,"[',', ""'s"", 'chance', 'Met', 'Gala', 'card', 'might', 'get', 'revoked', '.']",10,"['So', 'there', 'a', 'her']",4,0.29,
Sentence 14,17,"['Last', 'month', ',', 'Doja', 'Cat', 'talked', 'smoking', 'addiction', 'interview', 'Interview', 'Magazine', '.']",12,"['about', 'her', 'during', 'an', 'with']",5,0.29,
Sentence 15,18,"['``', '’', 'smoked', 'nicotine', 'like', '10', 'weeks', ',', ""''"", 'told', 'publication', '.']",12,"['I', 'haven', 't', 'in', 'she', 'the']",6,0.33,
Sentence 16,26,"['``', 'Elle', 'came', 'shoot', '’', 'smoking', 'cigarette', ',', 'smoking', '.']",10,"['And', 'then', 'just', 'out', 'with', 'a', 'where', 'I', 'm', 'a', 'but', 'it', 'was', 'when', 'I', 'was']",16,0.62,
Sentence 17,31,"['’', 'photos', 'interview', 'thousand', 'years', ',', 'people', 'like', ',', ""'Oh"", 'God', ',', '’', 'smoking', '.', ""'""]",16,"['They', 've', 'had', 'these', 'in', 'this', 'for', 'a', 'and', 'now', 'are', 'my', 'she', 's', 'again']",15,0.48,
Sentence 18,7,"['’', 'smoke', '.']",3,"['But', 'I', 'don', 't']",4,0.57,
Sentence 19,5,"['’', 'nicotine-free', '.']",3,"['I', 'm']",2,0.4,
Sentence 20,6,"['love', 'nicotine-free', 'vapes', '.']",4,"['And', 'I']",2,0.33,
Sentence 21,27,"['zero-nicotine', 'vape', '’', 'hit', ',', 'feels', 'like', '’', 'breathing', '’', 'like', ',', ""'What"", '?', ""'""]",15,"['Any', 'doesn', 't', 'it', 'just', 'you', 're', 'and', 'it', 's', 'is', 'this']",12,0.44,
Sentence 22,4,"['feels', 'pointless', '.']",3,['It'],1,0.25,
Sentence 23,14,"['thing', 'really', 'feels…', 'hits', ',', 'effect', '.']",7,"['But', 'this', 'It', 'it', 'has', 'the', 'same']",7,0.5,
Sentence 24,6,"['also', 'got', 'hypnotherapy', '.', ""''""]",5,['I'],1,0.17,
Sentence 25,23,"['Considering', 'Doja', 'Cat', 'vaping', ',', ""'s"", 'chance', 'might', 'get', 'pass', 'invited', 'back', 'gala', '.']",14,"['was', 'there', 'a', 'she', 'a', 'to', 'be', 'to', 'the']",9,0.39,
