Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,23,"['Christie', 'Trump', 'possibly', 'skipping', 'debates', ':', '‘', 'Obviously', ',', '’', 'afraid', '’', '|', 'Hill', 'Former', 'New', 'Jersey', 'Gov', '.']",19,"['on', 'he', 's', 'The']",4,0.17,
Sentence 2,41,"['Chris', 'Christie', '(', 'R', ')', 'said', 'Wednesday', 'former', 'President', 'Trump', '“', 'afraid', '”', 'take', 'stage', 'Republican', 'primary', 'debates', 'Trump', ',', 'holds', 'commanding', 'lead', 'GOP', 'polls', ',', 'floated', 'skipping', 'events', '.']",30,"['that', 'is', 'to', 'the', 'in', 'after', 'who', 'a', 'in', 'the', 'the']",11,0.27,
Sentence 3,24,"['Christie', ',', 'former', 'Trump', 'ally', 'become', 'one', 'vocal', 'Republican', 'critics', ',', 'told', 'conservative…', 'Former', 'New', 'Jersey', 'Gov', '.']",18,"['a', 'who', 'has', 'of', 'his', 'more']",6,0.25,
Sentence 4,41,"['Chris', 'Christie', '(', 'R', ')', 'said', 'Wednesday', 'former', 'President', 'Trump', '“', 'afraid', '”', 'take', 'stage', 'Republican', 'primary', 'debates', 'Trump', ',', 'holds', 'commanding', 'lead', 'GOP', 'polls', ',', 'floated', 'skipping', 'events', '.']",30,"['that', 'is', 'to', 'the', 'in', 'after', 'who', 'a', 'in', 'the', 'the']",11,0.27,
Sentence 5,93,"['Christie', ',', 'former', 'Trump', 'ally', 'become', 'one', 'vocal', 'Republican', 'critics', ',', 'told', 'conservative', 'radio', 'talk', 'show', 'host', 'Hugh', 'Hewitt', 'GOP', 'hold', '“', 'many', '”', 'debates', '“', 'open', 'format', '”', 'allow', 'follow-up', 'questions', 'prevent', 'candidates', 'giving', '“', 'soundbyte-y', 'answers', 'nobody', 'believes', 'solve', 'problems.', '”', 'said', 'Trump', 'participate', 'primary', 'debates', 'helping', 'American', 'people', 'decide', 'best', 'prepared', 'become', 'president', '.']",57,"['a', 'who', 'has', 'of', 'his', 'more', 'that', 'the', 'should', 'as', 'as', 'it', 'can', 'and', 'should', 'have', 'an', 'to', 'for', 'and', 'from', 'that', 'will', 'any', 'He', 'should', 'in', 'the', 'because', 'they', 'are', 'about', 'the', 'who', 'is', 'to']",36,0.39,
Sentence 6,20,"['New', 'York', 'Times', 'reported', 'Tuesday', 'Trump', 'likely', 'attend', 'first', 'two', 'GOP', 'primary', 'debates', '.']",14,"['The', 'that', 'is', 'not', 'to', 'the']",6,0.3,
Sentence 7,34,"['former', 'president', 'said', 'last', 'week', 'feel', 'need', 'participate', ',', 'pointing', 'polling', 'advantage', 'saw', 'potential', 'bias', 'involved', '.']",17,"['The', 'that', 'he', 'did', 'not', 'the', 'to', 'to', 'his', 'and', 'what', 'he', 'as', 'against', 'him', 'from', 'those']",17,0.5,
Sentence 8,29,"['“', '’', 'sorry', 'see', 'Donald', 'Trump', 'feels', 'like', 'gets', 'stage', ',', '’', 'risk', 'losing', 'lead', '.']",16,"['I', 'm', 'to', 'that', 'if', 'he', 'on', 'the', 'he', 's', 'at', 'of', 'his']",13,0.45,
Sentence 9,34,"[',', 'fact', ',', 'ideas', 'great', ',', 'leadership', 'outstanding', ',', 'lead', 'increase', 'gets', 'stage', ',', 'decrease', '.']",16,"['If', 'in', 'his', 'are', 'so', 'if', 'his', 'is', 'so', 'then', 'his', 'will', 'only', 'if', 'he', 'on', 'the', 'not']",18,0.53,
Sentence 10,12,"['obviously', ',', '’', 'afraid', ',', '”', 'Christie', 'said', '.']",9,"['But', 'he', 's']",3,0.25,
Sentence 11,16,"['“', '’', 'afraid', 'get', 'stage', 'people', 'serious', '.']",8,"['He', 's', 'to', 'on', 'the', 'against', 'who', 'are']",8,0.5,
Sentence 12,34,"['’', 'sorry', 'see', '’', 'afraid', 'it.', '”', 'Christie', 'said', 'considering', 'run', 'Republican', 'nomination', 'president', '2024', '.']",16,"['And', 'I', 'm', 'to', 'that', 'he', 's', 'that', 'of', 'has', 'he', 'is', 'his', 'own', 'for', 'the', 'for', 'in']",18,0.53,
Sentence 13,18,"['told', 'Hewitt', 'Wednesday', 'would', 'decide', 'whether', 'run', 'next', 'two', 'weeks', '.']",11,"['He', 'on', 'that', 'he', 'to', 'in', 'the']",7,0.39,
Sentence 14,40,"['said', '“', 'people', 'wonder', '”', 'Trump', 'want', 'engage', 'debates', 'believes', 'Trump', '“', 'lot', 'serious', 'answers', '”', 'problems', 'country', 'facing', '.']",20,"['He', 'should', 'why', 'does', 'not', 'to', 'in', 'the', 'and', 'that', 'he', 'does', 'not', 'have', 'a', 'of', 'for', 'the', 'the', 'is']",20,0.5,
Sentence 15,24,"['“', 'wants', 'go', 'back', 'reprosecute', '2020', 'election', 'feelings', 'hurt', ',', '”', 'Christie', 'said', '.']",14,"['All', 'he', 'to', 'do', 'is', 'and', 'the', 'because', 'his', 'are']",10,0.42,
Sentence 16,18,"['HILL', '1625', 'K', 'STREET', ',', 'NW', 'SUITE', '900', 'WASHINGTON', 'DC', '20006', '|', '202-628-8500', 'TEL', '|', '202-628-8503', 'FAX']",17,['THE'],1,0.06,
