Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,36,"['Vanderpump', 'Rules', ':', 'Tom', 'Sandoval', ""'s"", 'Shocking', 'Disdain', 'Katie', 'Deeper', 'Meaning', 'Vanderpump', 'Rules', ""'"", 'Tom', 'Sandoval', 'always', 'looked', 'Katie', 'Maloney', ',', 'even', 'early', 'days', 'series', '.']",26,"['For', 'Has', 'A', 'has', 'down', 'on', 'during', 'the', 'of', 'the']",10,0.28,
Sentence 2,8,"[',', ""'s"", 'much', 'worse', '.']",5,"['Now', 'it', 'so']",3,0.38,
Sentence 3,22,"['Vanderpump', 'Rules', ""'"", 'Tom', 'Sandoval', 'always', 'looked', 'Katie', 'Maloney', ',', 'even', 'early', 'days', 'series', '.']",15,"['has', 'down', 'on', 'during', 'the', 'of', 'the']",7,0.32,
Sentence 4,8,"[',', ""'s"", 'much', 'worse', '.']",5,"['Now', 'it', 'so']",3,0.38,
Sentence 5,30,"['Vanderpump', 'Rules', 'celeb', 'Tom', 'Sandoval', 'always', 'put', 'Katie', 'Maloney', ',', 'scandals', 'making', 'unravel', ',', 'disdain', 'apparent', '.']",17,"['has', 'down', 'and', 'now', 'that', 'his', 'are', 'him', 'his', 'for', 'her', 'is', 'more']",13,0.43,
Sentence 6,23,"['Right', ',', 'onscreen', ',', 'Tom', ""'s"", 'affair', 'Raquel', 'Leviss', 'appears', 'open', 'secret', 'among', 'Vanderpump', 'Rules', 'cast', '.']",17,"['now', 'with', 'to', 'be', 'an', 'the']",6,0.26,
Sentence 7,16,"['two', ""n't"", 'trying', 'hide', 'much', 'continue', 'throughout', 'season', '.']",9,"['The', 'are', 'to', 'as', 'they', 'on', 'the']",7,0.44,
Sentence 8,29,"['Tom', 'long', 'history', 'rest', 'show', ""'s"", 'stars', ',', 'original', 'cast', 'member', 'long-time', 'employee', 'Lisa', 'Vanderpump', ""'s"", 'SUR', 'eatery', '.']",19,"['has', 'a', 'with', 'the', 'of', 'the', 'as', 'an', 'and', 'at']",10,0.34,
Sentence 9,13,"[""'s"", 'known', 'many', 'cast', 'mates', 'decade', '.']",7,"['He', 'of', 'his', 'for', 'over', 'a']",6,0.46,
Sentence 10,17,"['Tom', ""'s"", 'life', 'unraveling', 'throughout', 'season', ',', 'issues', 'full', 'display', '.']",11,"['With', 'this', 'his', 'have', 'been', 'on']",6,0.35,
