Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,61,"['Chris', 'Christie', 'Taunts', 'Trump', '‘', 'Afraid', '’', 'Presidential', 'Debates', '-', 'New', 'York', 'Times', 'Mr.', 'Christie', ',', 'weighing', 'presidential', 'bid', ',', 'also', 'called', 'Donald', 'Trump', '“', 'child', '”', 'fixating', '2020', 'election', 'said', '“', '’', 'lot', 'serious', 'answers', '”', 'nation', '’', 'problems', '.']",41,"['as', 'of', 'The', 'who', 'is', 'a', 'a', 'for', 'on', 'the', 'and', 'he', 'doesn', 't', 'have', 'a', 'of', 'for', 'the', 's']",20,0.33,
Sentence 2,48,"['Advertisement', 'Supported', 'Mr.', 'Christie', ',', 'weighing', 'presidential', 'bid', ',', 'also', 'called', 'Donald', 'Trump', '“', 'child', '”', 'fixating', '2020', 'election', 'said', '“', '’', 'lot', 'serious', 'answers', '”', 'nation', '’', 'problems', '.']",30,"['by', 'who', 'is', 'a', 'a', 'for', 'on', 'the', 'and', 'he', 'doesn', 't', 'have', 'a', 'of', 'for', 'the', 's']",18,0.38,
Sentence 3,19,"['Send', 'friend', 'story', 'subscriber', ',', '10', 'gift', 'articles', 'give', 'month', '.']",11,"['any', 'a', 'As', 'a', 'you', 'have', 'to', 'each']",8,0.42,
Sentence 4,7,"['Anyone', 'read', 'share', '.']",4,"['can', 'what', 'you']",3,0.43,
Sentence 5,6,"['Katie', 'Glueck', 'Former', 'Gov', '.']",5,['By'],1,0.17,
Sentence 6,39,"['Chris', 'Christie', 'New', 'Jersey', ',', 'one', 'potential', 'Republican', 'presidential', 'candidates', 'willing', 'attack', 'Donald', 'J.', 'Trump', 'directly', ',', 'laced', 'former', 'president', 'Wednesday', 'reported', 'reluctance', 'participate', 'presidential', 'debates', '.']",27,"['of', 'of', 'the', 'few', 'to', 'into', 'the', 'on', 'over', 'his', 'to', 'in']",12,0.31,
Sentence 7,28,"['“', 'Obviously', ',', '’', 'afraid', ',', '”', 'taunted', 'Mr.', 'Christie', ',', 'Trump', 'defender-turned-critic', ',', 'interview', 'conservative', 'media', 'personality', 'Hugh', 'Hewitt', '.']",21,"['he', 's', 'a', 'in', 'an', 'with', 'the']",7,0.25,
Sentence 8,56,"['“', '’', 'afraid', 'get', 'stage', 'people', 'serious.', '”', 'Mr.', 'Trump', ',', 'current', 'Republican', 'poll', 'leader', ',', 'appears', 'likely', 'skip', 'least', 'one', 'first', 'two', 'debates', '2024', 'Republican', 'presidential', 'nominating', 'contest', ',', 'indicating', 'want', 'elevate', 'lower-polling', 'rivals', '.']",36,"['He', 's', 'to', 'on', 'the', 'against', 'who', 'are', 'the', 'to', 'at', 'of', 'the', 'of', 'the', 'that', 'he', 'does', 'not', 'to']",20,0.36,
Sentence 9,9,"['number', '—', 'notably', 'Gov', '.']",5,"['A', 'of', 'them', 'most']",4,0.44,
Sentence 10,39,"['Ron', 'DeSantis', 'Florida', ',', 'expected', 'announce', 'campaign', 'soon', '—', 'reluctant', 'confront', 'Mr.', 'Trump', 'frontally', ',', 'sign', 'sway', 'continues', 'hold', 'much', 'Republican', 'base', '.']",23,"['of', 'who', 'is', 'to', 'his', 'have', 'been', 'to', 'a', 'of', 'the', 'he', 'to', 'over', 'of', 'the']",16,0.41,
Sentence 11,49,"['“', 'really', 'cares', 'country', '—', 'deep', 'questions', '—', 'really', 'cares', 'country', ',', '’', 'going', 'get', ',', '’', 'afraid', ',', '”', 'Mr.', 'Christie', 'said', '.']",24,"['If', 'he', 'about', 'the', 'and', 'I', 'have', 'about', 'that', 'but', 'if', 'he', 'about', 'the', 'then', 'he', 's', 'to', 'up', 'there', 'and', 'he', 'shouldn', 't', 'be']",25,0.51,
Sentence 12,123,"['added', ':', '“', ',', 'fact', ',', 'ideas', 'great', ',', 'leadership', 'outstanding', ',', 'lead', 'increase', 'gets', 'stage', ',', 'decrease.', '”', 'Asked', 'comment', ',', 'Steven', 'Cheung', ',', 'spokesman', 'Mr.', 'Trump', ',', 'replied', ',', '“', '?', '”', 'said', 'Mr.', 'Christie', '“', 'idea', 'talking', 'stick', 'talking', 'head', 'instead', 'trying', 'play', 'pretend', 'candidate.', '”', 'interview', ',', 'Mr.', 'Christie', '—', 'currently', 'polling', '1', '2', 'percent', '—', 'also', 'indicated', 'would', 'make', 'decision', 'presidential', 'plans', 'next', 'two', 'weeks', '.']",71,"['He', 'If', 'in', 'his', 'are', 'so', 'if', 'his', 'is', 'so', 'then', 'his', 'will', 'only', 'if', 'he', 'on', 'the', 'not', 'for', 'a', 'for', 'Who', 'He', 'that', 'has', 'no', 'what', 'he', 'is', 'about', 'and', 'should', 'to', 'being', 'a', 'of', 'to', 'In', 'the', 'who', 'is', 'at', 'to', 'that', 'he', 'a', 'about', 'his', 'own', 'in', 'the']",52,0.42,
Sentence 13,26,"['“', 'presidency', 'scripted', 'exercise', ',', '’', 'think', 'debates', 'important', ',', '”', 'Mr.', 'Christie', 'said', '.']",15,"['The', 'is', 'not', 'a', 'and', 'so', 'that', 's', 'why', 'I', 'are']",11,0.42,
Sentence 14,45,"['suggested', 'Mr.', 'Trump', ',', 'continues', 'lie', 'integrity', '2020', 'election', ',', 'reluctant', 'debate', '“', '’', 'lot', 'serious', 'answers', 'problems', 'facing', 'country', 'right', '.']",22,"['He', 'that', 'who', 'to', 'about', 'the', 'of', 'the', 'was', 'to', 'because', 'he', 'doesn', 't', 'have', 'a', 'of', 'for', 'the', 'that', 'are', 'the', 'now']",23,0.51,
Sentence 15,19,"['wants', 'go', 'back', 'reprosecute', '2020', 'election', 'feelings', 'hurt', '.']",9,"['All', 'he', 'to', 'do', 'is', 'and', 'the', 'because', 'his', 'are']",10,0.53,
Sentence 16,17,"['’', 'child', 'regard.', '”', 'Katie', 'Glueck', 'national', 'political', 'reporter', '.']",10,"['He', 's', 'a', 'in', 'that', 'is', 'a']",7,0.41,
Sentence 17,21,"['Previously', ',', 'chief', 'Metro', 'political', 'correspondent', ',', 'lead', 'reporter', 'Times', 'covering', 'Biden', 'campaign', '.']",14,"['she', 'was', 'and', 'a', 'for', 'The', 'the']",7,0.33,
