Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,63,"['Trump', 'seems', 'likely', 'skip', 'primary', 'debate', 'amid', 'polling', 'lead', ',', 'opponents', 'claim', ""'s"", ""'afraid"", ""'"", '-', 'ABC', 'News', 'Trump', ""'s"", '2024', 'primary', 'opponents', 'possible', 'rivals', '--', 'aides', '--', 'say', 'see', 'chance', 'raise', 'profiles', 'debate', 'without', '2024', 'rivals', 'insist', 'benefit', 'former', 'president', ""'s"", 'absence', '.']",44,"['As', 'to', 'he', 'Some', 'of', 'or', 'and', 'their', 'they', 'a', 'to', 'their', 'in', 'a', 'him', 'Some', 'they', 'from', 'the']",19,0.3,
Sentence 2,36,"['Donald', 'Trump', 'likely', 'attend', 'one', 'first', 'two', '2024', 'Republican', 'primary', 'debates', ',', 'begin', 'August', ',', 'multiple', 'sources', 'spoken', 'former', 'president', 'told', 'ABC', 'News', '.']",24,"['will', 'not', 'or', 'both', 'of', 'the', 'which', 'in', 'who', 'have', 'to', 'the']",12,0.33,
Sentence 3,11,"['One', 'person', 'wondered', ',', '``', ""'s"", 'point', '?', ""''""]",9,"['What', 'the']",2,0.18,
Sentence 4,23,"['--', 'pointing', 'Trump', ""'s"", 'lead', 'multiple', 'polls', 'suggesting', 'duking', 'candidates', 'would', 'legitimize', '.']",13,"['to', 'in', 'and', 'that', 'it', 'out', 'with', 'other', 'only', 'them']",10,0.43,
Sentence 5,15,"['Trump', 'also', 'history', 'skipping', 'debates', ',', 'sometimes', 'last', 'minute', '.']",10,"['has', 'a', 'of', 'at', 'the']",5,0.33,
Sentence 6,9,"['final', 'decision', 'still', 'offing', '.']",5,"['A', 'is', 'in', 'the']",4,0.44,
Sentence 7,44,"['Trump', ""'s"", '2024', 'primary', 'opponents', 'possible', 'rivals', '--', 'aides', '--', 'say', 'see', 'chance', 'raise', 'profiles', 'debate', 'setting', 'Trump', ',', 'absence', ',', 'would', ""n't"", 'dominate', 'spotlight', '.']",26,"['But', 'some', 'of', 'or', 'and', 'their', 'they', 'a', 'to', 'their', 'in', 'a', 'in', 'which', 'because', 'of', 'his', 'the']",18,0.41,
Sentence 8,9,"[""'re"", 'also', 'seizing', 'another', 'attack', 'line', '.']",7,"['They', 'on']",2,0.22,
Sentence 9,22,"['``', 'think', ""n't"", 'debate', ',', 'question', ',', 'afraid', 'actually', 'challenged', '?']",11,"['I', 'that', 'if', 'he', 'does', 'the', 'is', 'is', 'he', 'of', 'being']",11,0.5,
Sentence 10,11,"['think', 'answer', ',', 'might', '.']",5,"['And', 'I', 'the', 'is', 'he', 'be']",6,0.55,
Sentence 11,25,"[""'d"", 'like', 'think', ""'s"", ',', ""''"", 'GOP', 'primary', 'candidate', 'political', 'newcomer', 'Vivek', 'Ramaswamy', 'told', 'ABC', 'News', 'interview', '.']",18,"['I', 'to', 'he', 'not', 'and', 'in', 'an']",7,0.28,
Sentence 12,60,"['``', 'Maybe', ""'ll"", 'politically', 'good', 'Trump', ""n't"", 'show', 'debate', 'stage', 'ability', 'remaining', 'time', 'make', 'case', '…', 'Frankly', ',', 'think', 'might', 'scared', 'debate', 'stage', ',', ""''"", 'said', 'Ramaswamy', ',', 'entrepreneur', 'author', '.']",31,"['it', 'be', 'for', 'me', 'if', 'does', 'up', 'on', 'the', 'because', 'we', 'have', 'an', 'to', 'each', 'have', 'more', 'to', 'our', 'own', 'I', 'he', 'be', 'of', 'being', 'on', 'a', 'an', 'and']",29,0.48,
Sentence 13,5,"['Former', 'New', 'Jersey', 'Gov', '.']",5,[],0,0.0,
Sentence 14,22,"['Chris', 'Christie', ',', 'Trump', 'confidante-turned-critic', 'ABC', 'News', 'contributor', 'mulling', 'White', 'House', 'bid', ',', 'echoed', '.']",15,"['a', 'and', 'who', 'is', 'his', 'own', 'that']",7,0.32,
Sentence 15,37,"['``', '[', ']', 'f', 'really', 'cares', 'country', ',', ""'s"", 'going', 'get', ""n't"", 'afraid', ',', ""''"", 'Christie', 'told', 'radio', 'host', 'Hugh', 'Hewitt', 'Wednesday', '.']",23,"['I', 'he', 'about', 'the', 'then', 'he', 'to', 'up', 'there', 'and', 'he', 'should', 'be', 'on']",14,0.38,
Sentence 16,28,"['``', ""'m"", 'sorry', 'see', 'Donald', 'Trump', 'feels', 'like', 'gets', 'stage', ',', ""'s"", 'risk', 'losing', 'lead', '.', ""''""]",17,"['I', 'to', 'that', 'if', 'he', 'on', 'the', 'he', 'at', 'of', 'his']",11,0.39,
