Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,22,"['Chris', 'Christie', 'says', 'Trump', 'threatening', 'skip', 'debates', '‘', '’', 'afraid', '’', 'Former', 'Republican', 'New', 'Jersey', 'Gov', '.']",17,"['is', 'to', 'because', 'he', 's']",5,0.23,
Sentence 2,25,"['Chris', 'Christie', 'Wednesday', 'branded', 'former', 'President', 'Donald', 'Trump', 'coward', 'threatening', 'participate', '2024', 'Republican', 'presidential', 'primary', 'debates', '.']",17,"['on', 'as', 'a', 'for', 'not', 'to', 'in', 'the']",8,0.32,
Sentence 3,5,"['Thanks', 'contacting', 'us', '.']",4,['for'],1,0.2,
Sentence 4,6,"[""'ve"", 'received', 'submission', '.']",4,"['We', 'your']",2,0.33,
Sentence 5,6,"['Former', 'Republican', 'New', 'Jersey', 'Gov', '.']",6,[],0,0.0,
Sentence 6,24,"['Chris', 'Christie', 'Wednesday', 'branded', 'former', 'President', 'Donald', 'Trump', 'coward', 'threatening', 'participate', '2024', 'Republican', 'presidential', 'primary', 'debates', '.']",17,"['on', 'a', 'for', 'not', 'to', 'in', 'the']",7,0.29,
Sentence 7,19,"['“', 'Obviously', ',', '’', 'afraid', ',', '”', 'Christie', 'told', 'radio', 'host', 'Hugh', 'Hewitt', 'interview', '.']",15,"['he', 's', 'during', 'an']",4,0.21,
Sentence 8,54,"['“', '’', 'afraid', 'get', 'stage', 'people', 'serious.', '”', 'Christie', ',', 'endorsed', 'Trump', '2016', 'dropping', 'GOP', 'primary', 'race', ',', 'become', 'vocal', 'critic', '76-year-old', 'former', 'commander', 'chief', 'weighing', 'another', 'run', 'White', 'House', '.']",31,"['He', 's', 'to', 'on', 'the', 'against', 'who', 'are', 'who', 'in', 'after', 'out', 'of', 'the', 'has', 'a', 'of', 'the', 'in', 'and', 'is', 'at', 'the']",23,0.43,
Sentence 9,42,"['told', 'Hewitt', 'Wednesday', 'GOP', 'hold', '“', 'many', '”', 'debates', 'possible', '“', 'open', 'format', '”', 'would', 'allow', 'follow-up', 'questions', 'prevent', 'candidates', 'providing', '“', 'soundbyte-y', 'answers', '”', 'little', 'substance', '.']",28,"['He', 'on', 'that', 'the', 'should', 'as', 'as', 'in', 'an', 'that', 'for', 'and', 'from', 'with']",14,0.33,
Sentence 10,50,"['“', 'really', 'cares', 'country', '—', 'deep', 'questions', '—', 'really', 'cares', 'country', ',', '’', 'going', 'get', ',', '’', 'afraid', ',', '”', 'Christie', 'said', 'Trump', '.']",24,"['If', 'he', 'about', 'the', 'and', 'I', 'have', 'about', 'that', 'but', 'if', 'he', 'about', 'the', 'then', 'he', 's', 'to', 'up', 'there', 'and', 'he', 'shouldn', 't', 'be', 'of']",26,0.52,
Sentence 11,39,"['“', ',', 'fact', ',', 'ideas', 'great', ',', 'leadership', 'outstanding', ',', 'lead', 'increase', 'gets', 'stage', ',', 'decrease', ',', '”', 'Christie', 'argued', '.']",21,"['If', 'in', 'his', 'are', 'so', 'if', 'his', 'is', 'so', 'then', 'his', 'will', 'only', 'if', 'he', 'on', 'the', 'not']",18,0.46,
Sentence 12,28,"['Last', 'week', ',', 'former', 'president', 'suggested', 'would', 'skipping', 'primary', 'debates', 'polling', 'far', 'ahead', '2024', 'GOP', 'rivals', '.']",17,"['the', 'that', 'he', 'be', 'the', 'because', 'he', 'is', 'so', 'of', 'his']",11,0.39,
Sentence 13,9,"['“', '’', 'leading', '40', 'points', '.']",6,"['I', 'm', 'by']",3,0.33,
Sentence 14,49,"['lot', 'people', 'say', ',', '‘', 'would', 'debate', 'people', 'two', 'three', 'fifteen', 'fourteen', '[', 'percent', ']', '?', '’', '”', 'Trump', 'told', 'John', 'Catsimatidis', ',', 'host', '“', 'Cats', '&', 'Cosby', 'Show', '”', 'WABC', '770', '.']",33,"['A', 'of', 'Why', 'you', 'do', 'a', 'when', 'you', 'have', 'at', 'and', 'and', 'and', 'of', 'the', 'on']",16,0.33,
Sentence 15,17,"['“', 'People', '’', 'debate', 'massive', 'leads', ',', '”', 'added', '.']",10,"['don', 't', 'when', 'they', 'have', 'these', 'he']",7,0.41,
Sentence 16,29,"['45th', 'president', 'also', 'said', 'site', 'second', 'scheduled', 'primary', 'debate', '–', 'Ronald', 'Reagan', 'Presidential', 'Library', 'California', '–', 'issue', '.']",18,"['The', 'that', 'the', 'of', 'the', 'the', 'in', 'was', 'an', 'for', 'him']",11,0.38,
Sentence 17,15,"['“', 'publisher', 'Washington', 'Post', 'chairman', 'Reagan', 'library', '.']",8,"['The', 'of', 'the', 'is', 'the', 'of', 'the']",7,0.47,
Sentence 18,12,"['’', 'one', 'debates', 'would', '.']",5,"['And', 'that', 's', 'where', 'of', 'the', 'be']",7,0.58,
Sentence 19,56,"['’', 'want', ',', '”', 'Trump', 'told', 'Catsimatidis', ',', 'deriding', 'newspaper', '“', 'enemy', 'people.', '”', 'Christie', '–', 'polling', '1', '%', '2', '%', '–', 'told', 'Hewitt', 'would', 'decide', 'whether', 'launch', 'presidential', 'campaign', 'next', 'two', 'weeks', '.']",34,"['I', 'don', 't', 'to', 'be', 'there', 'the', 'as', 'the', 'of', 'the', 'who', 'is', 'between', 'and', 'that', 'he', 'to', 'his', 'own', 'in', 'the']",22,0.39,
