Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,46,"['Iowa', 'lawmakers', 'pass', 'legislation', 'roll', 'back', 'child', 'labor', 'protections', '|', 'CNN', 'Politics', 'Iowa', 'legislature', 'passed', 'Republican-led', 'bill', 'would', 'roll', 'back', 'child', 'labor', 'protections', ',', 'including', 'hours', 'teens', 'allowed', 'work', 'establishments', 'employed', '.']",32,"['to', 'The', 'has', 'a', 'that', 'the', 'are', 'to', 'and', 'the', 'where', 'they', 'can', 'be']",14,0.3,
Sentence 2,33,"['Iowa', 'legislature', 'passed', 'Republican-led', 'bill', 'would', 'roll', 'back', 'child', 'labor', 'protections', ',', 'including', 'hours', 'teens', 'allowed', 'work', 'establishments', 'employed', '.']",20,"['The', 'has', 'a', 'that', 'the', 'are', 'to', 'and', 'the', 'where', 'they', 'can', 'be']",13,0.39,
Sentence 3,6,"['signed', 'Republican', 'Gov', '.']",4,"['If', 'by']",2,0.33,
Sentence 4,37,"['Kim', 'Reynolds', '–', 'expressed', 'support', 'measure', '–', 'bill', 'would', 'allow', '14-', '15-year-olds', 'work', 'two', 'additional', 'hours', 'per', 'day', 'school', 'session', ',', 'four', 'six', 'hours', '.']",25,"['who', 'has', 'for', 'the', 'the', 'and', 'to', 'when', 'is', 'in', 'from', 'to']",12,0.32,
Sentence 5,33,"['would', 'also', 'able', 'work', '9', 'p.m.', 'year', '11', 'p.m.', 'June', '1', 'Labor', 'Day', ',', 'two', 'hours', 'later', 'previously', 'allowed', '.']",20,"['They', 'be', 'to', 'until', 'during', 'most', 'of', 'the', 'and', 'until', 'from', 'to', 'than']",13,0.39,
Sentence 6,17,"['bill', 'would', 'also', 'allow', '16-', '17-year-olds', 'work', 'hours', 'adult', '.']",10,"['The', 'and', 'to', 'the', 'same', 'as', 'an']",7,0.41,
Sentence 7,44,"['Supporters', 'say', 'relaxed', 'laws', 'would', 'provide', 'greater', 'job', 'opportunities', 'teens', ',', 'though', 'opponents', 'raised', 'concerns', 'certain', 'occupations', 'permitted', 'bill', 'could', 'place', 'children', 'harm', '’', 'way', 'take', 'focus', 'away', 'school', 'extracurricular', 'activities', '.']",32,"['the', 'for', 'have', 'that', 'under', 'the', 'in', 's', 'and', 'their', 'from', 'and']",12,0.27,
Sentence 8,19,"['legislation', 'one', 'several', 'youth', 'employment', 'bills', 'across', 'country', 'aiming', 'relax', 'child', 'labor', 'protections', '.']",14,"['The', 'is', 'of', 'the', 'to']",5,0.26,
Sentence 9,34,"['growing', 'movement', 'protect', 'children', 'government', 'bill', 'undergone', 'fierce', 'debate', 'recent', 'weeks', 'lawmakers', 'made', 'several', 'amendments', 'legislation', 'passed', 'chambers', 'week', '.']",20,"['The', 'to', 'from', 'their', 'The', 'has', 'in', 'and', 'to', 'the', 'before', 'it', 'both', 'this']",14,0.41,
Sentence 10,38,"['One', 'provisions', 'bill', 'would', 'allow', 'teens', 'young', '16', 'serve', 'alcohol', 'restaurants', 'hours', 'food', 'served', 'employer', 'written', 'permission', 'parent', 'guardian', '.']",20,"['of', 'the', 'of', 'the', 'as', 'as', 'to', 'in', 'during', 'the', 'is', 'being', 'if', 'their', 'has', 'from', 'their', 'or']",18,0.47,
Sentence 11,59,"['recently', 'added', 'bipartisan', 'amendment', 'would', 'require', 'two', 'adults', 'present', 'teen', 'serves', 'alcohol', 'teen', 'complete', '“', 'training', 'prevention', 'response', 'sexual', 'harassment.', '”', 'report', 'workplace', 'harassment', 'incident', ',', 'employers', 'required', 'notify', 'parent', 'guardian', 'state', '’', 'civil', 'rights', 'commission', '.']",37,"['A', 'to', 'be', 'while', 'the', 'and', 'for', 'the', 'to', 'on', 'and', 'to', 'If', 'they', 'a', 'are', 'to', 'their', 'or', 'and', 'the', 's']",22,0.37,
