Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,36,"['Iowa', 'lawmakers', 'send', 'child', 'labor', 'bill', 'governor', '|', 'Gazette', 'Iowa', 'lawmakers', 'gave', 'final', 'passage', 'bill', 'open', 'jobs', 'teenagers', 'state', ',', 'sending', 'bill', 'Gov', '.']",24,"['to', 'The', 'to', 'a', 'that', 'will', 'more', 'to', 'in', 'the', 'the', 'to']",12,0.33,
Sentence 2,10,"['Kim', 'Reynolds', '’', 'desk', 'signed', 'law', '.']",7,"['to', 'be', 'into']",3,0.3,
Sentence 3,69,"['Subscriber', 'Services', 'Journalists', 'Sports', 'Desk', 'Columnists', 'Writers', 'Writers', 'Photojournalists', 'Data', 'Gazette', 'Links', 'FOLLOW', 'US', 'Share', 'article', ':', 'Subscriber', 'Services', 'Journalists', 'Sports', 'Desk', 'Columnists', 'Writers', 'Writers', 'Photojournalists', 'Data', 'Gazette', 'Links', 'FOLLOW', 'US', 'Home', '/', 'News', '/', 'Government', '&', 'Politics', '/', 'State', 'Government', 'Bills', 'relating', 'Iowa', 'caucuses', ',', 'tax', 'credit', 'backlog', 'also', 'advance', 'May', '.']",53,"['Our', 'Our', 'Our', 'Our', 'Our', 'More', 'Other', 'this', 'Our', 'Our', 'Our', 'Our', 'Our', 'More', 'Other', 'to']",16,0.23,
Sentence 4,10,"['3', ',', '2023', '8:08', 'pm', ',', 'Updated', ':', 'May', '.']",10,[],0,0.0,
Sentence 5,33,"['3', ',', '2023', '10:02', 'pm', 'DES', 'MOINES', '—', 'Iowa', 'lawmakers', 'gave', 'final', 'passage', 'bill', 'open', 'jobs', 'teenagers', 'state', ',', 'sending', 'bill', 'Gov', '.']",23,"['to', 'a', 'that', 'will', 'more', 'to', 'in', 'the', 'the', 'to']",10,0.3,
Sentence 6,10,"['Kim', 'Reynolds', '’', 'desk', 'signed', 'law', '.']",7,"['to', 'be', 'into']",3,0.3,
Sentence 7,38,"['Senate', 'File', '542', 'would', 'allow', 'minors', 'stock', 'shelves', 'items', '30', 'pounds', 'load', 'equipment', 'motor', 'vehicles', '15', ',', '16-', '17-year-olds', 'could', 'serve', 'alcohol', 'restaurants', 'parents', ""'"", 'permission', '.']",27,"['to', 'with', 'up', 'to', 'and', 'into', 'at', 'while', 'and', 'in', 'with']",11,0.29,
Sentence 8,20,"['Fourteen-', '15-year-olds', 'could', 'work', 'later', 'hours', ',', 'people', '16', 'could', 'work', 'hours', 'adults', '.']",14,"['and', 'and', 'over', 'the', 'same', 'as']",6,0.3,
Sentence 9,27,"['Senate', 'voted', '29-18', 'pass', 'bill', ',', 'Republicans', 'Charlie', 'McClintock', 'Alburnett', 'Jeff', 'Taylor', 'Sioux', 'Center', 'joining', 'Democrats', 'opposing', '.']",18,"['The', 'to', 'the', 'with', 'of', 'and', 'of', 'all', 'in']",9,0.33,
Sentence 10,22,"['Republican', 'supporters', 'said', 'bill', 'modernizes', 'Iowa', ""'s"", 'labor', 'laws', 'opens', 'new', 'opportunities', 'young', 'people', 'earn', 'money', '.']",17,"['have', 'the', 'and', 'to', 'to']",5,0.23,
