Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,30,"[""'Yellowstone"", ""'"", ':', 'Kevin', 'Costner', 'Returning', 'Season', '5', '(', 'Exclusive', ')', '|', 'Entertainment', 'Tonight', 'star', 'return', 'hit', 'series', 'current', 'season', '.']",21,"['Not', 'After', 'The', 'will', 'not', 'to', 'the', 'after', 'the']",9,0.3,
Sentence 2,19,"['Kevin', 'Costner', 'returning', 'Yellowstone', 'season', '5', ',', 'sources', 'close', 'production', 'tell', 'ET', '.']",13,"['is', 'not', 'to', 'after', 'to', 'the']",6,0.32,
Sentence 3,35,"['news', 'comes', 'reports', 'alleged', 'drama', 'star', 'Paramount', 'Network', 'series', 'co-creator', 'Taylor', 'Sheridan', 'actor', ""'s"", 'filming', 'commitments', 'remaining', 'episodes', 'current', 'season', '.']",21,"['The', 'after', 'of', 'between', 'the', 'of', 'the', 'and', 'over', 'the', 'to', 'the', 'of', 'the']",14,0.4,
Sentence 4,41,"['Additional', 'sources', 'also', 'tell', 'ET', 'still', 'update', 'cast', 'crew', 'going', 'return', 'Montana', ',', 'series', 'filmed', 'location', ',', 'finish', 'shooting', 'season', '5', ""'s"", 'remaining', 'episodes', '.']",25,"['that', 'there', 'is', 'no', 'on', 'when', 'the', 'and', 'are', 'to', 'to', 'where', 'the', 'is', 'on', 'to']",16,0.39,
Sentence 5,14,"['result', ',', ""'s"", 'lot', 'confusion', 'frustration', '.']",7,"['As', 'a', 'there', 'been', 'a', 'of', 'and']",7,0.5,
Sentence 6,23,"['ET', 'reached', 'Costner', ""'s"", 'reps', 'well', 'show', ""'s"", 'rep', 'comment', 'regarding', 'star', ""'s"", 'exit', '.']",15,"['has', 'out', 'to', 'as', 'as', 'the', 'for', 'the']",8,0.35,
Sentence 7,34,"['update', 'Costner', ""'s"", 'status', 'Yellowstone', 'comes', ',', 'Sheridan', 'well', 'rest', 'cast', 'no-shows', 'previously', 'announced', 'panel', 'PaleyFest', 'Los', 'Angeles', '.']",19,"['The', 'on', 'on', 'after', 'he', 'as', 'as', 'the', 'of', 'the', 'were', 'at', 'a', 'at', 'in']",15,0.44,
Sentence 8,36,"['came', 'nearly', 'two', 'months', 'first', 'reported', 'Yellowstone', 'might', 'come', 'end', 'current', 'form', 'sooner', 'expected', 'amid', 'Deadline', 'report', 'alleging', 'disagreements', 'Costner', ""'s"", 'filming', 'schedule', '.']",24,"['This', 'after', 'it', 'was', 'that', 'to', 'an', 'in', 'its', 'than', 'a', 'over']",12,0.33,
Sentence 9,48,"['time', ',', 'spokesperson', 'Paramount', 'Network', 'told', 'ET', 'network', '``', 'news', 'report', ',', ""''"", 'adding', 'Costner', '``', 'big', 'part', 'Yellowstone', 'hope', ""'s"", 'case', 'long', 'time', 'come', '.', ""''""]",27,"['At', 'the', 'a', 'for', 'that', 'the', 'had', 'no', 'to', 'while', 'that', 'is', 'a', 'of', 'and', 'we', 'that', 'the', 'for', 'a', 'to']",21,0.44,
Sentence 10,36,"['February', ',', 'ET', 'sat', 'Puck', 'News', 'reporter', 'Matthew', 'Belloni', ',', 'first', 'report', 'on-set', 'challenges', 'disagreements', 'reportedly', 'plagued', 'show', 'fifth', 'season', '.']",21,"['In', 'down', 'with', 'who', 'was', 'the', 'to', 'on', 'the', 'and', 'that', 'have', 'the', 'during', 'its']",15,0.42,
Sentence 11,39,"['``', 'Yellowstone', 'really', 'limbo', 'right', 'figure', 'whether', 'Costner', 'coming', 'back', ',', 'likely', ',', 'whether', ""'s"", 'going', 'written', 'show', ',', ""''"", 'Belloni', 'explained', '.']",23,"['is', 'in', 'now', 'until', 'they', 'can', 'out', 'is', 'or', 'more', 'he', 'to', 'be', 'out', 'of', 'the']",16,0.41,
