Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,39,"['Florida', '’', 'Retirees', 'Fleeing', ':', '’', '’', 'Going', 'Instead', 'thought', 'ideal', 'place', 'live', 'one', ""'s"", 'golden', 'years', ',', 'Florida', 'quickly', 'losing', 'favor', 'retirees', '.']",24,"['s', 'Are', 'Here', 's', 'Where', 'They', 're', 'Once', 'of', 'as', 'the', 'to', 'out', 'is', 'with']",15,0.38,
Sentence 2,41,"['Remote', 'workers', 'wealthy', 'flocking', 'state', 'driving', 'home', 'prices', ',', '...', 'thought', 'ideal', 'place', 'live', 'one', '’', 'golden', 'years', ',', 'Florida', 'quickly', 'losing', 'favor', 'retirees', '.']",25,"['and', 'the', 'are', 'to', 'the', 'and', 'up', 'Once', 'of', 'as', 'the', 'to', 'out', 's', 'is', 'with']",16,0.39,
Sentence 3,26,"['Remote', 'workers', 'wealthy', 'flocking', 'state', 'driving', 'home', 'prices', ',', 'leaving', 'fixed', 'income', 'feeling', 'pinch', '.']",15,"['and', 'the', 'are', 'to', 'the', 'and', 'up', 'those', 'on', 'a', 'the']",11,0.42,
Sentence 4,42,"['See', ':', '7', 'Florida', 'Cities', 'Could', 'Headed', 'Housing', 'CrisisFind', ':', '3', 'Ways', 'Recession-Proof', 'Retirement', 'half', 'decade', ',', 'median', 'price', 'single-family', 'house', 'Florida', 'rose', '$', '150,000', '60', '%', '.']",28,"['That', 'Be', 'For', 'a', 'To', 'Your', 'In', 'just', 'a', 'the', 'of', 'a', 'in', 'or']",14,0.33,
Sentence 5,18,"['According', 'Redfin', ',', 'average', 'cost', 'home', 'March', '2018', 'approximately', '$', '250,000', '.']",12,"['to', 'the', 'of', 'a', 'in', 'was']",6,0.33,
Sentence 6,10,"['March', '2023', ',', 'roughly', '$', '400,000', '.']",7,"['In', 'it', 'was']",3,0.3,
Sentence 7,15,"['expensive', 'housing', '’', 'thing', 'repelling', 'retirees', 'state', '.']",8,"['But', 'isn', 't', 'the', 'only', 'from', 'the']",7,0.47,
Sentence 8,13,"['Inflation', 'stock', 'market', 'dips', 'also', 'negatively', 'impacted', 'financial', 'situation', '.']",10,"['and', 'have', 'their']",3,0.23,
Sentence 9,13,"['response', ',', 'seniors', 'seeking', 'affordable', 'places', 'call', 'home', '.']",9,"['In', 'are', 'more', 'to']",4,0.31,
Sentence 10,19,"['example', ',', 'many', 'moving', 'Baldwin', 'County', ',', 'Alabama', ',', 'fastest-growing', 'county', 'state', '.']",13,"['For', 'are', 'to', 'the', 'in', 'the']",6,0.32,
Sentence 11,29,"['area', 'boasts', 'beaches', ',', 'warm', 'weather', 'low', 'property', 'taxes', ',', 'makes', 'sense', '’', 'considered', 'substitute', 'Sunshine', 'State', '.']",18,"['The', 'and', 'so', 'it', 'only', 'that', 'it', 's', 'a', 'for', 'The']",11,0.38,
Sentence 12,21,"['’', 'nearing', 'retirement', ',', 'may', 'want', 'choose', 'less', 'traditional', 'region', 'reside', 'post-work', '.']",13,"['If', 'you', 're', 'you', 'to', 'a', 'to', 'in']",8,0.38,
Sentence 13,30,"['Towns', 'like', 'Sequim', ',', 'Washington', ',', 'Linden', ',', 'Michigan', ',', 'Thermopolis', ',', 'Wyoming', 'offer', 'perks', 'like', 'affordable', 'housing', ',', 'favorable', 'tax', 'treatment', 'proximity', 'major', 'metros', '.']",26,"['and', 'more', 'and', 'to']",4,0.13,
Sentence 14,46,"['Explore', ':', '10', 'States', 'Avoid', '’', 'Living', 'Social', 'Security', 'CheckLearn', ':', '6', 'Types', 'Retirement', 'Income', '’', 'Taxable', 'matter', 'live', ',', 'certain', 'things', 'money', '.']",24,"['To', 'If', 'You', 're', 'on', 'Just', 'a', 'of', 'That', 'Aren', 't', 'But', 'no', 'where', 'you', 'there', 'are', 'you', 'should', 'do', 'with', 'your']",22,0.48,
Sentence 15,28,"['example', ',', 'continue', 'invest', ',', 'set', 'aside', 'money', 'emergencies', ',', 'maintain', 'up-to-date', 'estate', 'plan', 'stay', '(', 'become', ')', 'debt-free', '.']",20,"['For', 'you', 'should', 'to', 'for', 'an', 'and', 'or']",8,0.29,
Sentence 16,14,"['way', ',', 'cash', 'stretches', ',', 'feel', 'secure', '.']",8,"['That', 'your', 'further', 'and', 'you', 'more']",6,0.43,
Sentence 17,64,"['GOBankingRates', '5', 'Expensive', 'Renovations', 'Homeowners', 'Always', 'Regret', 'Financial', 'Insight', 'Inbox', ':', 'Sign', 'GBR', ""'s"", 'Daily', 'Newsletter', '3', 'Ways', 'Recession', 'Proof', 'Retirement', '7', 'Things', 'Must', 'Create', 'Plan', 'Money', 'article', 'originally', 'appeared', 'GOBankingRates.com', ':', 'Florida', '’', 'Retirees', 'Fleeing', ':', '’', '’', 'Going', 'Instead']",41,"['More', 'From', 'in', 'Your', 'Up', 'for', 'to', 'Your', 'You', 'Do', 'To', 'a', 'for', 'Your', 'This', 'on', 's', 'Are', 'Here', 's', 'Where', 'They', 're']",23,0.36,
