Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,38,"['Florida', ""'s"", 'Retirees', 'Fleeing', ':', ""'s"", ""'re"", 'Going', 'Instead', '|', 'GOBankingRates', 'thought', 'ideal', 'place', 'live', 'one', ""'s"", 'golden', 'years', ',', 'Florida', 'quickly', 'losing', 'favor', 'retirees', '.']",26,"['Are', 'Here', 'Where', 'They', 'Once', 'of', 'as', 'the', 'to', 'out', 'is', 'with']",12,0.32,
Sentence 2,515,"['Remote', 'workers', 'wealthy', 'flocking', 'state', 'driving', 'home', 'prices', ',', '...', 'Open', 'Bank', 'Account', 'Top', 'Money', 'Experts', 'Invest', 'Gold', 'Tools', 'Calculators', 'Retirement', 'Mortgage', 'Gas', 'Tax', 'Search', 'Banking', 'Learn', 'Savings', 'Accounts', 'Checking', 'Accounts', 'Certificate', 'Deposit', 'Money', 'Market', 'Accounts', 'Credit', 'Unions', 'Interest', 'Rates', 'Reviews', 'Get', 'Started', 'Best', 'Banks', 'Best', 'Savings', 'Accounts', 'Best', 'Checking', 'Accounts', 'Best', 'CD', 'Rates', 'Best', 'Neobanks', 'Best', 'Online', 'Neobank', 'Savings', 'Accounts', 'Best', 'Online', 'Banks', 'Best', 'Regional', 'Banks', 'Best', 'Credit', 'Unions', 'FIND', 'BEST', 'BANK', 'Featured', 'Best', 'Banks', '2023', 'Latest', 'Mortgage', 'Top', 'Money', 'Experts', 'Economy', 'Explained', 'Investing', 'Learn', 'Stocks', 'Bonds', 'Cryptocurrency', 'Brokerages', 'Funds', 'Investing', 'Strategy', 'Reviews', 'Get', 'Started', 'Best', 'Investments', 'Best', 'Mutual', 'Funds', 'Best', 'Stocks', 'Beginners', 'Cheap', 'Stocks', 'Buy', 'Best', 'Cryptocurrency', 'Invest', 'Next', 'Big', 'Cryptocurrency', 'FIND', 'BEST', 'BANK', 'Featured', 'Real', 'Estate', 'Crypto', 'GO', 'Top', 'Money', 'Experts', 'Economy', 'Explained', 'Credit', 'Cards', 'Learn', 'News', '&', 'Advice', 'Rewards', 'Retail', 'Balance', 'Transfer', 'Reviews', 'Get', 'Started', 'Best', 'Credit', 'Cards', '2023', 'Best', 'Reward', 'Credit', 'Cards', 'Best', 'Balance', 'Transfer', 'Credit', 'Cards', 'Best', 'Cash', 'Back', 'Credit', 'Cards', 'Critics', ""'"", 'Choice', 'Credit', 'Cards', 'Best', 'Travel', 'Credit', 'Cards', 'Best', 'Airline', 'Credit', 'Cards', 'Check', 'Credit', 'Raise', 'Credit', 'Repair', 'Credit', 'FIND', 'BEST', 'CARD', 'Featured', 'Financially', 'Savvy', 'Female', 'GEN', 'Z', ':', 'Future', 'Finance', 'Economy', 'Explained', 'Top', 'Money', 'Experts', 'Loans', 'Learn', 'Home', 'Loans', 'Student', 'Loans', 'Personal', 'Loans', 'Auto', 'Loans', 'Get', 'Started', 'Best', 'Student', 'Loan', 'Refinance', 'Options', 'Best', 'Personal', 'Loans', 'Best', 'Auto', 'Loans', 'SEE', 'MADE', 'LIST', 'YEAR', 'Featured', 'Financially', 'Savvy', 'Female', 'GEN', 'Z', ':', 'Future', 'Finance', 'Economy', 'Explained', 'Retirement', 'Age', 'Retirement', 'Learn', '401', '(', 'k', ')', 'IRAs', 'Social', 'Security', 'Retirement', 'Planning', 'Get', 'Started', '401', '(', 'k', ')', 'Beginners', 'IRAs', 'Beginners', 'IRAs', 'vs.', '401', '(', 'k', ')', 'Retirement', 'Savings', 'Retire', 'Early', 'FIND', 'BEST', 'BANK', 'Featured', 'Retirement', 'Age', 'News', '&', 'Events', 'Financially', 'Savvy', 'Female', 'Top', 'Money', 'Experts', 'Saving', '&', 'Spending', 'Learn', 'Saving', 'Money', 'Money', 'Shopping', 'Budgeting', 'Home', 'Tips', 'Net', 'Worth', 'Financial', 'Planning', 'Travel', 'Get', 'Started', 'Create', 'Budget', 'Manage', 'Debt', 'Apply', 'Mortgage', 'Live', 'Richer', 'Podcast', 'Create', 'Financial', 'Plan', 'SEE', 'MADE', 'LIST', 'YEAR', 'Featured', 'Tax', 'Guide', 'Economy', 'Explained', 'Best', 'Banks', '2023', 'Top', 'Money', 'Experts', 'Trending', 'Trending', 'Topics', 'News', '&', 'Events', 'Crypto', 'Go', 'Travel', 'Rich', 'Tax', 'Guide', 'Back', 'School', 'Finances', 'GEN', 'Z', ':', 'Future', 'Finances', 'Small', 'Business', 'Spotlight', 'Best', 'Banks', '2023', 'Financially', 'Savvy', 'Female', 'Economy', 'Explained', 'Top', 'Money', 'Experts', 'Retirement', 'Age', 'Jobs', 'Side', 'Gigs', 'SEE', 'MADE', 'LIST', 'YEAR', 'Featured', 'Tax', 'Guide', 'Best', 'Banks', '2023', 'Financially', 'Savvy', 'Female', 'Live', 'Richer', 'Podcast', 'Trending', 'Tools', 'Search', 'Menu', 'Trending', 'articles', 'Featured', 'Top', 'Money', 'Experts', 'News', '&', 'Events', 'Crypto', 'Go', 'Live', 'Richer', 'Podcast', 'Financially', 'Savvy', 'Female', 'Categories', 'Banking', 'Investing', 'Credit', 'Cards', 'Loans', 'Retirement', 'Saving', '&', 'Spending', 'Trending', 'Hubs', 'Financially', 'Savvy', 'Female', 'GEN', 'Z', ':', 'Future', 'Finance', 'Economy', 'Explained', 'Retirement', 'Age', 'Many', 'offers', 'appearing', 'site', 'advertisers', 'website', 'receives', 'compensation', 'listed', '.']",433,"['and', 'the', 'are', 'to', 'the', 'and', 'up', 'In', 'of', 'and', 'THE', 'FOR', 'YOU', 'on', 'for', 'to', 'Now', 'to', 'In', 'THE', 'FOR', 'YOU', 'on', 'the', 'THE', 'FOR', 'YOU', 'The', 'of', 'WHO', 'OUR', 'THIS', 'The', 'of', 'at', 'Any', 's', 's', 'for', 'for', 's', 'THE', 'FOR', 'YOU', 'at', 'Any', 'a', 'for', 'a', 'a', 'WHO', 'OUR', 'THIS', 'on', 'the', 'to', 'The', 'of', 'at', 'Any', 'and', 'WHO', 'OUR', 'THIS', 'on', 'the', 'The', 'of', 'at', 'Any', 'of', 'the', 'on', 'this', 'are', 'from', 'from', 'which', 'this', 'for', 'being', 'here']",82,0.16,
Sentence 3,26,"['compensation', 'may', 'impact', 'products', 'appear', 'site', '(', 'including', ',', 'example', ',', 'order', 'appear', ')', '.']",15,"['This', 'how', 'and', 'where', 'on', 'this', 'for', 'the', 'in', 'which', 'they']",11,0.42,
Sentence 4,16,"['offers', 'represent', 'available', 'deposit', ',', 'investment', ',', 'loan', 'credit', 'products', '.']",11,"['These', 'do', 'not', 'all', 'or']",5,0.31,
Sentence 5,22,"['Many', 'offers', 'appearing', 'site', 'advertisers', 'website', 'receives', 'compensation', 'listed', '.']",10,"['of', 'the', 'on', 'this', 'are', 'from', 'from', 'which', 'this', 'for', 'being', 'here']",12,0.55,
Sentence 6,26,"['compensation', 'may', 'impact', 'products', 'appear', 'site', '(', 'including', ',', 'example', ',', 'order', 'appear', ')', '.']",15,"['This', 'how', 'and', 'where', 'on', 'this', 'for', 'the', 'in', 'which', 'they']",11,0.42,
Sentence 7,16,"['offers', 'represent', 'available', 'deposit', ',', 'investment', ',', 'loan', 'credit', 'products', '.']",11,"['These', 'do', 'not', 'all', 'or']",5,0.31,
Sentence 8,24,"['thought', 'ideal', 'place', 'live', 'one', '’', 'golden', 'years', ',', 'Florida', 'quickly', 'losing', 'favor', 'retirees', '.']",15,"['Once', 'of', 'as', 'the', 'to', 'out', 's', 'is', 'with']",9,0.38,
Sentence 9,26,"['Remote', 'workers', 'wealthy', 'flocking', 'state', 'driving', 'home', 'prices', ',', 'leaving', 'fixed', 'income', 'feeling', 'pinch', '.']",15,"['and', 'the', 'are', 'to', 'the', 'and', 'up', 'those', 'on', 'a', 'the']",11,0.42,
Sentence 10,22,"['half', 'decade', ',', 'median', 'price', 'single-family', 'house', 'Florida', 'rose', '$', '150,000', '60', '%', '.']",14,"['In', 'just', 'a', 'the', 'of', 'a', 'in', 'or']",8,0.36,
