Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,54,"['Controversial', ""'Palm"", 'Springs', 'Babies', ""'"", 'art', 'exhibit', 'removed', 'nearly', '5', 'years', '-', 'KESQ', '``', 'Palm', 'Springs', 'Babies', ""''"", 'art', 'exhibit', ',', 'consisting', 'ten', '300-pound', 'sculptures', ',', 'removed', 'central', 'location', 'pit', 'next', 'downtown', 'park', 'Palm', 'Springs', 'nearly', 'five', 'years', '.']",39,"['will', 'be', 'after', 'The', 'of', 'is', 'being', 'from', 'its', 'in', 'the', 'to', 'the', 'in', 'after']",15,0.28,
Sentence 2,23,"['Palm', 'Springs', 'Babies', 'exhibit', 'heading', 'museum', 'show', 'Tijuana', ',', 'Mexico', ',', 'end', 'May', '.']",14,"['The', 'will', 'be', 'to', 'a', 'in', 'by', 'the', 'of']",9,0.39,
Sentence 3,25,"['intended', 'limited-time', 'engagement', ',', 'ended', 'staying', 'much', 'longer', 'due', 'construction', 'delays', 'Grit', 'Development', 'downtown', 'project', '.']",16,"['It', 'was', 'as', 'a', 'but', 'up', 'to', 'in', 'the']",9,0.36,
Sentence 4,20,"['exhibit', ',', 'created', 'Czech', 'artist', 'David', 'Černý', ',', 'stirred', 'controversy', 'since', 'unveiling', 'June', '2018', '.']",15,"['The', 'by', 'has', 'its', 'in']",5,0.25,
Sentence 5,27,"['Christian', 'Hohmann', ',', 'President', 'CEO', 'Hohmann', 'Inc.', ',', 'gallery', 'representing', 'Černý', ',', 'said', 'exhibit', 'always', 'meant', 'provocative', '.']",18,"['the', 'and', 'of', 'the', 'that', 'the', 'was', 'to', 'be']",9,0.33,
Sentence 6,16,"['``', 'reaction', 'split', ',', 'either', 'love', 'hate', '.']",8,"['The', 'was', 'very', 'it', 'was', 'it', 'or', 'it']",8,0.5,
Sentence 7,17,"['way', ',', 'exactly', 'artist', 'wanted', ',', ""''"", 'Hohmann', 'said', '.']",10,"['And', 'in', 'a', 'that', 'is', 'what', 'the']",7,0.41,
Sentence 8,34,"['sculptures', ',', 'designed', 'look', 'like', 'babies', 'barcode', 'faces', ',', 'become', 'tourist', 'destination', 'years', ',', 'also', 'faced', 'criticism', 'found', 'disturbing', '.']",20,"['The', 'which', 'were', 'to', 'with', 'have', 'a', 'over', 'the', 'but', 'from', 'some', 'who', 'them']",14,0.41,
Sentence 9,6,"['``', 'face', 'gone', '.']",4,"['The', 'is']",2,0.33,
Sentence 10,9,"['rattles', 'people', '.']",3,"['And', 'that', 'is', 'what', 'the', 'most']",6,0.67,
Sentence 11,16,"['supposed', 'stamp', 'barcode', ',', ""''"", 'Hohmann', 'said', '.']",8,"['So', 'this', 'is', 'to', 'be', 'the', 'of', 'a']",8,0.5,
Sentence 12,23,"['sculptures', 'repainted', 'refurbished', 'due', 'harsh', 'conditions', 'endured', 'sun', 'sand', '.']",10,"['The', 'will', 'have', 'to', 'be', 'and', 'to', 'the', 'they', 'have', 'from', 'the', 'and']",13,0.57,
Sentence 13,40,"['uncertain', 'exhibit', 'ever', 'return', 'Palm', 'Springs', ',', 'Hohmann', 'revealed', 'possible', 'art', 'exhibits', 'making', 'site', ',', 'owned', 'Michael', 'Braun', 'Grit', 'Development', '.']",21,"['While', 'it', 'is', 'if', 'the', 'will', 'to', 'that', 'there', 'are', 'other', 'in', 'the', 'for', 'the', 'which', 'is', 'by', 'of']",19,0.47,
Sentence 14,30,"['Jump', 'comments', '↓', 'Joining', 'News', 'Channel', '3', 'CBS', 'Local', '2', 'reporter', ',', 'Jake', 'excited', 'launching', 'broadcasting', 'career', 'desert', '.']",19,"['to', 'and', 'as', 'a', 'is', 'to', 'be', 'his', 'here', 'in', 'the']",11,0.37,
Sentence 15,6,"['Learn', 'Jake', '.']",3,"['more', 'about', 'here']",3,0.5,
Sentence 16,15,"['News', 'Channel', '3', 'committed', 'providing', 'forum', 'civil', 'constructive', 'conversation', '.']",10,"['is', 'to', 'a', 'for', 'and']",5,0.33,
Sentence 17,8,"['Please', 'keep', 'comments', 'respectful', 'relevant', '.']",6,"['your', 'and']",2,0.25,
Sentence 18,24,"['review', 'Community', 'Guidelines', 'clicking', 'would', 'like', 'share', 'story', 'idea', ',', 'please', 'submit', '.']",13,"['You', 'can', 'our', 'by', 'here', 'If', 'you', 'to', 'a', 'it', 'here']",11,0.46,
Sentence 19,2,"['Accessibility', 'Tools']",2,[],0,0.0,
