Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,11,"['House', 'Republicans', '’', 'Budget', 'Bill', '’', 'Spare', 'Veterans', '.']",9,"['Doesn', 't']",2,0.18,
Sentence 2,7,"['Democrats', 'Making', 'Regret', '.']",4,"['Are', 'Them', 'It']",3,0.43,
Sentence 3,16,"['GOP', 'says', 'would', 'never', 'sign', 'cuts', 'veterans', '’', 'benefits', '.']",10,"['But', 'the', 'it', 'off', 'on', 'to']",6,0.38,
Sentence 4,30,"['House', 'Republicans', 'passed', 'government', 'funding', 'bill', 'last', 'week', 'would', 'enact', 'massive', 'federal', 'spending', 'cuts', 'raise', 'so-called', 'national', 'debt', 'ceiling', 'less', 'year', '.']",22,"['a', 'that', 'both', 'and', 'the', 'for', 'than', 'a']",8,0.27,
Sentence 5,35,"['House', 'Speaker', 'Kevin', 'McCarthy', '(', 'R-Calif.', ')', 'deputies', 'celebrated', 'passage', 'Limit', ',', 'Save', ',', 'Grow', 'Act', ',', 'using', 'occasion', 'challenge', 'President', 'Joe', 'Biden', 'begin', 'bargaining', '.']",26,"['and', 'his', 'of', 'the', 'the', 'to', 'to', 'with', 'him']",9,0.26,
Sentence 6,23,"['“', 'Continuing', 'ignore', 'problem', 'option', ',', '”', 'House', 'GOP', 'leaders', 'said', 'statement', 'Wednesday', '.']",14,"['to', 'the', 'is', 'not', 'an', 'the', 'in', 'a', 'on']",9,0.39,
Sentence 7,28,"['“', 'President', 'must', 'come', 'table', 'negotiate.', '”', 'House', 'Democrats', 'wasted', 'time', 'trying', 'turn', 'bill', 'political', 'liability', '.']",17,"['The', 'to', 'the', 'to', 'But', 'have', 'no', 'to', 'the', 'into', 'a']",11,0.39,
Sentence 8,37,"['depicting', 'legislation', ',', 'explicitly', 'exempt', 'Department', 'Veterans', 'Affairs', 'federal', 'spending', 'caps', ',', 'devastating', 'cut', 'health', 'care', 'cash', 'benefits', 'military', 'veterans', 'receive', '.']",22,"['They', 'are', 'the', 'which', 'does', 'not', 'the', 'of', 'from', 'as', 'a', 'to', 'the', 'and', 'that']",15,0.41,
Sentence 9,45,"['“', 'fundamental', 'breaking', 'faith', 'people', 'risked', 'lives', 'country', ',', '”', 'Rep.', 'Pat', 'Ryan', '(', 'D-N.Y.', ')', ',', 'Iraq', 'War', 'veteran', 'running', 'reelection', 'swing', 'seat', ',', 'told', 'HuffPost', 'phone', 'Monday', '.']",30,"['It', 'is', 'a', 'of', 'with', 'that', 'their', 'for', 'the', 'an', 'for', 'in', 'a', 'by', 'on']",15,0.33,
Sentence 10,22,"['House', 'bill', 'conservative', 'likely', 'become', 'law', 'Biden', 'Senate', 'Democrats', 'weigh', '.']",11,"['The', 'itself', 'is', 'more', 'than', 'what', 'is', 'to', 'after', 'and', 'in']",11,0.5,
Sentence 11,20,"['National', 'Democratic', 'Party', 'organs', 'nonetheless', 'vowing', 'use', 'vote', 'Republicans', 'competitive', 'House', 'races', '2024', '.']",14,"['are', 'to', 'the', 'against', 'in', 'in']",6,0.3,
Sentence 12,62,"['spokesperson', 'Democratic', 'Congressional', 'Campaign', 'Committee', ',', 'House', 'Democrats', '’', 'campaign', 'arm', ',', 'said', 'statement', 'Wednesday', '“', 'extremists', 'answer', 'hypocrisy', 'voters', '2024.', '”', 'House', 'Majority', 'PAC', ',', 'House', 'Democrats', '’', 'main', 'super', 'PAC', ',', 'explicit', 'plans', 'feature', 'vote', 'paid', 'communication', '.']",40,"['A', 'for', 'the', 'in', 'a', 'on', 'that', 'these', 'will', 'have', 'to', 'for', 'their', 'to', 'in', 'was', 'more', 'about', 'its', 'to', 'the', 'in']",22,0.35,
Sentence 13,36,"['“', 'House', 'Majority', 'PAC', 'use', 'extreme', 'votes', 'MAGA', 'Republicans', 'slash', 'veterans', 'care', '22', '%', 'races', 'across', 'country', 'ensure', 'Democrats', 'take', 'back', 'House', ',', '”', 'C.J', '.']",26,"['will', 'these', 'by', 'to', 'by', 'in', 'the', 'to', 'that', 'the']",10,0.28,
Sentence 14,16,"['Warnke', ',', 'spokesperson', 'House', 'Majority', 'PAC', ',', 'told', 'HuffPost', 'Monday', 'statement', '.']",12,"['a', 'for', 'in', 'a']",4,0.25,
Sentence 15,22,"['Biden', 'got', 'dig', 'via', 'Twitter', 'Tuesday', ',', 'posting', 'simplified', 'flow', 'chart', 'said', 'explained', 'charge', '.']",15,"['in', 'his', 'own', 'on', 'a', 'he', 'the']",7,0.32,
Sentence 16,12,"['Taking', 'criticism', 'seriously', ',', 'House', 'Republicans', 'defensive', '.']",8,"['the', 'are', 'on', 'the']",4,0.33,
Sentence 17,83,"['Sunday', ',', 'convened', 'conference', 'call', 'reporters', 'angrily', 'deny', 'charges', ',', 'accusing', 'Democrats', '“', 'shamelessly', 'lying.', '”', '“', 'Democrats', 'realize', 'wrong', 'side', 'debt', 'crisis', 'making', 'false', 'attacks', 'thin', 'air', 'attempt', 'deflect', 'unpopular', 'untenable', 'position', ',', '”', 'Reinert', ',', 'spokesperson', 'National', 'Republican', 'Congressional', 'Committee', ',', 'House', 'Republicans', '’', 'campaign', 'arm', ',', 'told', 'HuffPost', 'statement', '.']",53,"['On', 'they', 'a', 'with', 'to', 'the', 'of', 'they', 'are', 'on', 'the', 'of', 'the', 'and', 'are', 'up', 'out', 'of', 'in', 'an', 'to', 'from', 'their', 'and', 'Will', 'a', 'for', 'the', 'in', 'a']",30,0.36,
Sentence 18,37,"['debate', 'characterize', 'potential', 'effects', 'House', 'Republicans', '’', 'bill', 'revolves', 'around', 'much', 'credence', 'give', 'Republican', 'leaders', '’', 'spoken', 'assurances', 'spending', 'caps', 'would', 'affect', 'veterans', '’', 'benefits', '.']",26,"['The', 'over', 'how', 'to', 'the', 'of', 'how', 'to', 'that', 'the', 'not']",11,0.3,
Sentence 19,22,"['“', 'bring', 'bill', 'cuts', 'veterans', ',', '”', 'House', 'Majority', 'Leader', 'Steve', 'Scalise', '(', 'R-La', '.', ')']",16,"['I', 'will', 'not', 'a', 'that', 'our']",6,0.27,
