Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,60,"['Republicans', 'Push', 'Back', 'Democratic', 'Claims', 'Veterans', ""'"", 'Health', 'Care', 'Cuts', 'GOP', 'Debt', 'Limit', 'Bill', '-', 'FactCheck.org', ""D'Angelo"", 'Gore', 'Posted', 'May', '3', ',', '2023', 'House', 'Republicans', 'narrowly', 'passed', 'bill', 'late', 'last', 'month', 'would', 'temporarily', 'suspend', 'raise', 'federal', 'debt', 'limit', 'significantly', 'reducing', 'caps', 'discretionary', 'spending', 'next', '10', 'years', '.']",47,"['on', 'of', 'in', 'By', 'on', 'a', 'that', 'or', 'the', 'while', 'on', 'for', 'the']",13,0.22,
Sentence 2,20,"['legislation', 'identify', 'discretionary', 'programs', 'would', 'would', 'see', 'future', 'spending', 'cuts', 'proposal', '.']",12,"['The', 'does', 'not', 'which', 'or', 'not', 'under', 'the']",8,0.4,
Sentence 3,25,"['However', ',', 'Democrats', 'claimed', 'bill', 'would', 'lead', 'deep', 'cuts', 'several', 'areas', ',', 'including', 'health', 'benefits', 'military', 'veterans', '.']",18,"['some', 'have', 'that', 'the', 'to', 'in', 'for']",7,0.28,
Sentence 4,73,"['“', 'makes', 'series', 'deeply', 'devastating', 'unpopular', 'cuts', 'things', 'like', 'veterans', '’', 'health', 'benefits', ',', '”', 'White', 'House', 'Press', 'Secretary', 'Karine', 'Jean-Pierre', 'said', 'May', '2', ',', 'adding', 'Department', 'Veterans', 'Affairs', 'would', '“', 'gutted.', '”', 'GOP', 'lawmakers', 'called', 'Democratic', 'claims', '“', 'lie', '”', 'argued', 'congressional', 'Republicans', 'intend', 'scale', 'back', 'spending', 'services', 'veterans', '.']",51,"['It', 'a', 'of', 'and', 'to', 'on', 'that', 'the', 'of', 'be', 'But', 'some', 'have', 'such', 'a', 'and', 'that', 'do', 'not', 'to', 'on', 'for']",22,0.3,
Sentence 5,36,"['“', 'Joe', 'Biden', 'Democrats', 'yet', 'shamelessly', 'lying', 'American', 'people', ',', '”', 'Rep.', 'Elise', 'Stefanik', ',', 'chair', 'House', 'Republican', 'Conference', ',', 'wrote', 'May', '1', 'tweet', '.']",25,"['and', 'the', 'are', 'again', 'to', 'the', 'the', 'of', 'the', 'in', 'a']",11,0.31,
Sentence 6,46,"['“', 'absolutely', 'cuts', 'veterans', 'benefits', ',', 'VA', 'Limit', ',', 'Save', ',', 'Grow', 'Act.', '”', '’', 'true', 'bill', 'mention', 'spending', 'cuts', 'veterans', ',', 'exempt', 'either', '.']",25,"['There', 'are', 'NO', 'to', 'or', 'the', 'in', 'the', 'and', 'It', 's', 'that', 'the', 'does', 'not', 'for', 'but', 'it', 'does', 'not', 'them']",21,0.46,
Sentence 7,26,"['specific', 'cuts', 'would', 'determined', 'later', ',', 'appropriations', 'process', '—', 'House-passed', 'bill', 'became', 'law', ',', 'unlikely', 'happen', '.']",17,"['The', 'be', 'during', 'the', 'if', 'the', 'which', 'is', 'to']",9,0.35,
Sentence 8,24,"['Senate', 'Majority', 'Leader', 'Chuck', 'Schumer', 'said', 'bill', 'dead', 'arrival', 'Senate', ',', 'controlled', 'Democratic', 'caucus', '.']",15,"['the', 'is', 'on', 'in', 'the', 'which', 'is', 'by', 'the']",9,0.38,
Sentence 9,24,"['White', 'House', 'also', 'opposes', 'bill', 'said', 'President', 'Joe', 'Biden', 'would', 'sign', 'even', 'reached', 'desk', '.']",15,"['The', 'the', 'and', 'has', 'not', 'it', 'if', 'it', 'his']",9,0.38,
Sentence 10,34,"['’', 'explain', 'Democrats', 'claim', 'legislation', 'threat', 'veterans', ',', 'well', 'Republicans', 'claim', 'opposing', 'bill', 'simply', 'using', 'fear', 'tactics', '.']",18,"['Here', 'we', 'll', 'why', 'that', 'the', 'is', 'a', 'to', 'as', 'as', 'why', 'that', 'those', 'the', 'are']",16,0.47,
Sentence 11,46,"['Treasury', 'Secretary', 'Janet', 'Yellen', 'informed', 'Congress', 'May', '1', 'letter', 'U.S.', 'could', 'default', '$', '31.4', 'trillion', 'debt', 'soon', 'June', '1', ',', 'Republicans', 'Democrats', 'fail', 'reach', 'agreement', 'lift', 'debt', 'limit', 'time', '.']",30,"['in', 'a', 'that', 'the', 'on', 'its', 'as', 'as', 'if', 'and', 'to', 'an', 'to', 'the', 'before', 'that']",16,0.35,
Sentence 12,26,"['April', '26', ',', 'House', 'Republicans', 'passed', 'proposal', '—', 'Limit', ',', 'Save', ',', 'Grow', 'Act', '—', 'vote', '217', '215', '.']",19,"['On', 'their', 'the', 'by', 'a', 'of', 'to']",7,0.27,
Sentence 13,26,"['would', 'extend', 'borrowing', 'limit', 'March', '31', ',', '2024', ',', 'debt', 'increases', '$', '1.5', 'trillion', ',', 'whichever', 'comes', 'first', '.']",19,"['It', 'the', 'through', 'or', 'until', 'the', 'by']",7,0.27,
Sentence 14,45,"['exchange', ',', 'starting', 'fiscal', 'year', '2024', ',', 'bill', 'would', 'cap', 'discretionary', 'budget', 'authority', '$', '1.47', 'trillion', '—', 'similar', 'fiscal', 'year', '2022', 'levels', '—', 'restrict', 'future', 'growth', 'spending', '1', '%', 'per', 'year', 'decade', '.']",33,"['In', 'in', 'the', 'at', 'about', 'to', 'and', 'then', 'in', 'to', 'for', 'a']",12,0.27,
Sentence 15,29,"['(', 'Discretionary', 'spending', 'refers', 'spending', 'authorized', 'annual', 'appropriations', 'legislation', 'separate', 'mandatory', 'spending', 'programs', 'Medicare', 'Social', 'Security', '.', ')']",18,"['to', 'that', 'is', 'in', 'and', 'is', 'from', 'for', 'such', 'as', 'and']",11,0.38,
Sentence 16,83,"['According', 'summaries', 'GOP', 'bill', ',', 'also', 'would', 'repeal', 'certain', 'renewable', 'clean', 'energy', 'tax', 'credits', 'Inflation', 'Reduction', 'Act', ',', 'block', 'Biden', '’', 'executive', 'actions', 'canceling', 'student', 'loan', 'debt', ',', 'reclaim', 'unspent', 'COVID-19', 'funding', ',', 'rescind', 'funds', 'designated', 'Internal', 'Revenue', 'Service', ',', 'well', 'create', 'new', 'work', 'requirements', 'Medicaid', 'beneficiaries', 'expand', 'work', 'requirements', 'enrolled', 'Temporary', 'Assistance', 'Needy', 'Families', 'Supplemental', 'Nutrition', 'Assistance', 'Program', '.']",60,"['to', 'of', 'the', 'it', 'and', 'in', 'the', 's', 'some', 'of', 'the', 'for', 'the', 'as', 'as', 'for', 'and', 'for', 'those', 'in', 'for', 'and', 'the']",23,0.28,
Sentence 17,33,"['Congressional', 'Budget', 'Office', 'estimates', 'bill', 'would', 'reduce', 'budget', 'deficits', 'total', '$', '4.8', 'trillion', '2033', ',', 'compared', 'CBO', '’', 'baseline', 'projections', 'current', 'law', '.']",23,"['The', 'the', 'by', 'a', 'of', 'about', 'through', 'with', 's', 'under']",10,0.3,
Sentence 18,21,"['Nearly', '$', '3.2', 'trillion', 'amount', 'would', 'come', 'savings', 'discretionary', 'spending', ',', 'nonpartisan', 'budget', 'analysts', 'said', '.']",16,"['of', 'that', 'from', 'in', 'the']",5,0.24,
