Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,34,"['Legislators', 'concerned', 'GOP', 'budget', 'proposal', 'includes', 'cuts', 'veterans', '’', 'benefits', 'U.S.', 'House', 'Representatives', 'voted', 'Wednesday', 'pass', 'bill', 'would', 'raise', 'nation', '’', 'debt', 'ceiling', '.']",24,"['after', 'to', 'The', 'of', 'on', 'to', 'a', 'that', 'the', 's']",10,0.29,
Sentence 2,30,"['WEST', ',', 'CT', '(', 'WFSB', ')', '-', 'U.S.', 'House', 'Representatives', 'voted', 'Wednesday', 'pass', 'bill', 'would', 'raise', 'nation', '’', 'debt', 'ceiling', '.']",21,"['HAVEN', 'The', 'of', 'on', 'to', 'a', 'that', 'the', 's']",9,0.3,
Sentence 3,26,"['Republican-led', 'bill', 'would', 'also', 'cut', 'federal', 'spending', ';', 'however', ',', 'legislators', 'said', 'concerned', 'hearing', 'essential', 'federal', 'program', 'affected', '.']",19,"['The', 'are', 'after', 'how', 'an', 'will', 'be']",7,0.27,
Sentence 4,25,"['Wednesday', 'morning', ',', 'Rep.', 'Rosa', 'DeLauro', ',', 'Democrat', ',', 'said', 'talk', 'impact', 'proposed', 'cuts', 'veterans', 'programs', '.']",17,"['a', 'she', 'will', 'about', 'the', 'of', 'the', 'to']",8,0.32,
Sentence 5,17,"['DeLauro', 'said', 'massive', 'cuts', 'would', 'cap', 'annual', 'investments', 'veterans', 'families', 'rely', '.']",12,"['the', 'on', 'which', 'and', 'their']",5,0.29,
Sentence 6,29,"['said', 'budget', 'proposal', 'would', 'delay', 'payments', 'less', 'year', 'Congress', 'agrees', '10', 'years', 'cuts', 'caps', 'veterans', '’', 'annual', 'investments', '.']",19,"['She', 'the', 'for', 'than', 'a', 'if', 'to', 'of', 'and', 'to']",10,0.34,
Sentence 7,26,"['According', 'DeLauro', ',', 'bill', 'also', 'takes', 'away', '$', '2', 'billion', 'funding', 'support', 'veterans', ',', 'including', 'vets', '’', 'health', 'earned', 'benefits', '.']",21,"['to', 'the', 'in', 'to', 'and']",5,0.19,
Sentence 8,19,"['Since', '“', 'Limit', ',', 'Save', ',', 'Grow', 'Act', '2023″', 'passed', ',', 'House', 'Republicans', 'took', 'stance', '.']",16,"['the', 'of', 'a']",3,0.16,
Sentence 9,23,"['tweet', 'published', 'White', 'House', ',', 'House', 'Republicans', 'said', 'vote', 'cut', 'veteran', '’', 'benefits', '.']",14,"['In', 'a', 'by', 'the', 'they', 'did', 'not', 'to', 's']",9,0.39,
Sentence 10,21,"['Iraq', 'Afghanistan', 'Veterans', 'America', 'published', 'letter', 'Congress', 'expressed', 'concerns', 'House', 'Republicans', '’', 'bill', '.']",14,"['and', 'of', 'a', 'to', 'that', 'over', 'the']",7,0.33,
Sentence 11,16,"['advocates', 'said', 'proposal', 'would', 'endanger', 'funding', 'Veterans', 'Affairs', 'veteran', 'programs', '.']",11,"['The', 'the', 'for', 'and', 'other']",5,0.31,
Sentence 12,21,"['claimed', 'bill', '’', 'language', 'say', 'VA', 'would', 'protected', 'proposed', 'budget', 'reductions', '.']",12,"['They', 'the', 's', 'does', 'not', 'the', 'be', 'from', 'the']",9,0.43,
Sentence 13,28,"['DeLauro', 'scheduled', 'news', 'conference', '11:30', 'a.m.', 'Wednesday', 'Veteran', '’', 'Museum', 'Learning', 'Center', 'West', 'discuss', 'potential', 'veterans', 'program', 'cuts', '.']",19,"['a', 'for', 'at', 'the', 's', 'and', 'in', 'Haven', 'to']",9,0.32,
